Fuel,AnnualSum
No_fuel,0.0
AZ_coal,1.2212389779086089e8
AZ_naturalgas,7.03868315683588e7
AZ_uranium,8.728405957517833e8
CA_N_naturalgas,189838.634729041
CA_N_uranium,9.225635262527707e8
CA_S_naturalgas,24311.08045714355
MT_WY_CO_coal,5.530849442841244e8
MT_WY_CO_naturalgas,920534.9552168717
NM_coal,2.5541872599476367e7
NM_naturalgas,1.4726100343298477e6
PNW_coal,0.0
PNW_naturalgas,3.619187713032924e8
PNW_uranium,1.0546566959999964e8
UT_NV_coal,2.987233103137325e8
UT_NV_naturalgas,3.045930440199105e8
CA_S_uranium,1.6697751748143682e9
MT_WY_CO_uranium,-5.038484650052117e-9
NM_uranium,-2.229634959940444e-8
UT_NV_uranium,-8.269294384799508e-9
None,0.0
