Sum Range ID,Operator
Northern_California_Flow_Battery_76_FCDS_constraint,==
Northern_California_Flow_Battery_80_FCDS_constraint,==
Northern_California_Flow_Battery_82_FCDS_constraint,==
Northern_California_Flow_Battery_83_FCDS_constraint,==
Northern_California_Flow_Battery_84_FCDS_constraint,==
Northern_California_Flow_Battery_85_FCDS_constraint,==
Northern_California_Flow_Battery_92_FCDS_constraint,==
Northern_California_Flow_Battery_94_FCDS_constraint,==
Northern_California_Flow_Battery_96_FCDS_constraint,==
Northern_California_Geothermal_100_FCDS_constraint,==
Northern_California_Geothermal_35_FCDS_constraint,==
Northern_California_Geothermal_5_FCDS_constraint,==
Northern_California_Geothermal_70_FCDS_constraint,==
Northern_California_Li_Battery_4hr_100_FCDS_constraint,==
Northern_California_Li_Battery_4hr_112_FCDS_constraint,==
Northern_California_Li_Battery_4hr_113_FCDS_constraint,==
Northern_California_Li_Battery_4hr_114_FCDS_constraint,==
Northern_California_Li_Battery_4hr_116_FCDS_constraint,==
Northern_California_Li_Battery_4hr_121_FCDS_constraint,==
Northern_California_Li_Battery_4hr_122_FCDS_constraint,==
Northern_California_Li_Battery_4hr_126_FCDS_constraint,==
Northern_California_Li_Battery_4hr_127_FCDS_constraint,==
Northern_California_Li_Battery_4hr_130_FCDS_constraint,==
Northern_California_Li_Battery_4hr_132_FCDS_constraint,==
Northern_California_Li_Battery_4hr_135_FCDS_constraint,==
Northern_California_Li_Battery_4hr_138_FCDS_constraint,==
Northern_California_Li_Battery_4hr_141_FCDS_constraint,==
Northern_California_Li_Battery_4hr_144_FCDS_constraint,==
Northern_California_Li_Battery_4hr_149_FCDS_constraint,==
Northern_California_Li_Battery_4hr_150_FCDS_constraint,==
Northern_California_Li_Battery_4hr_155_FCDS_constraint,==
Northern_California_Li_Battery_4hr_157_FCDS_constraint,==
Northern_California_Li_Battery_4hr_158_FCDS_constraint,==
Northern_California_Li_Battery_4hr_159_FCDS_constraint,==
Northern_California_Li_Battery_4hr_166_FCDS_constraint,==
Northern_California_Li_Battery_4hr_172_FCDS_constraint,==
Northern_California_Li_Battery_4hr_178_FCDS_constraint,==
Northern_California_Li_Battery_4hr_179_FCDS_constraint,==
Northern_California_Li_Battery_4hr_180_FCDS_constraint,==
Northern_California_Li_Battery_4hr_25_FCDS_constraint,==
Northern_California_Li_Battery_4hr_26_FCDS_constraint,==
Northern_California_Li_Battery_4hr_29_FCDS_constraint,==
Northern_California_Li_Battery_4hr_31_FCDS_constraint,==
Northern_California_Li_Battery_4hr_35_FCDS_constraint,==
Northern_California_Li_Battery_4hr_38_FCDS_constraint,==
Northern_California_Li_Battery_4hr_41_FCDS_constraint,==
Northern_California_Li_Battery_4hr_44_FCDS_constraint,==
Northern_California_Li_Battery_4hr_5_FCDS_constraint,==
Northern_California_Li_Battery_4hr_51_FCDS_constraint,==
Northern_California_Li_Battery_4hr_57_FCDS_constraint,==
Northern_California_Li_Battery_4hr_68_FCDS_constraint,==
Northern_California_Li_Battery_4hr_70_FCDS_constraint,==
Northern_California_Li_Battery_4hr_73_FCDS_constraint,==
Northern_California_Li_Battery_4hr_76_FCDS_constraint,==
Northern_California_Li_Battery_4hr_80_FCDS_constraint,==
Northern_California_Li_Battery_4hr_82_FCDS_constraint,==
Northern_California_Li_Battery_4hr_83_FCDS_constraint,==
Northern_California_Li_Battery_4hr_84_FCDS_constraint,==
Northern_California_Li_Battery_4hr_85_FCDS_constraint,==
Northern_California_Li_Battery_4hr_92_FCDS_constraint,==
Northern_California_Li_Battery_4hr_94_FCDS_constraint,==
Northern_California_Li_Battery_4hr_96_FCDS_constraint,==
Northern_California_Li_Battery_8hr_100_FCDS_constraint,==
Northern_California_Li_Battery_8hr_112_FCDS_constraint,==
Northern_California_Li_Battery_8hr_113_FCDS_constraint,==
Northern_California_Li_Battery_8hr_114_FCDS_constraint,==
Northern_California_Li_Battery_8hr_116_FCDS_constraint,==
Northern_California_Li_Battery_8hr_121_FCDS_constraint,==
Northern_California_Li_Battery_8hr_122_FCDS_constraint,==
Northern_California_Li_Battery_8hr_126_FCDS_constraint,==
Northern_California_Li_Battery_8hr_127_FCDS_constraint,==
Northern_California_Li_Battery_8hr_130_FCDS_constraint,==
Northern_California_Li_Battery_8hr_132_FCDS_constraint,==
Northern_California_Li_Battery_8hr_135_FCDS_constraint,==
Northern_California_Li_Battery_8hr_138_FCDS_constraint,==
Northern_California_Li_Battery_8hr_141_FCDS_constraint,==
Northern_California_Li_Battery_8hr_144_FCDS_constraint,==
Northern_California_Li_Battery_8hr_149_FCDS_constraint,==
Northern_California_Li_Battery_8hr_150_FCDS_constraint,==
Northern_California_Li_Battery_8hr_155_FCDS_constraint,==
Northern_California_Li_Battery_8hr_157_FCDS_constraint,==
Northern_California_Li_Battery_8hr_158_FCDS_constraint,==
Northern_California_Li_Battery_8hr_159_FCDS_constraint,==
