Resource,AZ_batteries_1,AZ_hydroelectric_pumped_storage_1,CA_N_batteries_1,CA_N_hydroelectric_pumped_storage_1,CA_S_batteries_1,CA_S_hydroelectric_pumped_storage_1,MT_WY_CO_batteries_1,MT_WY_CO_hydroelectric_pumped_storage_1,NM_batteries_1,PNW_batteries_1,PNW_hydroelectric_pumped_storage_1,UT_NV_batteries_1,AZ_utilityscale_battery_storage_lithium_ion_advanced_0,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0,NM_utilityscale_battery_storage_lithium_ion_advanced_0,PNW_utilityscale_battery_storage_lithium_ion_advanced_0,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0,AZ_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0_8,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0_8,NM_utilityscale_battery_storage_lithium_ion_advanced_0_8,PNW_utilityscale_battery_storage_lithium_ion_advanced_0_8,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0_8,AZ_conventional_hydroelectric_1,CA_N_conventional_hydroelectric_1,CA_S_conventional_hydroelectric_1,MT_WY_CO_conventional_hydroelectric_1,PNW_conventional_hydroelectric_1,UT_NV_conventional_hydroelectric_1,Total
t31,0.0,1508.2,0.0,18749.492356336792,0.0,13893.729815880008,485.476590408,6897.095480026,423.14068450039997,258.2,4867.0,0.0,0.0,0.0,0.0,2357.6779956695877,2013.2282434753092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.33816171401475,686.0966973821919,81.48235093652835,1512.9352874398337,6218.622375301722,253.2470489205648,60528.96308799096
t32,2781.9116710825006,1508.2,0.0,20759.180811794693,2819.2371542057917,15382.951088895008,693.838295204,7414.521610019499,604.1203422502,258.2,4867.0,735.0753333723999,0.0,0.0,646.4739910654289,3348.8714976581864,2874.0938734099195,0.0,1425.995710796102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646.6763234280295,686.0966973821919,162.9647018730567,2153.217643719917,6853.747627503151,253.2470489205648,76875.62142258065
t33,4881.475633017865,1508.2,163.81544766820002,22768.869267252594,5673.515923577192,16872.17236191001,902.2,7931.947740012999,785.1,258.2,4867.0,2238.1376666861997,2736.3736465971597,1287.3195416820874,2555.6781024429224,4300.40120220256,3734.95950334453,0.0,5825.80370448459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970.0144851420442,1372.1933947643838,244.44705280958505,2793.5,11161.116097598217,268.06730793424015,106100.50807912738
t34,6737.904895119454,1508.2,690.3436317788,24778.557722710495,7934.028569023988,18361.393634925007,902.2,8449.373870006499,785.1,258.2,4867.0,2238.1376666861997,6649.359252206321,2574.639083364175,4464.882213820416,4300.40120220256,3734.95950334453,0.0,10225.611698173077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.33816171401475,2058.2900921465757,325.9294037461134,2793.5,17379.73847289994,521.3143568548049,132862.40343072294
t35,11443.910757655722,1508.2,1216.8718158894,26788.246178168396,10788.307338395389,19850.614907940006,902.2,8966.8,785.1,258.2,4867.0,3741.2,6649.359252206321,3861.9586250462626,6374.08632519791,4300.40120220256,3734.95950334453,0.0,13005.208454541971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646.6763234280295,2744.3867895287676,165.7352981269433,2793.5,23598.36084820166,470.17140577536975,159461.45502564922
t36,15283.79155186549,1508.2,1743.4,28797.934633626297,11163.7,21339.836180955004,902.2,8966.8,785.1,258.2,4867.0,3741.2,6649.359252206321,4814.920057117704,8283.290436575404,4300.40120220256,3734.95950334453,0.0,17405.01644823046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970.0144851420442,2758.7,247.21764906347164,2153.217643719917,28597.839537150037,419.02845469593456,179691.3270358952
t37,18781.10213230356,1508.2,1743.4,30807.623089084198,11163.7,22829.057453970003,902.2,8966.8,785.1,258.2,4867.0,3741.2,6649.359252206321,5585.176349079996,8283.290436575404,4300.40120220256,3734.95950334453,0.0,19089.047242095465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,938.1236765719706,2758.7,328.7,2793.5,28597.839537150037,521.3143568548049,189933.99423143888
t38,18781.10213230356,1508.2,1743.4,32817.3115445421,11163.7,24318.278726985,657.0685827368959,8320.017337508247,785.1,258.2,4867.0,3741.2,9881.110977925013,5585.176349079996,8283.290436575404,3977.0402327755487,3734.95950334453,0.0,19089.047242095465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1261.4618382859853,2758.7,328.7,2793.5,26637.48690882365,521.3143568548049,193812.36616983623
t39,21040.7,1508.2,1743.4,34827.0,11163.7,25807.5,657.0685827368959,8234.815700203824,785.1,258.2,4867.0,3741.2,9881.110977925013,5585.176349079996,8283.290436575404,3977.0402327755487,3734.95950334453,0.0,17424.635363631027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,2793.5,20987.23723006147,521.3143568548049,192494.34873318853
t40,21040.7,1508.2,1743.4,34827.0,11163.7,25807.5,657.0685827368959,7588.033037712071,785.1,258.2,4867.0,3495.2760273250883,9834.276951471827,5585.176349079996,8283.290436575404,3073.4754182221222,3461.5454136961425,0.0,13248.691103390698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,1507.017251458552,15791.637294533233,470.17140577536975,179668.6592719774
t41,18518.26086763931,1508.2,1743.4,34827.0,9846.098986789004,25807.5,657.0685827368959,6941.250375220317,572.1827557135073,258.2,4867.0,3495.2760273250883,6955.783211866958,4070.6827715198747,6540.728487389426,2074.6994740685946,2454.183207091216,0.0,9205.718149842858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,81.48235093652835,2147.299607738635,11227.159442466502,521.3143568548049,158663.98865519956
t42,17627.365020586843,1508.2,1743.4,32314.889430678097,7594.855535263927,23945.9734087316,657.0685827368959,6428.143575684683,572.1827557135073,258.2,4867.0,3495.2760273250883,6955.783211866958,4070.6827715198747,6540.728487389426,2074.6994740685946,2066.0458771500153,0.0,7100.753606323357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1261.4618382859853,2758.7,81.48235093652835,2787.5819640187183,7245.446245398049,470.17140577536975,144426.09156945354
