Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Total
AnnualSum,700632.5577730482,2.0367728213993532e6,315522.98018398264,6.479864290842429e6,666157.3430677797,1.0224186223623399e6,1.5351764404928372e6,549768.2755907747,3.4064151901398804e6,2.4368973265216746e6,348282.98604726844,4.324734022862416e6,1.5611207313084118e6,338619.0282851783,292175.430135098,2.6014558047012474e7
t1,104.42,94.36437568596645,45.10615920000001,897.8922435,87.6946374,232.32461714999997,237.12,0.0,515.546052,329.152,53.13601875,782.3678858775471,227.749851,64.0091859,68.85,3739.7330264635134
t2,104.42,191.39120823639308,45.10615920000001,897.8922435,87.6946374,232.32461714999997,237.12,0.0,515.546052,329.152,35.80630558048402,827.0011473456365,227.749851,64.0091859,68.85,3864.063407312514
t3,104.42,280.22897542496077,45.10615920000001,897.8922435,87.6946374,232.32461714999997,237.12,0.0,515.546052,329.152,30.707871139776916,930.7273338,227.749851,64.0091859,68.85,4051.5289265147376
t4,104.42,86.27565526319631,45.10615920000001,897.8922435,87.6946374,232.32461714999997,237.12,0.0,515.546052,329.152,28.96364415155158,930.7273338,227.749851,64.0091859,68.85,3855.831379364748
t5,104.42,0.0,45.10615920000001,897.8922435,87.6946374,232.32461714999997,237.12,0.0,515.546052,329.152,27.827001704107882,930.7273338,227.749851,64.0091859,68.85,3768.4190816541077
t6,104.42,114.59677982153157,45.10615920000001,897.8922435,87.6946374,232.32461714999997,237.12,0.0,515.546052,329.152,6.845040386119774,930.7273338,227.749851,64.0091859,68.85,3862.0339001576513
t7,104.42,349.03573368733396,45.10615920000001,897.8922435,87.6946374,232.32461714999997,237.12,0.0,515.546052,329.152,0.0,930.7273338,227.749851,64.0091859,68.85,4089.627813637334
t8,104.42,277.64982576706745,45.10615920000001,685.7743149328187,87.6946374,0.0,213.0351678584903,0.0,515.546052,329.152,0.0,699.4412577057506,227.749851,64.0091859,0.0,3249.578451764127
t9,104.42,406.59450605709895,0.0,344.3894688885828,87.6946374,0.0,237.12,0.0,515.546052,329.152,0.0,107.55477418426213,227.749851,64.0091859,0.0,2424.230475429944
t10,104.42,323.00355085042264,0.0,586.3489642262656,87.6946374,0.0,124.67731860283695,0.0,0.0,329.152,0.0,0.0,227.749851,64.0091859,0.0,1847.0555079795251
t11,104.42,465.3035847538527,0.0,327.894787057387,87.6946374,0.0,237.12,0.0,0.0,329.152,0.0,0.0,227.749851,64.0091859,0.0,1843.3440461112398
t12,104.42,520.28839225,0.0,515.4623788234295,87.6946374,0.0,130.3055819124113,0.0,177.9871670615502,329.152,0.0,0.0,227.749851,64.0091859,0.0,2157.0691943473907
t13,104.42,384.07174448596714,0.0,348.5968714441107,87.6946374,0.0,0.0,0.0,0.0,329.152,5.066995685419761,0.0,195.60856957022347,64.0091859,0.0,1518.6200044857208
t14,104.42,319.5905181454777,0.0,512.4787780750764,0.0,0.0,237.12,0.0,0.0,329.152,5.8922780419085345,0.0,57.13765384070959,64.0091859,0.0,1629.8004140031724
t15,0.0,442.22312603179415,0.0,520.4968451832312,77.55961773043462,0.0,237.12,0.0,319.24827598372156,329.152,31.361274704127926,0.0,0.0,64.0091859,0.0,2021.1703255333096
t16,0.0,433.25485057200495,36.23362577000443,897.8922435,87.6946374,232.32461714999997,237.12,153.6,515.546052,329.152,0.4289836802566282,140.73357865928517,18.016208900708534,64.0091859,68.85,3214.85598353226
t17,99.41648084764023,386.03606975466226,45.10615920000001,897.8922435,87.6946374,232.32461714999997,237.12,0.0,515.546052,329.152,0.0,662.1765536985205,227.749851,0.0,68.85,3789.0646645508227
t18,104.42,399.02324005327335,45.10615920000001,897.8922435,87.6946374,232.32461714999997,237.12,0.0,515.546052,329.152,0.0,440.2398063067632,227.749851,39.731092882952886,68.85,3624.849699492989
t19,104.42,28.585688385016475,45.10615920000001,897.8922435,87.6946374,232.32461714999997,237.12,0.0,515.546052,329.152,0.0,458.29043336425593,227.749851,18.216245502695646,68.85,3250.947927501968
t20,104.42,30.85330801003655,45.10615920000001,897.8922435,87.6946374,232.32461714999997,237.12,0.0,515.546052,329.152,0.0,608.914201848235,227.749851,35.03595366499276,68.85,3420.659023773264
t21,104.42,36.41707255107178,45.10615920000001,897.8922435,87.6946374,232.32461714999997,237.12,0.0,515.546052,329.152,0.0,857.8823361121314,227.749851,0.0,68.85,3640.154968913203
t22,104.42,0.0,45.10615920000001,897.8922435,87.6946374,232.32461714999997,237.12,0.0,515.546052,329.152,0.0,930.7273338,227.749851,64.0091859,68.85,3740.59207995
t23,104.42,79.3048924596064,45.10615920000001,897.8922435,87.6946374,232.32461714999997,237.12,0.0,515.546052,329.152,0.0,930.7273338,227.749851,0.0,68.85,3755.8877865096065
t24,104.42,86.02061272803581,45.10615920000001,897.8922435,87.25251899301627,232.32461714999997,237.12,0.0,515.546052,329.152,0.0,930.7273338,227.749851,0.0,68.85,3762.1613883710525
t25,104.42,0.0,45.10615920000001,897.8922435,87.6946374,0.0,237.12,101.19161803528725,515.546052,329.152,20.097784822693082,930.7273338,227.749851,64.0091859,0.0,3560.7068656579804
t26,104.42,19.344636312456792,45.10615920000001,897.8922435,87.6946374,0.0,237.12,89.43609191553165,515.546052,329.152,7.596216463509913,930.7273338,227.749851,64.0091859,0.0,3555.794407491498
t27,104.42,304.7699128092013,45.10615920000001,897.8922435,87.6946374,0.0,237.12,147.88657376879746,515.546052,329.152,0.0,930.7273338,227.749851,64.0091859,0.0,3892.073949377999
t28,104.42,268.7416613619358,45.10615920000001,897.8922435,87.6946374,0.0,237.12,130.7647507840286,515.546052,329.152,11.405857739880064,930.7273338,227.749851,64.0091859,0.0,3850.329732685844
t29,104.42,350.8279527299395,45.10615920000001,897.8922435,87.6946374,0.0,237.12,65.73773695434215,515.546052,329.152,0.0,930.7273338,227.749851,64.0091859,0.0,3855.9831524842816
t30,104.42,263.08912928975684,45.10615920000001,897.8922435,87.6946374,0.0,237.12,30.06415952518613,515.546052,329.152,17.33813984124596,930.7273338,227.749851,64.0091859,0.0,3749.908891456189
t31,104.42,485.16075555679186,45.10615920000001,897.8922435,87.6946374,0.0,237.12,75.72701307443471,515.546052,329.152,4.753317484196875,930.7273338,227.749851,64.0091859,0.0,4005.058548915423
t32,104.42,520.28839225,45.10615920000001,897.8922435,87.6946374,0.0,237.12,0.0,515.546052,329.152,0.0,930.7273338,227.749851,64.0091859,0.0,3959.70585505
