Sum Range ID,Index 1,MODEL_YEARS,Multiplier
Antelope_Neenach_Off_Peak_offpeak,Tehachapi_Solar_66,2035,0.77
Antelope_Neenach_Off_Peak_offpeak,Tehachapi_Li_Battery_4hr_66,2035,-1.0
Antelope_Neenach_Off_Peak_offpeak,Tehachapi_Li_Battery_8hr_66,2035,-1.0
Antelope_Neenach_Off_Peak_offpeak,Tehachapi_Flow_Battery_66,2035,-1.0
Antelope_Neenach_Off_Peak_offpeak,Antelope_Neenach_Off_Peak_group,2035,-1.0
Antelope_Neenach_On_Peak_HSN,Antelope_Neenach_On_Peak_group,2035,-1.0
Antelope_Neenach_On_Peak_SSN,Antelope_Neenach_On_Peak_group,2035,-1.0
Antelope_Vincent_HSN,Antelope_Vincent_group,2035,-1.0
Antelope_Vincent_offpeak,Tehachapi_Solar_101,2035,0.77
Antelope_Vincent_offpeak,Tehachapi_Solar_13,2035,0.77
Antelope_Vincent_offpeak,Tehachapi_Solar_32,2035,0.77
Antelope_Vincent_offpeak,Tehachapi_Solar_66,2035,0.77
Antelope_Vincent_offpeak,Tehachapi_Solar_78,2035,0.77
Antelope_Vincent_offpeak,Tehachapi_Wind_13,2035,0.44
Antelope_Vincent_offpeak,Tehachapi_Wind_32,2035,0.44
Antelope_Vincent_offpeak,Tehachapi_Li_Battery_4hr_101,2035,-1.0
Antelope_Vincent_offpeak,Tehachapi_Li_Battery_4hr_13,2035,-1.0
Antelope_Vincent_offpeak,Tehachapi_Li_Battery_4hr_32,2035,-1.0
Antelope_Vincent_offpeak,Tehachapi_Li_Battery_4hr_66,2035,-1.0
Antelope_Vincent_offpeak,Tehachapi_Li_Battery_4hr_78,2035,-1.0
Antelope_Vincent_offpeak,Tehachapi_Li_Battery_8hr_101,2035,-1.0
Antelope_Vincent_offpeak,Tehachapi_Li_Battery_8hr_13,2035,-1.0
Antelope_Vincent_offpeak,Tehachapi_Li_Battery_8hr_32,2035,-1.0
Antelope_Vincent_offpeak,Tehachapi_Li_Battery_8hr_66,2035,-1.0
Antelope_Vincent_offpeak,Tehachapi_Li_Battery_8hr_78,2035,-1.0
Antelope_Vincent_offpeak,Tehachapi_Flow_Battery_101,2035,-1.0
Antelope_Vincent_offpeak,Tehachapi_Flow_Battery_13,2035,-1.0
Antelope_Vincent_offpeak,Tehachapi_Flow_Battery_32,2035,-1.0
Antelope_Vincent_offpeak,Tehachapi_Flow_Battery_66,2035,-1.0
Antelope_Vincent_offpeak,Tehachapi_Flow_Battery_78,2035,-1.0
