Resource,Min_Cap_1
CA_S_utilitypv_class1_conservative_3,0
CA_S_utilitypv_class1_conservative_4,0
CA_S_utilitypv_class1_conservative_5,0
CA_S_utilityscale_battery_storage_lithium_ion_conservative_0,0
CA_S_utilityscale_battery_storage_lithium_ion_conservative_0_8,0
MT_WY_CO_batteries_1,0
MT_WY_CO_biomass_1,0
MT_WY_CO_conventional_hydroelectric_1,0
MT_WY_CO_conventional_steam_coal_1,0
MT_WY_CO_distributed_generation_1,0
MT_WY_CO_hydroelectric_pumped_storage_1,0
MT_WY_CO_landbasedwind_class3_conservative_0,0
MT_WY_CO_landbasedwind_class3_conservative_1,0
MT_WY_CO_landbasedwind_class3_conservative_2,0
MT_WY_CO_landbasedwind_class3_conservative_3,0
MT_WY_CO_landbasedwind_class3_conservative_4,0
MT_WY_CO_landbasedwind_class3_conservative_5,0
MT_WY_CO_landbasedwind_class3_conservative_6,0
MT_WY_CO_landbasedwind_class3_conservative_7,0
MT_WY_CO_landbasedwind_class3_conservative_8,0
MT_WY_CO_landbasedwind_class3_conservative_9,0
MT_WY_CO_natural_gas_fired_combined_cycle_1,0
MT_WY_CO_natural_gas_fired_combustion_turbine_1,0
MT_WY_CO_natural_gas_steam_turbine_1,0
MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,0
MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,0
MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,0
MT_WY_CO_nuclear_nuclear__large_advanced_0,0
MT_WY_CO_onshore_wind_turbine_1,0
MT_WY_CO_other_peaker_1,0
MT_WY_CO_run_of_river_hydroelectric_1,0
MT_WY_CO_solar_photovoltaic_1,0
MT_WY_CO_utilitypv_class1_conservative_1,0
MT_WY_CO_utilitypv_class1_conservative_2,0
MT_WY_CO_utilitypv_class1_conservative_3,0
MT_WY_CO_utilitypv_class1_conservative_4,0
MT_WY_CO_utilitypv_class1_conservative_5,0
MT_WY_CO_utilityscale_battery_storage_lithium_ion_conservative_0,0
MT_WY_CO_utilityscale_battery_storage_lithium_ion_conservative_0_8,0
NM_batteries_1,0
NM_biomass_1,0
NM_conventional_steam_coal_1,0
NM_distributed_generation_1,0
NM_geothermal_1,0
NM_landbasedwind_class3_conservative_0,0
NM_landbasedwind_class3_conservative_1,0
NM_landbasedwind_class3_conservative_2,0
NM_landbasedwind_class3_conservative_3,0
NM_landbasedwind_class3_conservative_4,0
NM_landbasedwind_class3_conservative_5,0
NM_landbasedwind_class3_conservative_6,0
NM_landbasedwind_class3_conservative_7,0
NM_landbasedwind_class3_conservative_8,0
NM_landbasedwind_class3_conservative_9,0
NM_natural_gas_fired_combined_cycle_1,0
NM_natural_gas_fired_combustion_turbine_1,0
NM_natural_gas_steam_turbine_1,0
NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,0
NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,0
NM_naturalgas_combustion_turbine_fframe_moderate_0,0
NM_nuclear_1,0
