Resource,Derating_Factor_1
BTM_Solar,0.049
CAM_CAM_RA_i,0.864
CAM_CAM_RA_ii,0.921
CAM_CAM_RA_iii,0.817
CAM_DR_RA,0.798
CAM_CPE_RA_i,0.816
CAM_CPE_RA_ii,0.854
Aramis,0.864
CALP01RA2027,0.816
CHEV01RA2024,0.816
CHEV01RA2025,0.921
DaggettSolarPower3,0.328
EBMUD01RA2024,0.521
EdwardsSolarII,0.102
FervoFECNevada1,0.878
GEN01RA2026,0.854
HDP01RA2027,0.854
HDP01RA2028,0.854
HDP01RA2030,0.854
HenriettaStorage,0.864
MRL01RA2030,0.816
NEXT01RA2026,0.816
Oberon,0.985
OhmConnect,0.798
RosamondCentral,0.102
Sanborn,0.864
Scarlet,0.373
SDGE01RA2024,0.854
SENA01RA2027,0.816
SummitWind,0.273
SUN01RA2031,0.8
Tecolote,0.0
TPS01RA2024,0.521
TulareSolarCenter,0.102
Tumbleweed,0.864
Generic_6hr_battery,0.875
Generic_8hr_battery,0.887
Generic_RA_Only,0.854
Arizona_Li_Battery,0.864
Arizona_Solar,0.102
CAISO_Advanced_CCGT_candidate,0.854
CAISO_Aero_CT_candidate,0.816
CAISO_New_Flow_Battery,0.864
CAISO_Reciprocating_Engine_candidate,0.902
CAISO_Shed_DR_Tranche1,0.798
Greater_Imperial_Geothermal,0.878
Humboldt_Bay_Offshore_Wind,0.507
InState_Biomass,0.794
Morro_Bay_Offshore_Wind,0.507
New_Mexico_Wind,0.354
Northern_California_Geothermal,0.878
Northern_California_Li_Battery,0.864
Northern_California_Solar,0.102
Northern_California_Wind,0.273
NW_Ext_Tx_Wind,0.24
Riverside_Li_Battery,0.864
Riverside_Palm_Springs_Wind,0.136
Riverside_Solar,0.102
Riverside_West_Pumped_Storage,0.89
Southern_Nevada_Geothermal,0.878
Tehachapi_Pumped_Storage,0.89
Wyoming_Wind,0.392
Hybrid_Solar_Test,0.373
Hybrid_Wind_Test,0.373
