Resource,AZ_batteries_1,AZ_hydroelectric_pumped_storage_1,CA_N_batteries_1,CA_N_hydroelectric_pumped_storage_1,CA_S_batteries_1,CA_S_hydroelectric_pumped_storage_1,MT_WY_CO_batteries_1,MT_WY_CO_hydroelectric_pumped_storage_1,NM_batteries_1,PNW_batteries_1,PNW_hydroelectric_pumped_storage_1,UT_NV_batteries_1,AZ_utilityscale_battery_storage_lithium_ion_advanced_0,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0,NM_utilityscale_battery_storage_lithium_ion_advanced_0,PNW_utilityscale_battery_storage_lithium_ion_advanced_0,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0,AZ_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0_8,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0_8,NM_utilityscale_battery_storage_lithium_ion_advanced_0_8,PNW_utilityscale_battery_storage_lithium_ion_advanced_0_8,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0_8,AZ_conventional_hydroelectric_1,CA_N_conventional_hydroelectric_1,CA_S_conventional_hydroelectric_1,MT_WY_CO_conventional_hydroelectric_1,PNW_conventional_hydroelectric_1,UT_NV_conventional_hydroelectric_1,Total
t11,12844.489458898894,1073.0611715785,1053.0563682212,24778.557722710495,8306.863499463745,18361.393634925007,902.2,7931.947740012999,785.1,178.67477163479998,4305.299724052,3006.1246666275997,0.0,8324.743954969279,2534.095202409374,588.9820384446615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.0691621548731,1980.099040214799,190.31733023586762,2793.5,24996.294003526455,456.0144781262394,126206.8839682068
t12,16323.032508892566,1160.0889372628,1216.8718158894,26788.246178168396,11161.142268835145,19850.614907940006,902.2,8449.373870006499,785.1,238.23302884639998,4586.149862026,3741.2,0.0,11099.658606625706,3378.7936032124985,588.9820384446615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1224.1037432323096,2758.7,328.7,2793.5,27604.190382394256,521.3143568548049,145500.1961086314
t13,19527.364550653896,1247.1167029471,1743.4,28797.934633626297,11163.7,21339.836180955004,902.2,8966.8,785.1,258.2,4867.0,3741.2,0.0,12039.270112295446,3664.81621502208,588.9820384446615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176.7654189225634,2758.7,328.7,2793.5,28597.839537150037,521.3143568548049,155809.73974687184
t14,21040.7,1334.1444686314,1743.4,30807.623089084198,11163.7,22829.057453970003,902.2,8966.8,785.1,258.2,4867.0,3741.2,0.0,12039.270112295446,3664.81621502208,588.9820384446615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,2793.5,28597.839537150037,521.3143568548049,161317.04727145264
t15,21040.7,1421.1722343157,1743.4,32817.3115445421,11163.7,24318.278726985,902.2,8966.8,785.1,258.2,4867.0,3741.2,0.0,12039.270112295446,3664.81621502208,588.9820384446615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1283.5334692093904,2758.7,328.7,2793.5,28597.839537150037,521.3143568548049,164601.71823481921
t16,21040.7,1508.2,1743.4,34827.0,11163.7,25807.5,902.2,8966.8,670.8713444235831,258.2,4867.0,3741.2,0.0,12039.270112295446,3664.81621502208,588.9820384446615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,2793.5,28597.839537150037,521.3143568548049,168374.69360419063
t17,21040.7,1508.2,1743.4,34827.0,11163.7,25807.5,902.2,8320.017337508247,460.76164440982916,258.2,4867.0,3741.2,0.0,12039.270112295446,3664.81621502208,588.9820384446615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,2793.5,23778.773058859497,521.3143568548049,162698.73476339455
t18,19513.84993771541,1399.4152928946455,1743.4,34827.0,11149.697994261147,23945.9734087316,902.2,7673.234675016493,249.18995373649273,258.2,4867.0,3741.2,0.0,12039.270112295446,2671.053391131408,429.2718594330996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,936.5030821772839,2758.7,328.7,1926.430006281856,17411.983844219067,470.3925162302181,149242.66607412414
t19,17583.961945723582,1290.630585789291,1743.4,34827.0,10310.906518020607,22084.4468174632,902.2,7026.45201252474,187.794679972655,258.2,4867.0,3741.2,0.0,10034.629790164285,2671.053391131408,269.56168042153763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1344.5376632547204,778.6009597852008,180.39897933675502,2688.273050087908,14903.218359657207,508.07736249834727,138201.54379583144
t20,15600.178278102076,1181.8458786839365,1743.4,32314.889430678097,9703.556064262932,20222.920226194798,902.2,6379.669350032987,230.3709923882543,258.2,4867.0,3741.2,0.0,9258.917340497883,1677.2905672407358,109.85150140997575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1536.4306332095907,778.6009597852008,328.7,2739.195141463455,14784.274525254976,457.15552187376045,128815.84641107864
