Line,New_Trans_Capacity,Cost_Trans_Capacity
1,2300.0,1.37979621832075e9
2,0.0,0.0
3,0.0,0.0
4,316.864527037113,3.300866908423302e8
5,0.0,0.0
6,0.0,0.0
7,2809.6607580763903,1.9453887756165905e9
8,188.8895497582918,2.2465560073944232e8
9,5261.0,5.732857939320713e9
10,190.60185352595877,2.320013262966064e8
11,1417.0,5.668118054455383e8
12,0.0,0.0
13,0.0,0.0
14,657.0,6.9416932051582e8
15,0.0,0.0
