Time_Index,BANC_Hydro,CAISO_Hydro,Customer_PV,LDWP_Hydro,NW_Hydro,NW_Hydro_for_CAISO,SW_Hydro
79,750.904,1605.831,0.0,3.3,13239.834,1130.725,1326.504
80,113.2,1600.79,671.028,3.3,13621.284,1028.002,1326.504
81,113.2,1259.034,3178.553,290.296,13212.336,910.762,130.407
82,113.2,437.621,6710.279,3.3,11845.179,786.824,130.407
83,113.2,437.621,7504.917,3.3,10551.921,786.824,130.407
84,113.2,437.621,9429.708,3.3,9418.782,786.824,130.407
85,113.2,437.621,10312.639,3.3,8679.399,786.824,130.407
86,113.2,437.621,9394.391,3.3,8898.259,786.824,130.407
87,113.2,437.621,7151.745,3.3,9801.486,786.824,130.407
88,113.2,437.621,3655.336,3.3,11094.743,786.824,130.407
89,113.2,1259.034,264.879,3.3,12461.901,910.762,130.407
90,750.904,1600.79,0.0,290.296,13595.041,1028.002,1326.504
91,750.904,1751.349,0.0,290.296,13621.284,1130.725,130.407
92,113.2,1873.928,0.0,222.608,13515.321,1212.607,1326.504
93,750.904,2695.341,0.0,3.3,12148.163,1234.826,130.407
94,750.904,3008.784,0.0,3.3,10854.906,1234.823,1326.504
95,437.902,3008.784,0.0,3.3,9721.766,1117.584,1326.504
96,113.2,2187.37,0.0,3.3,8818.539,993.645,130.407
97,140.393,2449.183,0.0,16.1,12880.866,1386.028,1645.892
98,140.393,3270.597,0.0,16.1,14174.123,1386.028,273.602
99,793.193,2970.211,0.0,336.597,15289.175,1386.028,1645.892
100,140.393,2148.798,0.0,16.1,14927.467,1386.028,1645.892
101,140.393,2026.219,0.0,16.1,15289.175,1262.089,273.602
102,423.734,1875.66,0.0,336.597,15289.175,1144.85,1645.892
103,140.393,1533.904,88.293,16.1,14541.139,1098.252,273.602
104,274.876,712.491,4238.071,16.1,13340.776,974.313,273.602
105,140.393,712.491,9570.977,16.1,11973.618,974.313,273.602
106,140.393,712.491,16457.842,16.1,10747.584,974.313,273.602
107,140.393,712.491,20572.303,16.1,10747.584,974.313,273.602
108,140.393,712.491,21755.431,16.1,10747.584,974.313,273.602
109,140.393,712.491,21896.7,16.1,10747.584,974.313,273.602
110,140.393,712.491,20042.544,16.1,10747.584,974.313,273.602
111,140.393,712.491,17217.163,16.1,10747.584,974.313,273.602
112,140.393,712.491,11425.133,16.1,10747.584,974.313,273.602
113,140.393,712.491,5950.958,16.1,12114.742,974.313,1012.034
114,793.193,1533.904,724.004,16.1,13407.999,1098.252,273.602
115,140.393,1875.66,0.0,336.597,14541.139,1215.491,1645.892
