Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2
,,,,,,,,183,812.0,0
,,,,,,,,184,955.0,0
,,,,,,,,185,1119.0,0
,,,,,,,,186,1336.0,0
,,,,,,,,187,1421.0,0
,,,,,,,,188,1404.0,0
,,,,,,,,189,1369.0,0
,,,,,,,,190,1348.0,0
,,,,,,,,191,1272.0,0
,,,,,,,,192,1252.0,0
,,,,,,,,193,1203.0,0
,,,,,,,,194,1120.0,0
,,,,,,,,195,1057.0,0
,,,,,,,,196,1031.0,0
,,,,,,,,197,1049.0,0
,,,,,,,,198,1139.0,0
,,,,,,,,199,1269.0,0
,,,,,,,,200,1299.0,0
,,,,,,,,201,1164.0,0
,,,,,,,,202,1009.0,0
,,,,,,,,203,855.0,0
,,,,,,,,204,757.0,0
,,,,,,,,205,751.0,0
,,,,,,,,206,777.0,0
,,,,,,,,207,867.0,0
,,,,,,,,208,993.0,0
,,,,,,,,209,1097.0,0
,,,,,,,,210,1270.0,0
,,,,,,,,211,1386.0,0
,,,,,,,,212,1362.0,0
,,,,,,,,213,1328.0,0
,,,,,,,,214,1317.0,0
,,,,,,,,215,1251.0,0
,,,,,,,,216,1229.0,0
,,,,,,,,217,1166.0,0
,,,,,,,,218,1105.0,0
,,,,,,,,219,1040.0,0
,,,,,,,,220,999.0,0
,,,,,,,,221,992.0,0
,,,,,,,,222,1013.0,0
,,,,,,,,223,1075.0,0
,,,,,,,,224,1060.0,0
,,,,,,,,225,928.0,0
,,,,,,,,226,774.0,0
,,,,,,,,227,634.0,0
,,,,,,,,228,559.0,0
,,,,,,,,229,562.0,0
,,,,,,,,230,621.0,0
,,,,,,,,231,729.0,0
,,,,,,,,232,870.0,0
,,,,,,,,233,989.0,0
,,,,,,,,234,1173.0,0
,,,,,,,,235,1278.0,0
,,,,,,,,236,1265.0,0
,,,,,,,,237,1245.0,0
,,,,,,,,238,1222.0,0
,,,,,,,,239,1162.0,0
,,,,,,,,240,1108.0,0
,,,,,,,,241,1135.0,0
,,,,,,,,242,1073.0,0
,,,,,,,,243,1011.0,0
,,,,,,,,244,966.0,0
,,,,,,,,245,947.0,0
,,,,,,,,246,958.0,0
,,,,,,,,247,1004.0,0
,,,,,,,,248,998.0,0
,,,,,,,,249,874.0,0
,,,,,,,,250,732.0,0
,,,,,,,,251,631.0,0
,,,,,,,,252,645.0,0
,,,,,,,,253,620.0,0
,,,,,,,,254,630.0,0
,,,,,,,,255,707.0,0
,,,,,,,,256,875.0,0
,,,,,,,,257,1046.0,0
,,,,,,,,258,1204.0,0
,,,,,,,,259,1280.0,0
,,,,,,,,260,1274.0,0
,,,,,,,,261,1247.0,0
,,,,,,,,262,1209.0,0
,,,,,,,,263,1135.0,0
,,,,,,,,264,1085.0,0
,,,,,,,,265,1127.0,0
,,,,,,,,266,1050.0,0
,,,,,,,,267,997.0,0
,,,,,,,,268,980.0,0
,,,,,,,,269,1012.0,0
,,,,,,,,270,1104.0,0
,,,,,,,,271,1242.0,0
,,,,,,,,272,1308.0,0
,,,,,,,,273,1331.0,0
,,,,,,,,274,1231.0,0
,,,,,,,,275,1198.0,0
,,,,,,,,276,1137.0,0
,,,,,,,,277,1044.0,0
,,,,,,,,278,1069.0,0
,,,,,,,,279,828.0,0
,,,,,,,,280,1245.0,0
,,,,,,,,281,1258.0,0
,,,,,,,,282,1359.0,0
,,,,,,,,283,1437.0,0
,,,,,,,,284,1410.0,0
,,,,,,,,285,1362.0,0
,,,,,,,,286,1333.0,0
,,,,,,,,287,1246.0,0
,,,,,,,,288,1224.0,0
,,,,,,,,289,1178.0,0
,,,,,,,,290,1095.0,0
,,,,,,,,291,1034.0,0
,,,,,,,,292,1008.0,0
,,,,,,,,293,1035.0,0
,,,,,,,,294,1126.0,0
,,,,,,,,295,1257.0,0
,,,,,,,,296,1348.0,0
,,,,,,,,297,1341.0,0
,,,,,,,,298,1269.0,0
,,,,,,,,299,1186.0,0
,,,,,,,,300,1230.0,0
,,,,,,,,301,1220.0,0
,,,,,,,,302,1207.0,0
,,,,,,,,303,1272.0,0
,,,,,,,,304,1173.0,0
,,,,,,,,305,1196.0,0
,,,,,,,,306,1360.0,0
,,,,,,,,307,1444.0,0
,,,,,,,,308,1416.0,0
,,,,,,,,309,1372.0,0
,,,,,,,,310,1347.0,0
,,,,,,,,311,1260.0,0
,,,,,,,,312,1236.0,0
,,,,,,,,313,1188.0,0
,,,,,,,,314,1105.0,0
,,,,,,,,315,1042.0,0
,,,,,,,,316,1017.0,0
,,,,,,,,317,1042.0,0
,,,,,,,,318,1131.0,0
,,,,,,,,319,1262.0,0
,,,,,,,,320,1313.0,0
,,,,,,,,321,1337.0,0
,,,,,,,,322,1228.0,0
,,,,,,,,323,1119.0,0
,,,,,,,,324,1019.0,0
,,,,,,,,325,996.0,0
,,,,,,,,326,1002.0,0
,,,,,,,,327,973.0,0
,,,,,,,,328,1147.0,0
,,,,,,,,329,1174.0,0
,,,,,,,,330,1361.0,0
,,,,,,,,331,1450.0,0
,,,,,,,,332,1430.0,0
,,,,,,,,333,1392.0,0
,,,,,,,,334,1376.0,0
,,,,,,,,335,1288.0,0
,,,,,,,,336,1261.0,0
,,,,,,,,337,1116.0,0
,,,,,,,,338,1043.0,0
,,,,,,,,339,990.0,0
,,,,,,,,340,977.0,0
,,,,,,,,341,1008.0,0
,,,,,,,,342,1107.0,0
,,,,,,,,343,1213.0,0
,,,,,,,,344,1243.0,0
,,,,,,,,345,1212.0,0
,,,,,,,,346,1139.0,0
,,,,,,,,347,1029.0,0
,,,,,,,,348,1049.0,0
,,,,,,,,349,1021.0,0
,,,,,,,,350,994.0,0
,,,,,,,,351,1010.0,0
,,,,,,,,352,1095.0,0
,,,,,,,,353,1112.0,0
,,,,,,,,354,1246.0,0
,,,,,,,,355,1325.0,0
,,,,,,,,356,1330.0,0
,,,,,,,,357,1229.0,0
,,,,,,,,358,1193.0,0
,,,,,,,,359,1136.0,0
,,,,,,,,360,1176.0,0
,,,,,,,,361,1117.0,0
,,,,,,,,362,1044.0,0
,,,,,,,,363,993.0,0
,,,,,,,,364,979.0,0
