Resource,AZ_conventional_steam_coal_1,AZ_natural_gas_fired_combined_cycle_1,AZ_natural_gas_fired_combustion_turbine_1,AZ_natural_gas_steam_turbine_1,AZ_nuclear_1,AZ_other_peaker_1,CA_N_natural_gas_fired_combined_cycle_1,CA_N_natural_gas_fired_combustion_turbine_1,CA_N_nuclear_1,CA_N_other_peaker_1,CA_S_natural_gas_fired_combined_cycle_1,CA_S_natural_gas_fired_combustion_turbine_1,CA_S_natural_gas_steam_turbine_1,CA_S_other_peaker_1,MT_WY_CO_conventional_steam_coal_1,MT_WY_CO_natural_gas_fired_combined_cycle_1,MT_WY_CO_natural_gas_fired_combustion_turbine_1,MT_WY_CO_natural_gas_steam_turbine_1,MT_WY_CO_other_peaker_1,NM_conventional_steam_coal_1,NM_natural_gas_fired_combined_cycle_1,NM_natural_gas_fired_combustion_turbine_1,NM_natural_gas_steam_turbine_1,NM_other_peaker_1,PNW_conventional_steam_coal_1,PNW_natural_gas_fired_combined_cycle_1,PNW_natural_gas_fired_combustion_turbine_1,PNW_nuclear_1,PNW_other_peaker_1,UT_NV_conventional_steam_coal_1,UT_NV_natural_gas_fired_combined_cycle_1,UT_NV_natural_gas_fired_combustion_turbine_1,UT_NV_natural_gas_steam_turbine_1,UT_NV_other_peaker_1,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_moderate_0,AZ_naturalgas_combustion_turbine_fframe_moderate_0,AZ_nuclear_nuclear__large_moderate_0,CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_moderate_0,CA_N_naturalgas_combustion_turbine_fframe_moderate_0,CA_N_nuclear_nuclear__large_moderate_0,CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_moderate_0,CA_S_naturalgas_combustion_turbine_fframe_moderate_0,CA_S_nuclear_nuclear__large_moderate_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_moderate_0,MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,MT_WY_CO_nuclear_nuclear__large_moderate_0,NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_moderate_0,NM_naturalgas_combustion_turbine_fframe_moderate_0,NM_nuclear_nuclear__large_moderate_0,PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_moderate_0,PNW_naturalgas_combustion_turbine_fframe_moderate_0,PNW_nuclear_nuclear__large_moderate_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_moderate_0,UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,UT_NV_nuclear_nuclear__large_moderate_0,CA_S_nuclear_1,NM_nuclear_1
t1,41424.7,0.0,0.0,0.0,19185.732000000004,0.0,0.0,3.141831825814733e-12,0.0,0.0,0.0,0.0,0.0,0.0,68759.98291546125,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,34397.95100000001,13133.491399908462,0.0,0.0,0.0,16802.863152920352,0.0,0.0,0.0,0.0,0.0,0.0,6.78446099300345e-12,0.0,0.0,0.0,97855.81071283111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46520.43414869787,0.0,0.0,2.3874235921539366e-12,30334.588952007343,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t2,41424.7,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.4541001291945576e-10,0.0,0.0,68759.98291546125,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,34397.95100000001,13133.491399908462,0.0,0.0,0.0,16802.863152920338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97855.81071283108,0.0,0.0,0.0,-2.5784174795262516e-10,0.0,0.0,0.0,8.952838470577262e-12,46520.43414869787,0.0,0.0,2.3874235921539366e-12,30334.588952007343,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t3,41424.7,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68759.98291546122,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,34397.95100000001,13133.49139990846,0.0,0.0,0.0,16802.863152920378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97855.81071283108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46520.43414869787,0.0,0.0,2.3874235921539366e-12,30334.588952007343,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t4,41424.7,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68759.98291546122,0.0,0.0,0.0,0.0,3061.52,0.0,5.560707450058544e-12,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,34397.95100000001,13133.491399908462,0.0,0.0,0.0,16802.863152920378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97855.81071283108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46520.43414869787,0.0,0.0,2.3874235921539366e-12,30334.588952007343,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t5,41424.7,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68759.98291546122,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,34397.95100000001,13133.491399908462,0.0,0.0,0.0,16802.86315292037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97855.81071283107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46520.43414869787,0.0,0.0,2.3874235921539366e-12,30334.588952007343,0.0,0.0,-1.1937117960769683e-11,11287.386000000002,10706.856000000002
t6,41424.7,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68759.98291546122,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,34397.95100000001,13133.49139990846,0.0,0.0,0.0,16802.863152920367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97855.81071283108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46520.43414869787,0.0,0.0,-1.50407686305698e-10,30334.588952007343,0.0,0.0,-7.16227077646181e-12,11287.386000000002,10706.856000000002
t7,41424.7,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68759.98291546124,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,34397.95100000001,13133.491399908455,0.0,0.0,0.0,16802.863152920367,0.0,0.0,0.0,0.0,0.0,0.0,9.549694368615746e-12,0.0,0.0,0.0,97855.81071283136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0818013151947525e-12,46520.43414869786,0.0,0.0,1.1937117960769683e-11,30334.588952007343,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t8,41424.7,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68759.9829154612,0.0,3.263266989961267e-11,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,34397.95100000001,6566.7456999542355,0.0,0.0,0.0,16802.863152920367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97855.81071283108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26872.39902723701,0.0,0.0,0.0,15167.294476003672,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t9,41424.7,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68759.98291546122,0.0,-1.5916157281026247e-11,0.0,0.0,1224.608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,34397.95100000001,6566.7456999542355,0.0,0.0,0.0,16802.863152920367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97855.81071283108,0.0,0.0,0.0,9.549694368615746e-12,0.0,0.0,0.0,0.0,23260.21707434893,0.0,0.0,0.0,15167.294476003672,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t10,41424.7,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51621.83796877005,0.0,0.0,0.0,0.0,1224.608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,34397.95100000001,6566.7456999542355,0.0,0.0,0.0,9218.311915220454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97855.81071283108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23260.21707434893,0.0,0.0,0.0,15167.294476003672,0.0,0.0,0.0,11287.386000000002,10706.856000000002
