Resource,Zone,Model,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Min_Cap_MW,Var_OM_Cost_per_MWh,Fuel,PWFU_Fuel_Usage_Zero_Load_MMBTU_per_h,PWFU_Heat_Rate_MMBTU_per_MWh_1,PWFU_Load_Point_MW_1,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Min_Power,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
CAISO_Aero_CT,2,1,1,0,0.0,99999.0,175597.8316124,27178.459094499998,0,6.96,CA_Natural_Gas,345.5,6.1,99999,100.0,10.0,0.5,1,1,5.9,5.9,0.3,1,1,0.01,0.01,CAISO,1
CAISO_Biogas,2,1,0,0,209.000866201,-1,0.0,0.0,0,1.21,Biomass,0.901421,9.273002598469724,99999,5.082445792568968,36.59267132606143,10.282591730612834,0,0,0.5,0.5,0.4495351609,1,1,0.01,0.01,CAISO,1
CAISO_Biomass,2,1,0,0,485.649885351,-1,0.0,0.0,0,1.65,Biomass,18.263065,14.482628932205012,99999,13.915750398296298,100.43477117318164,23.868242545001216,5,4,0.5,0.5,0.5528221034,1,1,0.01,0.01,CAISO,1
CAISO_CCGT1,2,1,0,1,14352.12,-1,0.0,0.0,0,0.2471314264,CA_Natural_Gas,195.922871,6.743716670006654,99999,422.1211764705881,74.23330357978777,8.405977915462943,5,3,0.57,0.57,0.1450273439,1,1,0.01,0.01,CAISO,1
CAISO_CCGT2,2,1,0,1,2527.92,-1,0.0,0.0,0,0.4597483569,CA_Natural_Gas,19.974034,8.756461835805052,99999,211.99333333333334,62.48506186225588,8.075646861906035,3,3,0.99,0.99,0.147074138,1,1,0.01,0.01,CAISO,1
CAISO_CCGT_Remote,2,1,0,0,647.8,-1,0.0,0.0,0,0.2228952146,CA_Natural_Gas,13.522576,8.216824403597968,99999,323.9,162.78660697746218,14.272240056807657,8,4,0.57,0.57,0.1094905835,1,1,0.01,0.01,CAISO,1
CAISO_CHP,2,1,0,0,972.13,-1,0.0,0.0,0,1.5086755845,CA_Natural_Gas,140.302818,7.438131636130265,99999,37.38961538461538,68.77138377116293,4.565887258579069,1,1,0.5,0.5,0.4491201011,1,1,0.01,0.01,CAISO,1
CAISO_Geothermal,2,1,0,0,1396.57165568,-1,0.0,0.0,0,1.0904,None,0.0,0.0,99999,85.8551547832558,0,0,11,4,0.5,0.5,0.5507807191,1,1,0.01,0.01,CAISO,1
CAISO_New_Reciprocating_Engine,2,1,1,0,0.0,99999.0,175597.8316124,27178.459094499998,0,6.96,CA_Natural_Gas,6.428999,9.199549114039074,99999,64.825,2.2992882898688776,0.1282684149633629,2,0,8.98,8.98,0.0680293097,1,1,0.01,0.01,CAISO,1
CAISO_Nuclear,2,1,0,0,635.0,-1,0.0,0.0,0,1.8001,Uranium,0.0,10.5,99999,978.3333333333334,0,0,1,1,0.01,0.01,0.75,1,1,0.01,0.01,CAISO,1
CAISO_Peaker1,2,1,0,1,2668.19,-1,0.0,0.0,0,1.1511237626,CA_Natural_Gas,120.946988,7.280855573285063,99999,76.23400000000001,17.129388561980296,1.2161964109333374,1,1,5.91,5.91,0.2009399126,1,1,0.01,0.01,CAISO,1
CAISO_Peaker2,2,1,0,1,5535.72,-1,0.0,0.0,0,1.4243200641,CA_Natural_Gas,115.964185,9.893368280201177,99999,67.86571428571429,64.45668239283457,3.7938609537008485,1,1,5.9,5.9,0.1991799083,1,1,0.01,0.01,CAISO,1
CAISO_Reciprocating_Engine,2,1,0,1,259.3,-1,0.0,0.0,0,1.034,CA_Natural_Gas,6.428999,9.199549114039074,99999,64.825,2.2992882898688776,0.1282684149633629,2,0,8.98,8.98,0.0680293097,1,1,0.01,0.01,CAISO,1
Central_Nevada_Geothermal,2,1,1,0,0.0,-1,0.0,0.0,0,0.0,None,0.0,0.0,99999,1.0,0,0,11,4,0.5,0.5,0.5507807191,1,1,0.01,0.01,CAISO,1
