Fuel,AnnualSum
No_fuel,0.0
AZ_coal,0.0
AZ_naturalgas,1.333069541622131e8
AZ_uranium,3.266488635515994e8
CA_N_naturalgas,5.235170130985241e7
CA_N_uranium,-2.845344599933292e-10
CA_S_naturalgas,5.368172127857968e7
MT_WY_CO_coal,4.3724232105643964e8
MT_WY_CO_naturalgas,503598.409247312
NM_coal,2.0634641017312184e7
NM_naturalgas,258687.02938576744
PNW_coal,0.0
PNW_naturalgas,3.1120822914695394e8
PNW_uranium,1.031592530485712e8
UT_NV_coal,2.7385358229228497e8
UT_NV_naturalgas,2.577754636777125e8
CA_S_uranium,8.474947405547802e8
MT_WY_CO_uranium,5.259833171942949e-8
NM_uranium,3.0542790030545847e-10
UT_NV_uranium,-6.2961657381066496e-9
None,0.0
