Sum Range ID,Operator
Antelope_Neenach_Off_Peak_offpeak,<=
Antelope_Neenach_On_Peak_HSN,<=
Antelope_Neenach_On_Peak_SSN,<=
Antelope_Vincent_HSN,<=
Antelope_Vincent_offpeak,<=
Antelope_Vincent_SSN,<=
Bell_Placer_HSN,<=
Bell_Placer_offpeak,<=
Bell_Placer_SSN,<=
Bellota_Weber_HSN,<=
Bellota_Weber_offpeak,<=
Bellota_Weber_SSN,<=
Birds_Landing_Contra_Costa_HSN,<=
Birds_Landing_Contra_Costa_offpeak,<=
Birds_Landing_Contra_Costa_SSN,<=
Borden_Storey_HSN,<=
Borden_Storey_offpeak,<=
Borden_Storey_SSN,<=
Calcite_Lugo_HSN,<=
Calcite_Lugo_offpeak,<=
Calcite_Lugo_SSN,<=
Cape_Mendocino_Offshore_Line_HSN,<=
Cape_Mendocino_Offshore_Line_offpeak,<=
Cape_Mendocino_Offshore_Line_SSN,<=
Capistrano_San_Onofre_HSN,<=
Capistrano_San_Onofre_offpeak,<=
Capistrano_San_Onofre_SSN,<=
Carberry_Round_Mt_HSN,<=
Carberry_Round_Mt_offpeak,<=
Carberry_Round_Mt_SSN,<=
Chicarita_138_HSN,<=
Chicarita_138_offpeak,<=
Chicarita_138_SSN,<=
Chowchilla_Le_Grand_HSN,<=
Chowchilla_Le_Grand_offpeak,<=
Chowchilla_Le_Grand_SSN,<=
Coalinga_1_Coalinga_2_HSN,<=
Coalinga_1_Coalinga_2_offpeak,<=
Coalinga_1_Coalinga_2_SSN,<=
Colorado_River_230_HSN,<=
Colorado_River_230_offpeak,<=
Colorado_River_230_SSN,<=
Colorado_River_Red_Bluff_HSN,<=
Colorado_River_Red_Bluff_offpeak,<=
Colorado_River_Red_Bluff_SSN,<=
Contra_Costa_Windmaster_HSN,<=
Contra_Costa_Windmaster_offpeak,<=
Contra_Costa_Windmaster_SSN,<=
Control_Inyokern_HSN,<=
Control_Inyokern_offpeak,<=
Control_Inyokern_SSN,<=
Cortina_Eagle_Rock_HSN,<=
Cortina_Eagle_Rock_offpeak,<=
Cortina_Eagle_Rock_SSN,<=
Dairyland_Chowchilla_HSN,<=
Dairyland_Chowchilla_offpeak,<=
Dairyland_Chowchilla_SSN,<=
DCRT_HSN,<=
DCRT_offpeak,<=
DCRT_SSN,<=
Del_Amo_Barre_HSN,<=
