Network_zones,Network_Lines,Start_Zone,End_Zone,Line_Max_Flow_MW,start_region,dest_region,transmission_path_name,Line_Reinforcement_Cost_per_MWyr,Line_Reinforcement_Cost_per_MW,Line_Loss_Percentage,Line_Max_Reinforcement_MW,DerateCapRes_1,DerateCapRes_2,DerateCapRes_3,CapRes_Excl_1,CapRes_Excl_2,CapRes_Excl_3,Line_Max_Flow_Possible_MW,Capital_Recovery_Period,WACC,EF_Forward_CO_2_Cap_Zone_1,EF_Reverse_CO_2_Cap_Zone_1,LINK_STAGES,DerateCapRes_4,CapRes_Excl_4
z1,1,1,5,1150.0,AZ,NM,AZ_to_NM,55476.67186108518,1165635.4561646888,0.0908,1150.0,0.95,0.95,0.95,0,0,1,1000000.0,60.0,0.044,0,0,0,0.95,-1
z2,2,2,3,7730.8825,CA_N,CA_S,CA_N_to_CA_S,71451.6862659925,1501290.8330721054,0.0673,7731.0,0.95,0.95,0.95,0,0,0,1000000.0,60.0,0.044,0,0,0,0.95,0
z3,3,2,7,367.314,CA_N,UT_NV,CA_N_to_UT_NV,119617.64899924026,2513318.989389167,0.1228,400.0,0.95,0.95,0.95,1,-1,0,1000000.0,60.0,0.044,0,0,0,0.95,0
z4,4,3,7,10320.6005,CA_S,UT_NV,CA_S_to_UT_NV,96333.5746608338,2024090.9643053636,0.087,10321.0,0.95,0.95,0.95,1,-1,0,1000000.0,60.0,0.044,0,0,0,0.95,0
z5,5,4,7,919.231,MT_WY_CO,UT_NV,MT_WY_CO_to_UT_NV,97535.33273466496,2049341.4303768943,0.0954,919.0,0.95,0.95,0.95,0,0,0,1000000.0,60.0,0.044,0,0,0,0.95,0
z6,6,6,7,1687.1795,PNW,UT_NV,PNW_to_UT_NV,144546.99397110543,3037116.24368247,0.1377,1687.0,0.95,0.95,0.95,0,0,0,1000000.0,60.0,0.044,0,0,0,0.95,0
z7,7,3,1,2600.0,CA_S,AZ,CA_S_to_AZ,64028.86520145503,1345327.9187996604,0.0912,2600.0,0.95,0.95,0.95,1,0,-1,1000000.0,60.0,0.044,0,0,0,0.95,0
,8,7,1,1200.0,UT_NV,AZ,UT_NV_to_AZ,109984.78332961554,2310920.226227917,0.128,1200.0,0.95,0.95,0.95,0,1,-1,1000000.0,60.0,0.044,0,0,0,0.95,0
,9,6,2,5260.674,PNW,CA_N,PNW_to_CA_N,100768.81769556364,2117281.0632163803,0.098,5261.0,0.95,0.95,0.95,-1,1,0,1000000.0,60.0,0.044,0,0,0,0.95,0
,10,6,3,2780.0,PNW,CA_S,PNW_to_CA_S,112560.66049197318,2365042.682576549,0.1184,2780.0,0.95,0.95,0.95,-1,1,0,1000000.0,60.0,0.044,0,0,0,0.95,0
,11,5,4,1416.9605,NM,MT_WY_CO,NM_to_MT_WY_CO,36990.680563797694,777221.2601504315,0.0375,1417.0,0.95,0.95,0.95,0,-1,0,1000000.0,60.0,0.044,0,0,0,0.95,1
,12,6,4,7153.938,PNW,MT_WY_CO,PNW_to_MT_WY_CO,111052.0762681955,2333345.4087341456,0.1301,7154.0,0.95,0.95,0.95,0,0,0,1000000.0,60.0,0.044,0,0,0,0.95,0
,13,7,4,2387.315,UT_NV,MT_WY_CO,UT_NV_to_MT_WY_CO,97535.33273466496,2049341.4303768943,0.0954,2387.0,0.95,0.95,0.95,0,0,0,1000000.0,60.0,0.044,0,0,0,0.95,0
,14,7,5,657.1785,UT_NV,NM,UT_NV_to_NM,97706.47176666518,2052937.279171369,0.0974,657.0,0.95,0.95,0.95,0,1,0,1000000.0,60.0,0.044,0,0,0,0.95,-1
,15,7,6,500.0,UT_NV,PNW,UT_NV_to_PNW,144546.99397110543,3037116.24368247,0.1377,500.0,0.95,0.95,0.95,0,0,0,1000000.0,60.0,0.044,0,0,0,0.95,0
