Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Total
AnnualSum,881866.6842174188,2.212308195112993e6,264672.0613469417,6.630169810618145e6,611171.2306434738,1.0903525870720206e6,1.6544204492304965e6,1.1703466532717908e6,3.2621813711656113e6,1.9492896493410866e6,361434.1293018195,4.645731250387836e6,1.463608853230832e6,350687.1263801928,247118.36772879123,2.6795358419049453e7
t1,104.42,107.733141860752,45.10615920000001,897.8922435,87.6946374,232.32461714999997,237.12,153.6,515.546052,329.152,44.70643857346258,500.42587415611234,227.749851,64.0091859,68.85,3616.3302007403267
t2,104.42,197.3535927390988,45.10615920000001,897.8922435,87.6946374,232.32461714999997,237.12,153.6,515.546052,329.152,23.606531548628553,789.6111909272162,227.749851,64.0091859,68.85,3974.036061364943
t3,104.42,228.6986829009783,45.10615920000001,897.8922435,87.6946374,232.32461714999997,237.12,153.6,515.546052,329.152,18.525478992113225,668.6211049897081,227.749851,64.0091859,68.85,3879.3100130328
t4,104.42,167.44116813421948,45.10615920000001,897.8922435,87.6946374,232.32461714999997,237.12,153.6,515.546052,329.152,16.18796521263469,905.249855411461,227.749851,64.0091859,68.85,4052.3437349083147
t5,104.42,55.2258958116289,45.10615920000001,897.8922435,87.6946374,232.32461714999997,237.12,153.6,515.546052,329.152,9.75085718740237,689.3013381613067,227.749851,64.0091859,68.85,3717.742837310338
t6,104.42,155.09735179288833,45.10615920000001,897.8922435,87.6946374,232.32461714999997,237.12,153.6,515.546052,329.152,0.0,676.2341303417045,227.749851,64.0091859,68.85,3794.7962282845924
t7,104.42,284.0525499717235,45.10615920000001,897.8922435,87.6946374,232.32461714999997,237.12,153.6,515.546052,329.152,11.402047657727907,930.7273338,227.749851,64.0091859,68.85,4189.6466775794515
t8,104.42,322.5068237406027,45.10615920000001,897.8922435,87.6946374,84.35702588846321,66.57538332798833,19.973312057442335,515.546052,329.152,12.35297067282488,896.6534830934966,227.749851,64.0091859,0.0,3673.9891277808183
t9,104.42,11.528481561618765,0.0,507.6712640397072,87.6946374,0.0,24.770067673681048,153.6,0.0,329.152,2.117711946166806,19.107137203728406,227.749851,64.0091859,0.0,1531.820336724902
t10,104.42,158.1246394226326,0.0,363.7341880698377,87.6946374,0.0,0.0,153.6,0.0,329.152,0.0,0.0,227.749851,64.0091859,0.0,1488.4845017924704
