Fuel,AnnualSum
No_fuel,0.0
AZ_coal,0.0
AZ_naturalgas,2.90237467018471e8
AZ_uranium,3.538266196655809e8
CA_N_naturalgas,8.056217789220844e7
CA_N_uranium,1.0434471220415737e-7
CA_S_naturalgas,7.021053224725537e7
MT_WY_CO_coal,5.485898600528812e8
MT_WY_CO_naturalgas,2.0574876954465387e6
NM_coal,2.223788489988316e7
NM_naturalgas,4.226793026066298e6
PNW_coal,0.0
PNW_naturalgas,4.643067200520916e8
PNW_uranium,1.038403424999999e8
UT_NV_coal,2.9287551238127244e8
UT_NV_naturalgas,3.0547150801155454e8
CA_S_uranium,8.417600711833318e8
MT_WY_CO_uranium,1.7827985273652279e-9
NM_uranium,-6.24363332729254e-8
UT_NV_uranium,4.079446149512229e-8
None,0.0
