Time_Index,Arizona_Solar,BANC_Biogas,BANC_Biomass,BANC_CCGT1,BANC_CCGT2,BANC_Geothermal,BANC_Geothermal_New_Planned,BANC_Hydro,BANC_Li_Battery,BANC_Li_Battery_New_Planned,BANC_Peaker1,BANC_Peaker2,BANC_Reciprocating_Engine,BANC_Solar,BANC_Solar_New_Planned,BANC_Wind,BANC_Wind_New_Planned,Baja_California_Wind,CAISO_Adiabatic_CAES_24hr,CAISO_Advanced_CCGT,CAISO_Advanced_CCGT_CCS_95,CAISO_Advanced_Nuclear_SMR,CAISO_Aero_CT,CAISO_Allam_Cycle_100,CAISO_Biogas,CAISO_Biomass,CAISO_CCGT1,CAISO_CCGT1_Retrofit_CCS_90,CAISO_CCGT2,CAISO_CCGT_Remote,CAISO_CHP,CAISO_Coal,CAISO_Enhanced_Geothermal_Systems,CAISO_Flow_Battery_8hr_Dispatch,CAISO_Generic_Energy_Storage_100hr,CAISO_Generic_Energy_Storage_24hr,CAISO_Geothermal,CAISO_Hydro,CAISO_Li_Battery_4hr_Baseline,CAISO_Li_Battery_4hr_Dispatch,CAISO_Li_Battery_8hr_Baseline,CAISO_Li_Battery_8hr_Dispatch,CAISO_New_Pumped_Storage_12hr,CAISO_New_Reciprocating_Engine,CAISO_Nuclear,CAISO_Peaker1,CAISO_Peaker2,CAISO_Pumped_Hydro,CAISO_Reciprocating_Engine,CAISO_ST,CAISO_Solar,CAISO_Wind,Cape_Mendocino_Offshore_Wind,Central_Nevada_Geothermal,Central_Valley_North_Los_Banos_Wind,Customer_PV,Del_Norte_Offshore_Wind,Distributed_Solar,Greater_Imperial_Geothermal,Greater_Imperial_Solar,Greater_Imperial_Wind,Greater_Kramer_Solar,Greater_LA_Solar,Humboldt_Bay_Offshore_Wind,IID_Biogas,IID_Biomass,IID_CCGT1,IID_Geothermal,IID_Geothermal_New_Planned,IID_Li_Battery,IID_Li_Battery_New_Planned,IID_Peaker1,IID_Peaker2,IID_ST,IID_Solar,IID_Solar_New_Planned,Idaho_Wind,InState_Biomass,Inyokern_North_Kramer_Geothermal,LDWP_Biogas,LDWP_CCGT1,LDWP_CCGT2,LDWP_CHP,LDWP_Coal,LDWP_Geothermal,LDWP_Geothermal_New_Planned,LDWP_Hydro,LDWP_Li_Battery,LDWP_Li_Battery_New_Planned,LDWP_Nuclear,LDWP_Peaker1,LDWP_Peaker1_New_Planned,LDWP_Pumped_Hydro,LDWP_ST,LDWP_Solar,LDWP_Solar_New_Planned,LDWP_Wind,LDWP_Wind_New_Planned,Morro_Bay_Offshore_Wind,NW_Biogas,NW_Biomass,NW_CCGT1,NW_CCGT2,NW_Coal,NW_Geothermal,NW_Hydro,NW_Hydro_for_CAISO,NW_Li_Battery,NW_Li_Battery_New_Planned,NW_Nuclear,NW_Nuclear_New_Planned,NW_Peaker1,NW_Peaker1_New_Planned,NW_Peaker2,NW_Pumped_Hydro,NW_Reciprocating_Engine,NW_Solar,NW_Solar_New_Planned,NW_Wind,NW_Wind_New_Planned,New_Mexico_Wind,Northern_California_Geothermal,Northern_California_Solar,Northern_California_Wind,Northern_Nevada_Geothermal,Pacific_Northwest_Geothermal,Riverside_Solar,SW_Biogas,SW_Biomass,SW_CCGT1,SW_CCGT2,SW_Coal,SW_Geothermal,SW_Hydro,SW_Li_Battery,SW_Li_Battery_New_Planned,SW_Nuclear,SW_Peaker1,SW_Peaker1_New_Planned,SW_Peaker2,SW_Pumped_Hydro,SW_Reciprocating_Engine,SW_ST,SW_Solar,SW_Solar_New_Planned,SW_Wind,SW_Wind_New_Planned,Solano_Wind,Southern_NV_Eldorado_Solar,Southern_NV_Eldorado_Wind,Southern_PGAE_Solar,Tehachapi_Solar,Tehachapi_Wind,Utah_Geothermal,Utah_Wind,Wyoming_Wind
1,0,0.94,0.94,0.94,0.94,0.81,0.81,0.46471,1,1,0.77,0.77,0.78,0,0,0.496369645,0.496369645,0,1,0.6,0.6,1,0.78,0.6,0.974694897,0.938376119,0.6,0.6,0.6,0.6,0.945503464,0.6,0.81,1,1,1,0.999635375,0.48818,1,1,1,1,1,0.78,1,0.78,0.78,1,0.78,1,0,0.191602829,0.660575305,0.81,0.114484691,0,1,0,0.81,0,0,0,0,0.996477056,0.94,0.94,0.42,0.81,0.81,1,1,0.73,0.73,1,0,0,0.40929684,0.938376119,0.81,0.94,0.54,0.54,1,0.54,0.81,0.81,0.43751,1,1,1,1,1,1,0,0,0,0.187407134,0.187407134,0.072007395,0.94,0.94,1,1,1,0.81,0.82056,0.82056,1,1,1,1,1,1,1,1,1,0,0,0.96688125,0.96688125,0.953050289,0.81,0,0.508312369,0.81,0.81,0,0.94,0.94,0.67,0.67,0.95,0.81,0.80702,1,1,1,0.93,0.93,0.93,1,0.93,0.85,0,0,0.276299205,0.276299205,0,0,0.241100796,0,0,0.091744491,0.81,0.266242053,0.998421468
2,0,0.94,0.94,0.94,0.94,0.81,0.81,0.46471,1,1,0.77,0.77,0.78,0,0,0.491032337,0.491032337,0,1,0.6,0.6,1,0.78,0.6,0.974694897,0.938376119,0.6,0.6,0.6,0.6,0.945503464,0.6,0.81,1,1,1,0.999635375,0.48818,1,1,1,1,1,0.78,1,0.78,0.78,1,0.78,1,0,0.198068923,0.729590636,0.81,0.103036222,0,1,0,0.81,0,0,0,0,0.996477056,0.94,0.94,0.42,0.81,0.81,1,1,0.73,0.73,1,0,0,0.327437472,0.938376119,0.81,0.94,0.54,0.54,1,0.54,0.81,0.81,0.43751,1,1,1,1,1,1,0,0,0,0.159296064,0.159296064,0.036003698,0.94,0.94,1,1,1,0.81,0.82056,0.82056,1,1,1,1,1,1,1,1,1,0,0,0.993752125,0.993752125,0.953050289,0.81,0,0.508312369,0.81,0.81,0,0.94,0.94,0.67,0.67,0.95,0.81,0.80702,1,1,1,0.93,0.93,0.93,1,0.93,0.85,0,0,0.24135227,0.24135227,0,0,0.289320955,0,0,0.104850847,0.81,0.226305745,0.998421468
3,0,0.94,0.94,0.94,0.94,0.81,0.81,0.46471,1,1,0.77,0.77,0.78,0,0,0.486495092,0.486495092,0,1,0.6,0.6,1,0.78,0.6,0.974694897,0.938376119,0.6,0.6,0.6,0.6,0.945503464,0.6,0.81,1,1,1,0.999635375,0.48818,1,1,1,1,1,0.78,1,0.78,0.78,1,0.78,1,0,0.203919609,0.7788873,0.81,0.057242346,0,1,0,0.81,0,0,0,0,0.996477056,0.94,0.94,0.42,0.81,0.81,1,1,0.73,0.73,1,0,0,0.286507788,0.938376119,0.81,0.94,0.54,0.54,1,0.54,0.81,0.81,0.43751,1,1,1,1,1,1,0,0,0,0.14055535,0.14055535,0.012001233,0.94,0.94,1,1,1,0.81,0.82056,0.82056,1,1,1,1,1,1,1,1,1,0,0,1,1,0.964396125,0.81,0,0.533727987,0.81,0.81,0,0.94,0.94,0.67,0.67,0.95,0.81,0.80702,1,1,1,0.93,0.93,0.93,1,0.93,0.85,0,0,0.21361314,0.21361314,0.012095252,0,0.337541114,0,0,0.104850847,0.81,0.19968154,0.998421468
4,0,0.94,0.94,0.94,0.94,0.81,0.81,0.46471,1,1,0.77,0.77,0.78,0,0,0.511844636,0.511844636,0,1,0.6,0.6,1,0.78,0.6,0.974694897,0.938376119,0.6,0.6,0.6,0.6,0.945503464,0.6,0.81,1,1,1,0.999635375,0.48818,1,1,1,1,1,0.78,1,0.78,0.78,1,0.78,1,0,0.215390317,0.808465299,0.81,0.045793876,0,1,0,0.81,0,0,0,0,0.996477056,0.94,0.94,0.42,0.81,0.81,1,1,0.73,0.73,1,0,0,0.300151016,0.938376119,0.81,0.94,0.54,0.54,1,0.54,0.81,0.81,0.43751,1,1,1,1,1,1,0,0,0,0.11244428,0.11244428,0.012001233,0.94,0.94,1,1,1,0.81,0.82056,0.82056,1,1,1,1,1,1,1,1,1,0,0,1,1,0.987087799,0.81,0,0.444773323,0.81,0.81,0,0.94,0.94,0.67,0.67,0.95,0.81,0.80702,1,1,1,0.93,0.93,0.93,1,0.93,0.85,0,0,0.183908246,0.183908246,0.072571514,0,0.385761273,0,0,0.078638136,0.81,0.159745232,0.988437253
5,0,0.94,0.94,0.94,0.94,0.81,0.81,0.46471,1,1,0.77,0.77,0.78,0,0,0.555606292,0.555606292,0,1,0.6,0.6,1,0.78,0.6,0.974694897,0.938376119,0.6,0.6,0.6,0.6,0.945503464,0.6,0.81,1,1,1,0.999635375,0.48818,1,1,1,1,1,0.78,1,0.78,0.78,1,0.78,1,0,0.230880126,0.857761964,0.81,0.080139284,0,1,0,0.81,0,0,0,0,0.996477056,0.94,0.94,0.42,0.81,0.81,1,1,0.73,0.73,1,0,0,0.368367156,0.938376119,0.81,0.94,0.54,0.54,1,0.54,0.81,0.81,0.43751,1,1,1,1,1,1,0,0,0,0.103073923,0.103073923,0.024002465,0.94,0.94,1,1,1,0.81,0.82056,0.82056,1,1,1,1,1,1,1,1,1,0,0,1,1,0.998433636,0.81,0,0.470188941,0.81,0.81,0,0.94,0.94,0.67,0.67,0.95,0.81,0.80702,1,1,1,0.93,0.93,0.93,1,0.93,0.85,0,0,0.158571718,0.158571718,0.169333532,0,0.397816313,0,0,0.039319068,0.81,0.146433129,0.998421468
6,0,0.94,0.94,0.94,0.94,0.81,0.81,0.46471,1,1,0.77,0.77,0.78,0,0,0.569481158,0.569481158,0,1,0.6,0.6,1,0.78,0.6,0.974694897,0.938376119,0.6,0.6,0.6,0.6,0.945503464,0.6,0.81,1,1,1,0.999635375,0.48818,1,1,1,1,1,0.78,1,0.78,0.78,1,0.78,1,0,0.234738346,0.985933292,0.81,0.148830099,0,1,0,0.81,0,0,0,0,0.996477056,0.94,0.94,0.42,0.81,0.81,1,1,0.73,0.73,1,0,0,0.573015576,0.938376119,0.81,0.94,0.54,0.54,1,0.54,0.81,0.81,0.43751,1,1,1,1,1,1,0,0,0,0.121814637,0.121814637,0.04800493,0.94,0.94,1,1,1,0.81,0.82056,0.82056,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0.81,0,0.48289675,0.81,0.81,0,0.94,0.94,0.67,0.67,0.95,0.81,0.80702,1,1,1,0.93,0.93,0.93,1,0.93,0.85,0,0,0.152892841,0.152892841,0.217714541,0,0.385761273,0,0,0,0.81,0.173057335,0.998421468
7,0,0.94,0.94,0.94,0.94,0.81,0.81,0.46471,1,1,0.77,0.77,0.78,0,0,0.54359468,0.54359468,0,1,0.6,0.6,1,0.78,0.6,0.974694897,0.938376119,0.6,0.6,0.6,0.6,0.945503464,0.6,0.81,1,1,1,0.999635375,0.48818,1,1,1,1,1,0.78,1,0.78,0.78,1,0.78,1,0,0.234092721,0.985933292,0.81,0.194623975,0,1,0,0.81,0,0,0,0,0.996477056,0.94,0.94,0.42,0.81,0.81,1,1,0.73,0.73,1,0,0,0.818593681,0.938376119,0.81,0.94,0.54,0.54,1,0.54,0.81,0.81,0.43751,1,1,1,1,1,1,0,0,0,0.159296064,0.159296064,0.072007395,0.94,0.94,1,1,1,0.81,0.82056,0.82056,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0.81,0,0.48289675,0.81,0.81,0,0.94,0.94,0.67,0.67,0.95,0.81,0.80702,1,1,1,0.93,0.93,0.93,1,0.93,0.85,0,0,0.155234286,0.155234286,0.229809793,0,0.361651194,0,0,0,0.81,0.226305745,0.998421468
8,0,0.94,0.94,0.94,0.94,0.81,0.81,0.46471,1,1,0.77,0.77,0.78,0,0,0.443785953,0.443785953,0,1,0.6,0.6,1,0.78,0.6,0.974694897,0.938376119,0.6,0.6,0.6,0.6,0.945503464,0.6,0.81,1,1,1,0.999635375,0.48818,1,1,1,1,1,0.78,1,0.78,0.78,1,0.78,1,0.176200236,0.222177443,0.985933292,0.81,0.183175506,0.040636614,1,0.048818506,0.81,0.393134101,0,0.297044065,0.230119927,0.996477056,0.94,0.94,0.42,0.81,0.81,1,1,0.73,0.73,1,0.237635689,0.237635689,0.995955645,0.938376119,0.81,0.94,0.54,0.54,1,0.54,0.81,0.81,0.43751,1,1,1,1,1,1,0,0.087541865,0.087541865,0.206147847,0.206147847,0.09600986,0.94,0.94,1,1,1,0.81,0.82056,0.82056,1,1,1,1,1,1,1,1,1,0,0,1,1,0.873629431,0.81,0,0.508312369,0.81,0.81,0.393134101,0.94,0.94,0.67,0.67,0.95,0.81,0.80702,1,1,1,0.93,0.93,0.93,1,0.93,0.85,0.065135058,0.065135058,0.143535799,0.143535799,0.254000298,0.353507144,0.313431035,0,0.234070814,0,0.81,0.292866259,0.988437253
9,0,0.94,0.94,0.94,0.94,0.81,0.81,0.46471,1,1,0.77,0.77,0.78,0.00848878,0.00848878,0.384275502,0.384275502,0,1,0.6,0.6,1,0.78,0.6,0.974694897,0.938376119,0.6,0.6,0.6,0.6,0.945503464,0.6,0.81,1,1,1,0.999635375,0.48818,1,1,1,1,1,0.78,1,0.78,0.78,1,0.78,1,0.441018116,0.198492302,0.985933292,0.81,0.12593316,0.183150936,1,0.268501785,0.81,0.672132495,0,0.643595475,0.613653138,0.996477056,0.94,0.94,0.42,0.81,0.81,1,1,0.73,0.73,1,0.4615646,0.4615646,0.927739505,0.938376119,0.81,0.94,0.54,0.54,1,0.54,0.81,0.81,0.43751,1,1,1,1,1,1,0,0.232281425,0.232281425,0.206147847,0.206147847,0.108011093,0.94,0.94,1,1,1,0.81,0.82056,0.82056,1,1,1,1,1,1,1,1,1,0.012285484,0.012285484,1,1,0.70344188,0.81,0.025221158,0.737052934,0.81,0.81,0.672132495,0.94,0.94,0.67,0.67,0.95,0.81,0.80702,1,1,1,0.93,0.93,0.93,1,0.93,0.85,0.11458613,0.11458613,0.09985213,0.09985213,0.241905046,0.656513267,0.180825597,0.563027126,0.603656309,0,0.81,0.292866259,0.878610892
10,0.524094823,0.94,0.94,0.94,0.94,0.81,0.81,0.46471,1,1,0.77,0.77,0.78,0.51382988,0.51382988,0.384812436,0.384812436,0,1,0.6,0.6,1,0.78,0.6,0.974694897,0.938376119,0.6,0.6,0.6,0.6,0.945503464,0.6,0.81,1,1,1,0.999635375,0.48818,1,1,1,1,1,0.78,1,0.78,0.78,1,0.78,1,0.528742631,0.19385577,0.985933292,0.81,0.068690815,0.290179764,1,0.451571185,0.81,0.735541221,0,0.717856491,0.703144221,0.996477056,0.94,0.94,0.42,0.81,0.81,1,1,0.73,0.73,1,0.637462409,0.637462409,0.573015576,0.938376119,0.81,0.94,0.54,0.54,1,0.54,0.81,0.81,0.43751,1,1,1,1,1,1,0,0.568714156,0.568714156,0.206147847,0.206147847,0.108011093,0.94,0.94,1,1,1,0.81,0.82056,0.82056,1,1,1,1,1,1,1,1,1,0.352744454,0.352744454,1,1,0.760171064,0.81,0.012610579,0.864131027,0.81,0.81,0.735541221,0.94,0.94,0.67,0.67,0.95,0.81,0.80702,1,1,1,0.93,0.93,0.93,1,0.93,0.85,0.55519241,0.55519241,0.062249228,0.062249228,0.169333532,0.707014287,0.01205504,0.383882132,0.689892925,0,0.81,0.292866259,0.609037095
