Time_Index,BANC_Biogas,BANC_Biomass,BANC_CCGT1,BANC_CCGT2,BANC_Hydro,BANC_Peaker1,BANC_Peaker2,BANC_Reciprocating_Engine,CAISO_Advanced_CCGT,CAISO_Advanced_CCGT_CCS_95,CAISO_Advanced_Nuclear_SMR,CAISO_Aero_CT,CAISO_Allam_Cycle_100,CAISO_Biogas,CAISO_Biomass,CAISO_CCGT1,CAISO_CCGT1_Retrofit_CCS_90,CAISO_CCGT2,CAISO_CCGT_Remote,CAISO_CHP,CAISO_Coal,CAISO_Geothermal,CAISO_Hydro,CAISO_New_Reciprocating_Engine,CAISO_Nuclear,CAISO_Peaker1,CAISO_Peaker2,CAISO_Pumped_Hydro,CAISO_Reciprocating_Engine,CAISO_ST,Customer_PV,IID_Biogas,IID_Biomass,IID_CCGT1,IID_Peaker1,IID_Peaker2,IID_ST,InState_Biomass,LDWP_Biogas,LDWP_CCGT1,LDWP_CCGT2,LDWP_CHP,LDWP_Coal,LDWP_Hydro,LDWP_Nuclear,LDWP_Peaker1,LDWP_Peaker1_New_Planned,LDWP_Pumped_Hydro,LDWP_ST,NW_Biogas,NW_Biomass,NW_CCGT1,NW_CCGT2,NW_Coal,NW_Hydro,NW_Hydro_for_CAISO,NW_Nuclear,NW_Nuclear_New_Planned,NW_Peaker1,NW_Peaker1_New_Planned,NW_Peaker2,NW_Pumped_Hydro,NW_Reciprocating_Engine,SW_Biogas,SW_Biomass,SW_CCGT1,SW_CCGT2,SW_Coal,SW_Hydro,SW_Nuclear,SW_Peaker1,SW_Peaker1_New_Planned,SW_Peaker2,SW_Pumped_Hydro,SW_Reciprocating_Engine,SW_ST
1,15.115,0.8275,0.0,0.0,1630.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.265,353.31000000000006,0.0,0.0,0.0,0.0,600.2900000000001,0.0,1726.865,4964.12,0.0,793.75,0.0,0.0,1854.0,0.0,0.0,0.0,0.0,66.50875,0.0,0.0,0.0,0.0,124.4025,1.20125,0.0,0.0,96.56750000000001,0.0,88.0,508.75,0.0,0.0,870.1850000000001,0.0,10.362499999999999,478.27,0.0,0.0,0.0,18088.052499999998,1833.3275,731.25,0.0,0.0,0.0,0.0,624.975,0.0,4.9025,5.76,601.78,0.0,1635.6625,274.75,3747.5,0.0,0.0,0.0,0.0,0.0,0.0
2,15.115,0.8275,0.0,0.0,1630.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.265,353.31000000000006,0.0,0.0,0.0,0.0,600.2900000000001,0.0,1726.865,4964.12,0.0,793.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.50875,0.0,0.0,0.0,0.0,124.4025,1.20125,0.0,0.0,96.56750000000001,0.0,706.87375,508.75,0.0,0.0,0.0,0.0,10.362499999999999,478.27,0.0,0.0,0.0,19637.521249999998,1833.3275,731.25,0.0,0.0,0.0,0.0,0.0,0.0,4.9025,5.76,601.78,0.0,1635.6625,1908.23625,3747.5,0.0,0.0,0.0,0.0,0.0,0.0
3,15.115,0.8275,0.0,0.0,1630.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.265,353.31000000000006,0.0,0.0,0.0,0.0,600.2900000000001,0.0,1726.865,4964.12,0.0,793.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.50875,0.0,0.0,0.0,0.0,124.4025,1.20125,0.0,0.0,96.56750000000001,0.0,706.87375,508.75,0.0,0.0,0.0,0.0,10.362499999999999,478.27,0.0,0.0,0.0,17928.57375,1833.3275,731.25,0.0,0.0,0.0,0.0,0.0,0.0,4.9025,5.76,601.78,0.0,1635.6625,1072.6287499999999,3747.5,0.0,0.0,0.0,1212.0,0.0,0.0
4,15.115,0.8275,0.0,0.0,1165.7175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.265,353.31000000000006,0.0,0.0,0.0,0.0,600.2900000000001,0.0,1726.865,3983.98625,0.0,793.75,0.0,0.0,1854.0,0.0,0.0,0.0,0.0,66.50875,0.0,0.0,0.0,0.0,124.4025,1.20125,0.0,0.0,96.56750000000001,0.0,88.0,508.75,0.0,0.0,0.0,0.0,10.362499999999999,478.27,0.0,0.0,0.0,19637.521249999998,1833.3275,731.25,0.0,0.0,0.0,0.0,624.975,0.0,4.9025,5.76,601.78,0.0,1635.6625,1908.23625,3747.5,0.0,0.0,0.0,1212.0,0.0,0.0
5,15.115,0.8275,0.0,0.0,1630.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.265,353.31000000000006,0.0,0.0,0.0,0.0,600.2900000000001,0.0,1726.865,3830.7625000000003,0.0,793.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.50875,0.0,0.0,0.0,0.0,124.4025,1.20125,0.0,0.0,96.56750000000001,0.0,88.0,508.75,0.0,0.0,1825.0,0.0,10.362499999999999,478.27,0.0,0.0,0.0,20223.31125,1833.3275,731.25,0.0,0.0,0.0,0.0,0.0,0.0,4.9025,5.76,601.78,0.0,1635.6625,274.75,3747.5,0.0,0.0,0.0,1212.0,0.0,0.0
6,15.115,0.8275,0.0,0.0,587.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.265,353.31000000000006,0.0,0.0,0.0,0.0,600.2900000000001,0.0,1726.865,3642.56375,0.0,793.75,0.0,0.0,1854.0,0.0,0.0,1214.03125,0.0,66.50875,0.0,0.0,0.0,0.0,124.4025,1.20125,0.0,0.0,96.56750000000001,0.0,88.0,508.75,0.0,0.0,0.0,0.0,10.362499999999999,478.27,0.0,0.0,0.0,20223.31125,1833.3275,731.25,0.0,0.0,0.0,0.0,624.975,0.0,4.9025,5.76,601.78,0.0,1635.6625,1908.23625,3747.5,0.0,0.0,0.0,606.0,0.0,0.0
7,15.115,0.8275,0.0,0.0,587.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.265,353.31000000000006,0.0,0.0,0.0,0.0,600.2900000000001,0.0,1726.865,3168.73625,0.0,793.75,0.0,0.0,0.0,0.0,0.0,6158.446249999999,0.0,66.50875,0.0,0.0,0.0,0.0,124.4025,1.20125,0.0,0.0,96.56750000000001,0.0,88.0,508.75,0.0,0.0,0.0,0.0,10.362499999999999,478.27,0.0,0.0,0.0,20138.835,1686.77875,731.25,0.0,0.0,0.0,0.0,624.975,0.0,4.9025,5.76,501.6775,0.0,1635.6625,554.05375,3747.5,0.0,0.0,0.0,0.0,0.0,0.0
8,15.115,0.8275,0.0,0.0,587.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.265,353.31000000000006,0.0,0.0,0.0,0.0,600.2900000000001,0.0,986.32875,2188.6025,0.0,793.75,0.0,0.0,0.0,0.0,0.0,12559.7,0.0,66.50875,0.0,0.0,0.0,0.0,124.4025,1.20125,0.0,0.0,96.56750000000001,0.0,88.0,508.75,0.0,0.0,0.0,0.0,10.362499999999999,478.27,0.0,0.0,0.0,20223.31125,1531.855,731.25,0.0,0.0,0.0,0.0,624.975,0.0,4.9025,5.76,158.66375,0.0,752.405,274.75,3747.5,0.0,0.0,0.0,0.0,0.0,0.0
9,15.115,0.8275,0.0,0.0,587.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.265,353.31000000000006,0.0,0.0,0.0,0.0,600.2900000000001,0.0,986.32875,2035.37875,0.0,793.75,0.0,0.0,0.0,0.0,0.0,19623.151250000003,0.0,66.50875,0.0,0.0,0.0,0.0,124.4025,1.20125,0.0,0.0,96.56750000000001,0.0,88.0,508.75,0.0,0.0,0.0,0.0,10.362499999999999,478.27,0.0,0.0,0.0,19178.463750000003,1403.45125,731.25,0.0,0.0,0.0,0.0,144.225,0.0,4.9025,5.76,158.66375,0.0,374.52625,274.75,3747.5,0.0,0.0,0.0,0.0,0.0,0.0
10,15.115,0.8275,0.0,0.0,587.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.265,353.31000000000006,0.0,0.0,0.0,0.0,600.2900000000001,0.0,986.32875,2035.37875,0.0,793.75,0.0,0.0,0.0,0.0,0.0,25251.838750000003,0.0,66.50875,0.0,0.0,0.0,0.0,124.4025,1.20125,0.0,0.0,96.56750000000001,0.0,88.0,508.75,0.0,0.0,0.0,0.0,10.362499999999999,478.27,0.0,0.0,0.0,17469.51625,1346.59875,731.25,0.0,0.0,0.0,0.0,0.0,0.0,4.9025,5.76,158.66375,0.0,374.52625,274.75,3747.5,0.0,0.0,0.0,0.0,0.0,0.0
