Time_Index,BANC_Hydro,CAISO_Hydro,LDWP_Hydro,NW_Hydro,NW_Hydro_for_CAISO,SW_Hydro
1,0.4700325,0.4833425,0.2533375,0.87217,0.87217,0.33311
2,0.4700325,0.4833425,0.2533375,0.87217,0.87217,0.33311
3,0.4700325,0.4833425,0.2533375,0.87217,0.87217,0.33311
4,0.4700325,0.4833425,0.2533375,0.87217,0.87217,0.33311
5,0.4700325,0.4833425,0.2533375,0.87217,0.87217,0.33311
6,0.4700325,0.4833425,0.2533375,0.87217,0.87217,0.33311
7,0.4700325,0.4833425,0.2533375,0.87217,0.87217,0.33311
8,0.4700325,0.4833425,0.2533375,0.87217,0.87217,0.33311
9,0.4700325,0.4833425,0.2533375,0.87217,0.87217,0.33311
10,0.4700325,0.4833425,0.2533375,0.87217,0.87217,0.33311
11,0.4700325,0.4833425,0.2533375,0.87217,0.87217,0.33311
12,0.4700325,0.4833425,0.2533375,0.87217,0.87217,0.33311
13,0.4700325,0.4833425,0.2533375,0.87217,0.87217,0.33311
14,0.4700325,0.4833425,0.2533375,0.87217,0.87217,0.33311
15,0.4700325,0.4833425,0.2533375,0.87217,0.87217,0.33311
16,0.4700325,0.4833425,0.2533375,0.87217,0.87217,0.33311
17,0.4700325,0.4833425,0.2533375,0.87217,0.87217,0.33311
18,0.4700325,0.4833425,0.2533375,0.87217,0.87217,0.33311
19,0.4700325,0.4833425,0.2533375,0.87217,0.87217,0.33311
20,0.4700325,0.4833425,0.2533375,0.87217,0.87217,0.33311
21,0.4700325,0.4833425,0.2533375,0.87217,0.87217,0.33311
22,0.4700325,0.4833425,0.2533375,0.87217,0.87217,0.33311
23,0.4700325,0.4833425,0.2533375,0.87217,0.87217,0.33311
24,0.4700325,0.4833425,0.2533375,0.87217,0.87217,0.33311
25,0.3431775,0.34479750000000003,0.0593125,0.5459475,0.5459475,0.34142875000000006
26,0.3431775,0.34479750000000003,0.0593125,0.5459475,0.5459475,0.34142875000000006
27,0.3431775,0.34479750000000003,0.0593125,0.5459475,0.5459475,0.34142875000000006
28,0.3431775,0.34479750000000003,0.0593125,0.5459475,0.5459475,0.34142875000000006
29,0.3431775,0.34479750000000003,0.0593125,0.5459475,0.5459475,0.34142875000000006
30,0.3431775,0.34479750000000003,0.0593125,0.5459475,0.5459475,0.34142875000000006
31,0.3431775,0.34479750000000003,0.0593125,0.5459475,0.5459475,0.34142875000000006
32,0.3431775,0.34479750000000003,0.0593125,0.5459475,0.5459475,0.34142875000000006
33,0.3431775,0.34479750000000003,0.0593125,0.5459475,0.5459475,0.34142875000000006
34,0.3431775,0.34479750000000003,0.0593125,0.5459475,0.5459475,0.34142875000000006
35,0.3431775,0.34479750000000003,0.0593125,0.5459475,0.5459475,0.34142875000000006
36,0.3431775,0.34479750000000003,0.0593125,0.5459475,0.5459475,0.34142875000000006
37,0.3431775,0.34479750000000003,0.0593125,0.5459475,0.5459475,0.34142875000000006
38,0.3431775,0.34479750000000003,0.0593125,0.5459475,0.5459475,0.34142875000000006
39,0.3431775,0.34479750000000003,0.0593125,0.5459475,0.5459475,0.34142875000000006
40,0.3431775,0.34479750000000003,0.0593125,0.5459475,0.5459475,0.34142875000000006
41,0.3431775,0.34479750000000003,0.0593125,0.5459475,0.5459475,0.34142875000000006
42,0.3431775,0.34479750000000003,0.0593125,0.5459475,0.5459475,0.34142875000000006
43,0.3431775,0.34479750000000003,0.0593125,0.5459475,0.5459475,0.34142875000000006
44,0.3431775,0.34479750000000003,0.0593125,0.5459475,0.5459475,0.34142875000000006
45,0.3431775,0.34479750000000003,0.0593125,0.5459475,0.5459475,0.34142875000000006
46,0.3431775,0.34479750000000003,0.0593125,0.5459475,0.5459475,0.34142875000000006
47,0.3431775,0.34479750000000003,0.0593125,0.5459475,0.5459475,0.34142875000000006
48,0.3431775,0.34479750000000003,0.0593125,0.5459475,0.5459475,0.34142875000000006
49,0.25257,0.35331625,0.14092500000000002,0.86994875,0.86994875,0.37421875
50,0.25257,0.35331625,0.14092500000000002,0.86994875,0.86994875,0.37421875
51,0.25257,0.35331625,0.14092500000000002,0.86994875,0.86994875,0.37421875
52,0.25257,0.35331625,0.14092500000000002,0.86994875,0.86994875,0.37421875
53,0.25257,0.35331625,0.14092500000000002,0.86994875,0.86994875,0.37421875
54,0.25257,0.35331625,0.14092500000000002,0.86994875,0.86994875,0.37421875
55,0.25257,0.35331625,0.14092500000000002,0.86994875,0.86994875,0.37421875
56,0.25257,0.35331625,0.14092500000000002,0.86994875,0.86994875,0.37421875
57,0.25257,0.35331625,0.14092500000000002,0.86994875,0.86994875,0.37421875
58,0.25257,0.35331625,0.14092500000000002,0.86994875,0.86994875,0.37421875
59,0.25257,0.35331625,0.14092500000000002,0.86994875,0.86994875,0.37421875
60,0.25257,0.35331625,0.14092500000000002,0.86994875,0.86994875,0.37421875
61,0.25257,0.35331625,0.14092500000000002,0.86994875,0.86994875,0.37421875
62,0.25257,0.35331625,0.14092500000000002,0.86994875,0.86994875,0.37421875
63,0.25257,0.35331625,0.14092500000000002,0.86994875,0.86994875,0.37421875
64,0.25257,0.35331625,0.14092500000000002,0.86994875,0.86994875,0.37421875
65,0.25257,0.35331625,0.14092500000000002,0.86994875,0.86994875,0.37421875
66,0.25257,0.35331625,0.14092500000000002,0.86994875,0.86994875,0.37421875
67,0.25257,0.35331625,0.14092500000000002,0.86994875,0.86994875,0.37421875
68,0.25257,0.35331625,0.14092500000000002,0.86994875,0.86994875,0.37421875
69,0.25257,0.35331625,0.14092500000000002,0.86994875,0.86994875,0.37421875
70,0.25257,0.35331625,0.14092500000000002,0.86994875,0.86994875,0.37421875
71,0.25257,0.35331625,0.14092500000000002,0.86994875,0.86994875,0.37421875
72,0.25257,0.35331625,0.14092500000000002,0.86994875,0.86994875,0.37421875
73,0.17534,0.25636,0.060062500000000005,0.66737625,0.66737625,0.24816749999999999
74,0.17534,0.25636,0.060062500000000005,0.66737625,0.66737625,0.24816749999999999
75,0.17534,0.25636,0.060062500000000005,0.66737625,0.66737625,0.24816749999999999
76,0.17534,0.25636,0.060062500000000005,0.66737625,0.66737625,0.24816749999999999
77,0.17534,0.25636,0.060062500000000005,0.66737625,0.66737625,0.24816749999999999
78,0.17534,0.25636,0.060062500000000005,0.66737625,0.66737625,0.24816749999999999
79,0.17534,0.25636,0.060062500000000005,0.66737625,0.66737625,0.24816749999999999
80,0.17534,0.25636,0.060062500000000005,0.66737625,0.66737625,0.24816749999999999
81,0.17534,0.25636,0.060062500000000005,0.66737625,0.66737625,0.24816749999999999
82,0.17534,0.25636,0.060062500000000005,0.66737625,0.66737625,0.24816749999999999
83,0.17534,0.25636,0.060062500000000005,0.66737625,0.66737625,0.24816749999999999
84,0.17534,0.25636,0.060062500000000005,0.66737625,0.66737625,0.24816749999999999
85,0.17534,0.25636,0.060062500000000005,0.66737625,0.66737625,0.24816749999999999
86,0.17534,0.25636,0.060062500000000005,0.66737625,0.66737625,0.24816749999999999
87,0.17534,0.25636,0.060062500000000005,0.66737625,0.66737625,0.24816749999999999
88,0.17534,0.25636,0.060062500000000005,0.66737625,0.66737625,0.24816749999999999
89,0.17534,0.25636,0.060062500000000005,0.66737625,0.66737625,0.24816749999999999
90,0.17534,0.25636,0.060062500000000005,0.66737625,0.66737625,0.24816749999999999
91,0.17534,0.25636,0.060062500000000005,0.66737625,0.66737625,0.24816749999999999
92,0.17534,0.25636,0.060062500000000005,0.66737625,0.66737625,0.24816749999999999
93,0.17534,0.25636,0.060062500000000005,0.66737625,0.66737625,0.24816749999999999
94,0.17534,0.25636,0.060062500000000005,0.66737625,0.66737625,0.24816749999999999
95,0.17534,0.25636,0.060062500000000005,0.66737625,0.66737625,0.24816749999999999
96,0.17534,0.25636,0.060062500000000005,0.66737625,0.66737625,0.24816749999999999
97,0.1966925,0.30911500000000003,0.09845,0.7822625,0.7822625,0.36707999999999996
98,0.1966925,0.30911500000000003,0.09845,0.7822625,0.7822625,0.36707999999999996
99,0.1966925,0.30911500000000003,0.09845,0.7822625,0.7822625,0.36707999999999996
100,0.1966925,0.30911500000000003,0.09845,0.7822625,0.7822625,0.36707999999999996
101,0.1966925,0.30911500000000003,0.09845,0.7822625,0.7822625,0.36707999999999996
102,0.1966925,0.30911500000000003,0.09845,0.7822625,0.7822625,0.36707999999999996
103,0.1966925,0.30911500000000003,0.09845,0.7822625,0.7822625,0.36707999999999996
104,0.1966925,0.30911500000000003,0.09845,0.7822625,0.7822625,0.36707999999999996
105,0.1966925,0.30911500000000003,0.09845,0.7822625,0.7822625,0.36707999999999996
106,0.1966925,0.30911500000000003,0.09845,0.7822625,0.7822625,0.36707999999999996
107,0.1966925,0.30911500000000003,0.09845,0.7822625,0.7822625,0.36707999999999996
108,0.1966925,0.30911500000000003,0.09845,0.7822625,0.7822625,0.36707999999999996
109,0.1966925,0.30911500000000003,0.09845,0.7822625,0.7822625,0.36707999999999996
110,0.1966925,0.30911500000000003,0.09845,0.7822625,0.7822625,0.36707999999999996
111,0.1966925,0.30911500000000003,0.09845,0.7822625,0.7822625,0.36707999999999996
112,0.1966925,0.30911500000000003,0.09845,0.7822625,0.7822625,0.36707999999999996
113,0.1966925,0.30911500000000003,0.09845,0.7822625,0.7822625,0.36707999999999996
114,0.1966925,0.30911500000000003,0.09845,0.7822625,0.7822625,0.36707999999999996
115,0.1966925,0.30911500000000003,0.09845,0.7822625,0.7822625,0.36707999999999996
116,0.1966925,0.30911500000000003,0.09845,0.7822625,0.7822625,0.36707999999999996
117,0.1966925,0.30911500000000003,0.09845,0.7822625,0.7822625,0.36707999999999996
118,0.1966925,0.30911500000000003,0.09845,0.7822625,0.7822625,0.36707999999999996
119,0.1966925,0.30911500000000003,0.09845,0.7822625,0.7822625,0.36707999999999996
120,0.1966925,0.30911500000000003,0.09845,0.7822625,0.7822625,0.36707999999999996
