Resource,Active,GENX Resource Type File,Zone,Resource_Type,New_Build,Can_Retire,Fuel,region,MW_PCC,MW_Gen,MW_Stor,MWh,Gen_Storage
Oberon,TRUE,Thermal,1,RA_Only,0,0,Conventional_DR,CCA,125,125,0,0,non_emitting_gen
OhmConnect,TRUE,Thermal,1,Demand_Response,0,0,Conventional_DR,CCA,10,10,0,0,non_emitting_gen
RosamondCentral,TRUE,Vre,1,Solar,0,0,DefaultFuel,CCA,112,112,0,0,non_emitting_gen
Sanborn,TRUE,Storage,1,4hr_batteries,0,0,,CCA,47,47,0,0,storage
Scarlet,TRUE,Vre_stor,1,Solar_Hybrid,0,0,DefaultFuel,CCA,100,100,100,120,hybrid
SDGE01RA2024,TRUE,Thermal,1,RA_Only,0,0,Conventional_DR,CCA,0,0,0,0,non_emitting_gen
SENA01RA2027,TRUE,Thermal,1,RA_Only,0,0,Conventional_DR,CCA,25,25,0,0,non_emitting_gen
SummitWind,TRUE,Vre,1,In-State Wind,0,0,DefaultFuel,CCA,56.2,56.2,0,0,non_emitting_gen
SUN01RA2031,TRUE,Thermal,1,Demand_Response,0,0,Conventional_DR,CCA,0.5,0.5,0,0,non_emitting_gen
Tecolote,TRUE,Vre,1,Out-of-State Wind,0,0,DefaultFuel,CCA,100,100,0,0,non_emitting_gen
TPS01RA2024,TRUE,Thermal,1,RA_Only,0,0,Conventional_DR,CCA,100,100,0,0,non_emitting_gen
TulareSolarCenter,TRUE,Vre,1,Solar,0,0,DefaultFuel,CCA,55.8,55.8,0,0,non_emitting_gen
Tumbleweed,TRUE,Storage,1,4hr_batteries,0,0,,CCA,50,50,0,0,storage
Generic_6hr_battery,TRUE,Storage,1,6hr_batteries,1,0,,CCA,0,0,0,0,storage
Generic_8hr_battery,TRUE,Storage,1,8hr_batteries,1,0,,CCA,0,0,0,0,storage
Generic_RA_Only,TRUE,Thermal,1,RA_Only,1,0,Conventional_DR,CCA,0,0,0,0,non_emitting_gen
Arizona_Li_Battery,TRUE,Storage,1,4hr_batteries,1,0,,CCA,0,0,0,0,storage
Arizona_Solar,TRUE,Vre,1,Solar,1,0,DefaultFuel,CCA,0,0,0,0,non_emitting_gen
CAISO_Advanced_CCGT_candidate,TRUE,Thermal,1,NG,1,0,CA_Natural_Gas,CCA,0,0,0,0,emitting_gen
CAISO_Aero_CT_candidate,TRUE,Thermal,1,NG,1,0,CA_Natural_Gas,CCA,0,0,0,0,emitting_gen
CAISO_New_Flow_Battery,TRUE,Storage,1,Flow_Battery,1,0,,CCA,0,0,0,0,storage
CAISO_Reciprocating_Engine_candidate,TRUE,Thermal,1,NG,1,0,CA_Natural_Gas,CCA,0,0,0,0,emitting_gen
CAISO_Shed_DR_Tranche1,TRUE,Thermal,1,RA_Only,1,0,Conventional_DR,CCA,0,0,0,0,non_emitting_gen
Greater_Imperial_Geothermal,TRUE,Must_run,1,Geothermal,1,0,Geothermal,CCA,0,0,0,0,non_emitting_gen
Humboldt_Bay_Offshore_Wind,TRUE,Vre,1,Offshore Wind,1,0,DefaultFuel,CCA,0,0,0,0,non_emitting_gen
InState_Biomass,TRUE,Must_run,1,Biomass,1,0,Biomass,CCA,0,0,0,0,non_emitting_gen
