Resource,Zone,Model,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Min_Cap_MW,Var_OM_Cost_per_MWh,Fuel,Heat_Rate_MMBTU_per_MWh,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Min_Power,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
SW_CCGT1,7,1,0,0,3440.2,-1,0.0,0.0,0,0.2444,SW_Natural_Gas,7.3468071648985624,1,89.88884943463597,7.792233925491257,7,4,0.57,0.57,0.2636570891,1,1,0,0,SW,1
SW_CCGT2,7,1,0,0,13158.8,-1,0.0,0.0,0,0.2591122944,SW_Natural_Gas,9.146060637541837,1,90.4966666910709,7.890601959352945,8,5,0.99,0.99,0.1769209465,1,1,0,0,SW,1
SW_Coal,7,1,0,0,1377.4,-1,0.0,0.0,0,2.484733333,SW_Coal_Fuel,10.43819677978449,1,143.780415650902,0,24,24,0.54,0.54,0.228975195,1,1,0,0,SW,1
SW_Geothermal,7,1,0,0,1259.64,-1,0.0,0.0,0,1.0904,None,0.0,1,0,0,13,5,0.5,0.5,0.316738389,1,1,0,0,SW,1
SW_Nuclear,7,1,0,0,2998.0,-1,0.0,0.0,0,1.8001,Uranium,4.318134422948632,1,170.81020680453636,0,24,24,0.01,0.01,0.0,1,1,0,0,SW,1
SW_Peaker1,7,1,0,0,3280.5,-1,0.0,0.0,0,1.6615823363,SW_Natural_Gas,6.969588994556249,1,83.99674679270754,1.8597742388744103,2,2,5.91,5.91,0.1952611207,1,1,0,0,SW,1
SW_Peaker1_New_Planned,7,1,0,0,4314.0,-1,0.0,0.0,0,1.6615823363,SW_Natural_Gas,6.969588994556249,1,83.99674679270754,1.8597742388744103,2,2,5.9,5.9,0.1952611207,1,1,0,0,SW,1
SW_Peaker2,7,1,0,0,1146.3,-1,0.0,0.0,0,1.4841831632,SW_Natural_Gas,10.916958049825219,1,99.19812701736022,1.620000969294426,3,2,5.9,5.9,0.1528204412,1,1,0,0,SW,1
SW_Reciprocating_Engine,7,1,0,0,116.2,-1,0.0,0.0,0,1.034,SW_Natural_Gas,10.722867469900006,1,5.733295180722893,1.6200009693012047,5,3,8.98,8.98,0.11,1,1,0,0,SW,1
SW_ST,7,1,0,0,522.5,-1,0.0,0.0,0,0.3008,SW_Natural_Gas,10.059531919699142,1,93.41943952412426,12.292029975955058,12,8,0.46,0.46,0.1204573695,1,1,0,0,SW,1
Utah_Geothermal,2,1,1,0,0.0,-1,0.0,0.0,0,0.0,None,0.0,1,0,0,11,4,0.5,0.5,0.5507807191,1,1,0,0,CAISO,1
