Resource,ELCC
Aquamarine_Westside,0.102
Arizona_Li_Battery,0.864
Arizona_Solar,0.102
CAISO_Advanced_CCGT_candidate,0.854
CAISO_Aero_CT_candidate,0.816
CAISO_New_Flow_Battery,0.875
CAISO_New_Flow_Battery_12,0.89
CAISO_New_Flow_Battery_8,0.887
CAISO_New_LDES_Battery_12,0.89
CAISO_Reciprocating_Engine_candidate,0.902
CAISO_Shed_DR_Tranche1,0.798
CAM_CAM_RA_i,0.865
CAM_CAM_RA_ii,0.923
CAM_CAM_RA_iii,0.816
CAM_CPE_RA_i,0.816
CAM_CPE_RA_ii,0.854
CAM_DR_RA,0.797
CC_Power_GoalLine,0.887
CC_Power_Tumbleweed,0.887
FishLake,0.875
Generic_4hr_battery_low_cost,0.864
Generic_6hr_battery,0.875
Generic_6hr_battery_low_cost,0.875
Generic_8hr_battery,0.887
Generic_8hr_battery_low_cost,0.887
Generic_RA_Only,0.854
GibsonSolar,0.65
Greater_Imperial_Geothermal,0.878
Humboldt_Bay_Offshore_Wind,0.507
InState_Biomass,0.794
IndianValley_Hydro,0.374
Leapfrog_Power,0.797
Morro_Bay_Offshore_Wind,0.507
NW_Ext_Tx_Wind,0.24
New_Mexico_Wind,0.354
Northern_California_Geothermal,0.878
Northern_California_Li_Battery,0.864
Northern_California_Solar,0.102
Northern_California_Wind,0.273
Ormat_Portfolio,0.878
PutahCreek,0.987
Resurgence_Hybrid,0.841
Riverside_Li_Battery,0.864
Riverside_Palm_Springs_Wind,0.136
Riverside_Solar,0.102
Riverside_West_Pumped_Storage,0.89
Southern_Nevada_Geothermal,0.878
Tehachapi_Pumped_Storage,0.89
Tierra_Buena,0.864
WillowSpringsSolar,0.553
Wyoming_Wind,0.392
