Time_Index,Arizona_Solar,BTM_Solar,DaggettSolarPower3,EdwardsSolarII,FervoFECNevada1,Greater_Imperial_Geothermal,Humboldt_Bay_Offshore_Wind,InState_Biomass,Morro_Bay_Offshore_Wind,New_Mexico_Wind,Northern_California_Geothermal,Northern_California_Solar,Northern_California_Wind,NW_Ext_Tx_Wind,Riverside_Palm_Springs_Wind,Riverside_Solar,RosamondCentral,Scarlet,Southern_Nevada_Geothermal,SummitWind,Tecolote,TulareSolarCenter,Wyoming_Wind,Hybrid_Solar_Test,Hybrid_Wind_Test,CAM_CAM_RA_i,CAM_CAM_RA_ii,CAM_CAM_RA_iii,CAM_DR_RA,CAM_CPE_RA_i,CAM_CPE_RA_ii,Aramis,CALP01RA2027,CHEV01RA2024,CHEV01RA2025,EBMUD01RA2024,GEN01RA2026,HDP01RA2027,HDP01RA2028,HDP01RA2030,HenriettaStorage,MRL01RA2030,NEXT01RA2026,Oberon,OhmConnect,Sanborn,SDGE01RA2024,SENA01RA2027,SUN01RA2031,TPS01RA2024,Tumbleweed,Generic_6hr_battery,Generic_8hr_battery,Generic_RA_Only,Arizona_Li_Battery,CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_New_Flow_Battery,CAISO_Reciprocating_Engine_candidate,CAISO_Shed_DR_Tranche1,Northern_California_Li_Battery,Riverside_Li_Battery,Riverside_West_Pumped_Storage,Tehachapi_Pumped_Storage
14,0.951,0.319,0.733,0.716,0.801,0.881,1.0,0.85,0.87,0.151,0.81,0.773,0.323,0.419,0.869,0.912,0.398,0.336,0.843,0.225,0.845,0.084,0.348,0.912,0.869,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,0.822,0.236,0.758,0.745,0.801,0.881,1.0,0.85,0.84,0.153,0.81,0.7,0.324,0.456,0.822,0.751,0.312,0.123,0.843,0.239,0.309,0.054,0.355,0.751,0.822,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,0.579,0.179,0.49,0.606,0.801,0.881,1.0,0.85,0.73,0.176,0.81,0.494,0.365,0.49,0.729,0.585,0.262,0.069,0.843,0.145,0.35,0.029,0.4,0.585,0.729,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,0.094,0.047,0.055,0.071,0.801,0.881,1.0,0.85,0.62,0.168,0.81,0.155,0.412,0.517,0.627,0.164,0.074,0.018,0.843,0.081,0.191,0.0,0.413,0.164,0.627,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,0.0,0.0,0.0,0.0,0.801,0.881,1.0,0.85,0.57,0.157,0.81,0.0,0.459,0.544,0.611,0.0,0.0,0.0,0.843,0.083,0.18,0.0,0.462,0.0,0.611,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,0.0,0.0,0.0,0.0,0.801,0.881,1.0,0.85,0.58,0.185,0.81,0.0,0.477,0.584,0.723,0.0,0.0,0.0,0.843,0.078,0.2,0.0,0.537,0.0,0.723,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,0.0,0.0,0.0,0.0,0.801,0.881,1.0,0.85,0.63,0.206,0.81,0.0,0.486,0.628,0.771,0.0,0.0,0.0,0.843,0.079,0.296,0.0,0.64,0.0,0.771,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,0.0,0.0,0.0,0.0,0.801,0.881,1.0,0.85,0.64,0.205,0.81,0.0,0.496,0.664,0.745,0.0,0.0,0.0,0.843,0.033,0.256,0.0,0.742,0.0,0.745,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,0.0,0.0,0.0,0.0,0.801,0.881,1.0,0.85,0.6,0.172,0.81,0.0,0.5,0.662,0.691,0.0,0.0,0.0,0.843,0.024,0.421,0.0,0.784,0.0,0.691,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,0.0,0.0,0.0,0.0,0.801,0.881,1.0,0.85,0.58,0.131,0.81,0.0,0.491,0.668,0.709,0.0,0.0,0.0,0.843,0.042,0.299,0.0,0.839,0.0,0.709,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
