Sum Range ID,Operator
Arizona_Flow_Battery_48_GenericTxBuildPotential,<=
Arizona_Flow_Battery_55_GenericTxBuildPotential,<=
Arizona_Flow_Battery_62_GenericTxBuildPotential,<=
Arizona_Flow_Battery_77_GenericTxBuildPotential,<=
Arizona_Flow_Battery_90_GenericTxBuildPotential,<=
Arizona_Li_Battery_4hr_48_GenericTxBuildPotential,<=
Arizona_Li_Battery_4hr_55_GenericTxBuildPotential,<=
Arizona_Li_Battery_4hr_62_GenericTxBuildPotential,<=
Arizona_Li_Battery_4hr_77_GenericTxBuildPotential,<=
Arizona_Li_Battery_4hr_90_GenericTxBuildPotential,<=
Arizona_Li_Battery_8hr_48_GenericTxBuildPotential,<=
Arizona_Li_Battery_8hr_55_GenericTxBuildPotential,<=
Arizona_Li_Battery_8hr_62_GenericTxBuildPotential,<=
Arizona_Li_Battery_8hr_77_GenericTxBuildPotential,<=
Arizona_Li_Battery_8hr_90_GenericTxBuildPotential,<=
Arizona_Solar_48_GenericTxBuildPotential,<=
Arizona_Solar_55_GenericTxBuildPotential,<=
Arizona_Solar_62_GenericTxBuildPotential,<=
Arizona_Solar_77_GenericTxBuildPotential,<=
Arizona_Solar_90_GenericTxBuildPotential,<=
Baja_California_Wind_133_GenericTxBuildPotential,<=
Central_Nevada_Geothermal_42_GenericTxBuildPotential,<=
Central_Valley_North_Los_Banos_Biomass_47_GenericTxBuildPotential,<=
Central_Valley_North_Los_Banos_Wind_125_GenericTxBuildPotential,<=
Central_Valley_North_Los_Banos_Wind_154_GenericTxBuildPotential,<=
Central_Valley_North_Los_Banos_Wind_162_GenericTxBuildPotential,<=
Central_Valley_North_Los_Banos_Wind_17_GenericTxBuildPotential,<=
Greater_Imperial_Biomass_20_GenericTxBuildPotential,<=
Greater_Imperial_Flow_Battery_107_GenericTxBuildPotential,<=
Greater_Imperial_Flow_Battery_108_GenericTxBuildPotential,<=
Greater_Imperial_Flow_Battery_133_GenericTxBuildPotential,<=
Greater_Imperial_Flow_Battery_20_GenericTxBuildPotential,<=
Greater_Imperial_Flow_Battery_63_GenericTxBuildPotential,<=
Greater_Imperial_Geothermal_20_GenericTxBuildPotential,<=
Greater_Imperial_Geothermal_63_GenericTxBuildPotential,<=
Greater_Imperial_Li_Battery_4hr_107_GenericTxBuildPotential,<=
Greater_Imperial_Li_Battery_4hr_108_GenericTxBuildPotential,<=
Greater_Imperial_Li_Battery_4hr_133_GenericTxBuildPotential,<=
Greater_Imperial_Li_Battery_4hr_20_GenericTxBuildPotential,<=
Greater_Imperial_Li_Battery_4hr_63_GenericTxBuildPotential,<=
Greater_Imperial_Li_Battery_8hr_107_GenericTxBuildPotential,<=
Greater_Imperial_Li_Battery_8hr_108_GenericTxBuildPotential,<=
Greater_Imperial_Li_Battery_8hr_133_GenericTxBuildPotential,<=
Greater_Imperial_Li_Battery_8hr_20_GenericTxBuildPotential,<=
Greater_Imperial_Li_Battery_8hr_63_GenericTxBuildPotential,<=
Greater_Imperial_Solar_107_GenericTxBuildPotential,<=
Greater_Imperial_Solar_108_GenericTxBuildPotential,<=
Greater_Imperial_Solar_133_GenericTxBuildPotential,<=
Greater_Imperial_Solar_20_GenericTxBuildPotential,<=
Greater_Imperial_Solar_63_GenericTxBuildPotential,<=
Greater_Imperial_Wind_108_GenericTxBuildPotential,<=
Greater_Kramer_Flow_Battery_103_GenericTxBuildPotential,<=
Greater_Kramer_Flow_Battery_123_GenericTxBuildPotential,<=
Greater_Kramer_Flow_Battery_156_GenericTxBuildPotential,<=
Greater_Kramer_Flow_Battery_86_GenericTxBuildPotential,<=
Greater_Kramer_Li_Battery_4hr_103_GenericTxBuildPotential,<=
Greater_Kramer_Li_Battery_4hr_123_GenericTxBuildPotential,<=
Greater_Kramer_Li_Battery_4hr_156_GenericTxBuildPotential,<=
Greater_Kramer_Li_Battery_4hr_86_GenericTxBuildPotential,<=
Greater_Kramer_Li_Battery_8hr_103_GenericTxBuildPotential,<=
Greater_Kramer_Li_Battery_8hr_123_GenericTxBuildPotential,<=
Greater_Kramer_Li_Battery_8hr_156_GenericTxBuildPotential,<=
Greater_Kramer_Li_Battery_8hr_86_GenericTxBuildPotential,<=
Greater_Kramer_Solar_103_GenericTxBuildPotential,<=
Greater_Kramer_Solar_123_GenericTxBuildPotential,<=
Greater_Kramer_Solar_156_GenericTxBuildPotential,<=
Greater_Kramer_Solar_86_GenericTxBuildPotential,<=
Greater_LA_Flow_Battery_18_GenericTxBuildPotential,<=
Greater_LA_Flow_Battery_30_GenericTxBuildPotential,<=
Greater_LA_Flow_Battery_4_GenericTxBuildPotential,<=
Greater_LA_Flow_Battery_58_GenericTxBuildPotential,<=
Greater_LA_Li_Battery_4hr_18_GenericTxBuildPotential,<=
Greater_LA_Li_Battery_4hr_30_GenericTxBuildPotential,<=
Greater_LA_Li_Battery_4hr_4_GenericTxBuildPotential,<=
Greater_LA_Li_Battery_4hr_58_GenericTxBuildPotential,<=
Greater_LA_Li_Battery_8hr_18_GenericTxBuildPotential,<=
Greater_LA_Li_Battery_8hr_30_GenericTxBuildPotential,<=
Greater_LA_Li_Battery_8hr_4_GenericTxBuildPotential,<=
Greater_LA_Li_Battery_8hr_58_GenericTxBuildPotential,<=
Greater_LA_Solar_18_GenericTxBuildPotential,<=
Greater_LA_Solar_30_GenericTxBuildPotential,<=
Greater_LA_Solar_4_GenericTxBuildPotential,<=
Greater_LA_Solar_58_GenericTxBuildPotential,<=
Idaho_Wind_19_GenericTxBuildPotential,<=
Inyokern_North_Kramer_Geothermal_156_GenericTxBuildPotential,<=
Inyokern_North_Kramer_Geothermal_9_GenericTxBuildPotential,<=
New_Mexico_Wind_55_GenericTxBuildPotential,<=
Northern_California_Biomass_5_GenericTxBuildPotential,<=
Northern_California_Flow_Battery_100_GenericTxBuildPotential,<=
Northern_California_Flow_Battery_112_GenericTxBuildPotential,<=
Northern_California_Flow_Battery_113_GenericTxBuildPotential,<=
Northern_California_Flow_Battery_114_GenericTxBuildPotential,<=
Northern_California_Flow_Battery_116_GenericTxBuildPotential,<=
Northern_California_Flow_Battery_121_GenericTxBuildPotential,<=
Northern_California_Flow_Battery_122_GenericTxBuildPotential,<=
Northern_California_Flow_Battery_126_GenericTxBuildPotential,<=
Northern_California_Flow_Battery_127_GenericTxBuildPotential,<=
Northern_California_Flow_Battery_130_GenericTxBuildPotential,<=
