,Network_zones,CO_2_Max_Mtons_1,CO_2_Cap_Zone_1
AZ,z1,0,0
CA_N,z2,8,1
CA_S,z3,0,1
MT_WY_CO,z4,0,0
NM,z5,0,0
PNW,z6,0,0
UT_NV,z7,0,0
