Time_Index,Arizona_Solar,BANC_Biogas,BANC_Biomass,BANC_CCGT1,BANC_CCGT2,BANC_Geothermal,BANC_Geothermal_New_Planned,BANC_Hydro,BANC_Li_Battery,BANC_Li_Battery_New_Planned,BANC_Peaker1,BANC_Peaker2,BANC_Reciprocating_Engine,BANC_Solar,BANC_Solar_New_Planned,BANC_Wind,BANC_Wind_New_Planned,Baja_California_Wind,CAISO_Adiabatic_CAES_24hr,CAISO_Advanced_CCGT,CAISO_Advanced_CCGT_CCS_95,CAISO_Advanced_Nuclear_SMR,CAISO_Aero_CT,CAISO_Allam_Cycle_100,CAISO_Biogas,CAISO_Biomass,CAISO_CCGT1,CAISO_CCGT1_Retrofit_CCS_90,CAISO_CCGT2,CAISO_CCGT_Remote,CAISO_CHP,CAISO_Coal,CAISO_Enhanced_Geothermal_Systems,CAISO_Flow_Battery_8hr_Dispatch,CAISO_Generic_Energy_Storage_100hr,CAISO_Generic_Energy_Storage_24hr,CAISO_Geothermal,CAISO_Hydro,CAISO_Li_Battery_4hr_Baseline,CAISO_Li_Battery_4hr_Dispatch,CAISO_Li_Battery_8hr_Baseline,CAISO_Li_Battery_8hr_Dispatch,CAISO_New_Pumped_Storage_12hr,CAISO_New_Reciprocating_Engine,CAISO_Nuclear,CAISO_Peaker1,CAISO_Peaker2,CAISO_Pumped_Hydro,CAISO_Reciprocating_Engine,CAISO_ST,CAISO_Shed_DR_Existing,CAISO_Solar,CAISO_Wind,Cape_Mendocino_Offshore_Wind,Central_Nevada_Geothermal,Central_Valley_North_Los_Banos_Wind,Customer_PV,Del_Norte_Offshore_Wind,Distributed_Solar,Greater_Imperial_Geothermal,Greater_Imperial_Solar,Greater_Imperial_Wind,Greater_Kramer_Solar,Greater_LA_Solar,Humboldt_Bay_Offshore_Wind,IID_Biogas,IID_Biomass,IID_CCGT1,IID_Geothermal,IID_Geothermal_New_Planned,IID_Li_Battery,IID_Li_Battery_New_Planned,IID_Peaker1,IID_Peaker2,IID_ST,IID_Solar,IID_Solar_New_Planned,Idaho_Wind,InState_Biomass,Inyokern_North_Kramer_Geothermal,LDWP_Biogas,LDWP_CCGT1,LDWP_CCGT2,LDWP_CHP,LDWP_Coal,LDWP_Geothermal,LDWP_Geothermal_New_Planned,LDWP_Hydro,LDWP_Li_Battery,LDWP_Li_Battery_New_Planned,LDWP_Nuclear,LDWP_Peaker1,LDWP_Peaker1_New_Planned,LDWP_Pumped_Hydro,LDWP_ST,LDWP_Solar,LDWP_Solar_New_Planned,LDWP_Wind,LDWP_Wind_New_Planned,Morro_Bay_Offshore_Wind,NW_Biogas,NW_Biomass,NW_CCGT1,NW_CCGT2,NW_Coal,NW_Geothermal,NW_Hydro,NW_Hydro_for_CAISO,NW_Li_Battery,NW_Li_Battery_New_Planned,NW_Nuclear,NW_Nuclear_New_Planned,NW_Peaker1,NW_Peaker1_New_Planned,NW_Peaker2,NW_Pumped_Hydro,NW_Reciprocating_Engine,NW_Solar,NW_Solar_New_Planned,NW_Wind,NW_Wind_New_Planned,New_Mexico_Wind,Northern_California_Geothermal,Northern_California_Solar,Northern_California_Wind,Northern_Nevada_Geothermal,Pacific_Northwest_Geothermal,Riverside_Solar,SW_Biogas,SW_Biomass,SW_CCGT1,SW_CCGT2,SW_Coal,SW_Geothermal,SW_Hydro,SW_Li_Battery,SW_Li_Battery_New_Planned,SW_Nuclear,SW_Peaker1,SW_Peaker1_New_Planned,SW_Peaker2,SW_Pumped_Hydro,SW_Reciprocating_Engine,SW_ST,SW_Solar,SW_Solar_New_Planned,SW_Wind,SW_Wind_New_Planned,Shed_ag_Pumping,Shed_com_HVAC fans,Shed_com_IT equipment,Shed_com_Lighting,Shed_com_Office Equipment,Shed_com_Refrigeration,Shed_com_Space cooling,Shed_com_Space heating,Shed_com_Water heating,Shed_ind_Ind. cooling,Shed_ind_Ind. heat,Shed_ind_Process,Shed_ind_Pumping,Shed_res_Appliances,Shed_res_Electronics,Shed_res_Lighting,Shed_res_Pool pumps,Shed_res_Refrigeration,Shed_res_Spa heater,Shed_res_Space cooling,Shed_res_Space heating,Shed_res_Water heating,Solano_Wind,Southern_NV_Eldorado_Solar,Southern_NV_Eldorado_Wind,Southern_PGAE_Solar,Tehachapi_Solar,Tehachapi_Wind,Utah_Geothermal,Utah_Wind,Wyoming_Wind
92,0.0,0.93,0.93,0.75,0.75,0.93,0.93,0.0,1.0,1.0,0.34,0.34,0.81,0.0,0.0,0.3079530653,0.3079530653,0.0,1.0,0.52,0.52,1.0,0.81,0.52,0.968002244,0.931066906,0.52,0.52,0.52,0.52,0.949450983,0.52,0.93,1.0,1.0,1.0,0.998046444,0.0,1.0,1.0,1.0,1.0,1.0,0.81,1.0,0.81,0.81,1.0,0.81,1.0,1.0,0.0,0.1787932604,0.6014193078,0.93,0.0572423456,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.93,0.93,0.67,0.93,0.93,1.0,1.0,0.54,0.54,1.0,0.0,0.0,0.5457291204,0.931066906,0.93,0.93,0.74,0.74,1.0,0.74,0.93,0.93,0.0,1.0,1.0,1.0,0.78,0.78,1.0,1.0,0.0,0.0,0.1667059007,0.1667059007,0.2880295801,0.93,0.93,1.0,1.0,1.0,0.93,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1299203389,0.1299203389,0.692096043,0.93,0.0,0.2541561843,0.93,0.93,0.0,0.93,0.93,0.7,0.7,0.95,0.93,0.0,1.0,1.0,1.0,0.61,0.61,0.61,1.0,0.61,0.46,0.0,0.0,0.2196939071,0.2196939071,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2177145411,0.0,0.2531558356,0.0,0.0,0.0,0.93,0.2263057453,0.8386740329
93,0.0,0.93,0.93,0.75,0.75,0.93,0.93,0.0,1.0,1.0,0.34,0.34,0.81,0.0,0.0,0.388812748,0.388812748,0.0,1.0,0.52,0.52,1.0,0.81,0.52,0.968002244,0.931066906,0.52,0.52,0.52,0.52,0.949450983,0.52,0.93,1.0,1.0,1.0,0.998046444,0.0,1.0,1.0,1.0,1.0,1.0,0.81,1.0,0.81,0.81,1.0,0.81,1.0,1.0,0.0,0.1863701343,0.6704346382,0.93,0.1488300985,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.93,0.93,0.67,0.93,0.93,1.0,1.0,0.54,0.54,1.0,0.0,0.0,0.4502265243,0.931066906,0.93,0.93,0.74,0.74,1.0,0.74,0.93,0.93,0.0,1.0,1.0,1.0,0.78,0.78,1.0,1.0,0.0,0.0,0.1686664202,0.1686664202,0.0,0.93,0.93,1.0,1.0,1.0,0.93,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1826128819,0.1826128819,0.7942085739,0.93,0.0,0.3049874211,0.93,0.93,0.0,0.93,0.93,0.7,0.7,0.95,0.93,0.0,1.0,1.0,1.0,0.61,0.61,0.61,1.0,0.61,0.46,0.0,0.0,0.2812878801,0.2812878801,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2298097934,0.0,0.2169907162,0.0,0.0,0.0262127118,0.93,0.2396178479,0.8885951063
94,0.0,0.93,0.93,0.75,0.75,0.93,0.93,0.0,1.0,1.0,0.34,0.34,0.81,0.0,0.0,0.4261739041,0.4261739041,0.0,1.0,0.52,0.52,1.0,0.81,0.52,0.968002244,0.931066906,0.52,0.52,0.52,0.52,0.949450983,0.52,0.93,1.0,1.0,1.0,0.998046444,0.0,1.0,1.0,1.0,1.0,1.0,0.81,1.0,0.81,0.81,1.0,0.81,1.0,1.0,0.0,0.2020941852,0.7591686344,0.93,0.2289693822,0.0,0.8497328757,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.93,0.93,0.67,0.93,0.93,1.0,1.0,0.54,0.54,1.0,0.0,0.0,0.3547239282,0.931066906,0.93,0.93,0.74,0.74,1.0,0.74,0.93,0.93,0.0,1.0,1.0,1.0,0.78,0.78,1.0,1.0,0.0,0.0,0.1499257068,0.1499257068,0.2520258826,0.93,0.93,1.0,1.0,1.0,0.93,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.2674433293,0.2674433293,0.8849752681,0.93,0.0,0.0,0.93,0.93,0.0,0.93,0.93,0.7,0.7,0.95,0.93,0.0,1.0,1.0,1.0,0.61,0.61,0.61,1.0,0.61,0.46,0.0,0.0,0.3312095769,0.3312095769,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.2049356764,0.0,0.0,0.0786381355,0.93,0.2129936426,0.9085635356
95,0.0,0.93,0.93,0.75,0.75,0.93,0.93,0.0,1.0,1.0,0.34,0.34,0.81,0.0,0.0,0.4253738416,0.4253738416,0.0221212646,1.0,0.52,0.52,1.0,0.81,0.52,0.968002244,0.931066906,0.52,0.52,0.52,0.52,0.949450983,0.52,0.93,1.0,1.0,1.0,0.998046444,0.0,1.0,1.0,1.0,1.0,1.0,0.81,1.0,0.81,0.81,1.0,0.81,1.0,1.0,0.0,0.2148177427,0.7690279673,0.93,0.2518663205,0.0,0.6294317598,0.0,0.93,0.0,0.0221212646,0.0,0.0,0.0,0.93,0.93,0.67,0.93,0.93,1.0,1.0,0.54,0.54,1.0,0.0,0.0,0.2728645602,0.931066906,0.93,0.93,0.74,0.74,1.0,0.74,0.93,0.93,0.0,1.0,1.0,1.0,0.78,0.78,1.0,1.0,0.0,0.0,0.1592960635,0.1592960635,0.2160221851,0.93,0.93,1.0,1.0,1.0,0.93,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3325376344,0.3325376344,0.0,0.93,0.0,0.2541561843,0.93,0.93,0.0,0.93,0.93,0.7,0.7,0.95,0.93,0.0,1.0,1.0,1.0,0.61,0.61,0.61,1.0,0.61,0.46,0.0,0.0,0.3472764302,0.3472764302,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2177145411,0.0,0.2169907162,0.0,0.0,0.1179572032,0.93,0.2263057453,0.9385161797
96,0.0,0.93,0.93,0.75,0.75,0.93,0.93,0.0,1.0,1.0,0.34,0.34,0.81,0.0,0.0,0.3917498686,0.3917498686,0.0331818969,1.0,0.52,0.52,1.0,0.81,0.52,0.968002244,0.931066906,0.52,0.52,0.52,0.52,0.949450983,0.52,0.93,1.0,1.0,1.0,0.998046444,0.0,1.0,1.0,1.0,1.0,1.0,0.81,1.0,0.81,0.81,1.0,0.81,1.0,1.0,0.0,0.2357374727,0.6507159724,0.93,0.2633147896,0.0,0.4091306439,0.0,0.93,0.0,0.0331818969,0.0,0.0,0.5978862335,0.93,0.93,0.67,0.93,0.93,1.0,1.0,0.54,0.54,1.0,0.0,0.0,0.1910051921,0.931066906,0.93,0.93,0.74,0.74,1.0,0.74,0.93,0.93,0.0,1.0,1.0,1.0,0.78,0.78,1.0,1.0,0.0,0.0,0.1667059007,0.1667059007,0.2520258826,0.93,0.93,1.0,1.0,1.0,0.93,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4083709372,0.4083709372,0.8169002474,0.93,0.0,0.2668639935,0.93,0.93,0.0,0.93,0.93,0.7,0.7,0.95,0.93,0.0,1.0,1.0,1.0,0.61,0.61,0.61,1.0,0.61,0.46,0.0,0.0,0.3152300908,0.3152300908,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1935240365,0.0,0.2411007958,0.0,0.0,0.1965953387,0.93,0.0,0.9485003943
97,0.0,0.93,0.93,0.75,0.75,0.93,0.93,0.38882,1.0,1.0,0.34,0.34,0.81,0.0,0.0,0.1899953558,0.1899953558,0.3428796015,1.0,0.52,0.52,1.0,0.81,0.52,0.968002244,0.931066906,0.52,0.52,0.52,0.52,0.949450983,0.52,0.93,1.0,1.0,1.0,0.998046444,0.49094,1.0,1.0,1.0,1.0,1.0,0.81,1.0,0.81,0.81,1.0,0.81,1.0,1.0,0.0,0.4089876193,0.5225446445,0.93,0.2747632587,0.0,0.0524526466,0.0,0.93,0.0,0.3428796015,0.0,0.0,0.0,0.93,0.93,0.67,0.93,0.93,1.0,1.0,0.54,0.54,1.0,0.0,0.0,0.3956536123,0.931066906,0.93,0.93,0.74,0.74,1.0,0.74,0.93,0.93,0.33477,1.0,1.0,1.0,0.78,0.78,1.0,1.0,0.0,0.0,0.3504235528,0.3504235528,0.5520566952,0.93,0.93,1.0,1.0,1.0,0.93,0.7448,0.7448,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0995610657,0.0995610657,0.6694043694,0.93,0.0,0.1016624737,0.93,0.93,0.0,0.93,0.93,0.7,0.7,0.95,0.93,0.63447,1.0,1.0,1.0,0.61,0.61,0.61,1.0,0.61,0.46,0.0,0.0,0.2647230329,0.2647230329,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0723302387,0.0,0.0,0.3145525419,0.93,0.2662420532,0.6988950274
98,0.0,0.93,0.93,0.75,0.75,0.93,0.93,0.0,1.0,1.0,0.34,0.34,0.81,0.0,0.0,0.2105445254,0.2105445254,0.0,1.0,0.52,0.52,1.0,0.81,0.52,0.968002244,0.931066906,0.52,0.52,0.52,0.52,0.949450983,0.52,0.93,1.0,1.0,1.0,0.998046444,0.0,1.0,1.0,1.0,1.0,1.0,0.81,1.0,0.81,0.81,1.0,0.81,1.0,1.0,0.0,0.453525244,0.5126853116,0.93,0.2289693822,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.93,0.93,0.67,0.93,0.93,1.0,1.0,0.54,0.54,1.0,0.0,0.0,0.4229400683,0.931066906,0.93,0.93,0.74,0.74,1.0,0.74,0.93,0.93,0.0,1.0,1.0,1.0,0.78,0.78,1.0,1.0,0.0,0.0,0.3743974637,0.3743974637,0.5880603927,0.93,0.93,1.0,1.0,1.0,0.93,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0890641466,0.0890641466,0.6240210223,0.93,0.0,0.1143702829,0.93,0.93,0.0,0.93,0.93,0.7,0.7,0.95,0.93,0.0,1.0,1.0,1.0,0.61,0.61,0.61,1.0,0.61,0.46,0.0,0.0,0.2284655878,0.2284655878,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2781908025,0.0,0.0602751989,0.0,0.0,0.3800843214,0.93,0.2529299506,0.0
99,0.0,0.93,0.93,0.75,0.75,0.93,0.93,0.0,1.0,1.0,0.34,0.34,0.81,0.0,0.0,0.2623174806,0.2623174806,0.3539402338,1.0,0.52,0.52,1.0,0.81,0.52,0.968002244,0.931066906,0.52,0.52,0.52,0.52,0.949450983,0.52,0.93,1.0,1.0,1.0,0.998046444,0.0,1.0,1.0,1.0,1.0,1.0,0.81,1.0,0.81,0.81,1.0,0.81,1.0,1.0,0.0,0.4833679273,0.5619819761,0.93,0.1831755058,0.0,0.0,0.0,0.93,0.0,0.3539402338,0.0,0.0,0.0,0.93,0.93,0.67,0.93,0.93,1.0,1.0,0.54,0.54,1.0,0.0,0.0,0.0,0.931066906,0.93,0.93,0.74,0.74,1.0,0.74,0.93,0.93,0.0,1.0,1.0,1.0,0.78,0.78,1.0,1.0,0.0,0.0,0.372220824,0.372220824,0.6480665552,0.93,0.93,1.0,1.0,1.0,0.93,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0721413786,0.0721413786,0.5786376753,0.93,0.0,0.1270780921,0.93,0.93,0.0,0.93,0.93,0.7,0.7,0.95,0.93,0.0,1.0,1.0,1.0,0.61,0.61,0.61,1.0,0.61,0.46,0.0,0.0,0.1673084515,0.1673084515,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2540002979,0.0,0.0723302387,0.0,0.0,0.445616101,0.93,0.2129936426,0.7588003155
100,0.0,0.93,0.93,0.75,0.75,0.93,0.93,0.0,1.0,1.0,0.34,0.34,0.81,0.0,0.0,0.2903410163,0.2903410163,0.3650008661,1.0,0.52,0.52,1.0,0.81,0.52,0.968002244,0.931066906,0.52,0.52,0.52,0.52,0.949450983,0.52,0.93,1.0,1.0,1.0,0.998046444,0.0,1.0,1.0,1.0,1.0,1.0,0.81,1.0,0.81,0.81,1.0,0.81,1.0,1.0,0.0,0.5008216671,0.6014193078,0.93,0.1717270367,0.0,0.0,0.0,0.93,0.0,0.3650008661,0.0,0.0,0.0,0.93,0.93,0.67,0.93,0.93,1.0,1.0,0.54,0.54,1.0,0.0,0.0,0.3683671562,0.931066906,0.93,0.93,0.74,0.74,1.0,0.74,0.93,0.93,0.0,1.0,1.0,1.0,0.78,0.78,1.0,1.0,0.0,0.0,0.3682997852,0.3682997852,0.6960714852,0.93,0.93,1.0,1.0,1.0,0.93,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0539238059,0.0539238059,0.5105626546,0.93,0.0,0.1906171382,0.93,0.93,0.0,0.93,0.93,0.7,0.7,0.95,0.93,0.0,1.0,1.0,1.0,0.61,0.61,0.61,1.0,0.61,0.46,0.0,0.0,0.1151064673,0.1151064673,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1935240365,0.0,0.0,0.0,0.0,0.4980415246,0.93,0.1863694373,0.678926598
101,0.0,0.93,0.93,0.75,0.75,0.93,0.93,0.0,1.0,1.0,0.34,0.34,0.81,0.0,0.0,0.2863407039,0.2863407039,0.3760614984,1.0,0.52,0.52,1.0,0.81,0.52,0.968002244,0.931066906,0.52,0.52,0.52,0.52,0.949450983,0.52,0.93,1.0,1.0,1.0,0.998046444,0.0,1.0,1.0,1.0,1.0,1.0,0.81,1.0,0.81,0.81,1.0,0.81,1.0,1.0,0.0,0.5026132189,0.5521226432,0.93,0.1602785676,0.0,0.0419621173,0.0,0.93,0.0,0.3760614984,0.0,0.0,0.0,0.93,0.93,0.67,0.93,0.93,1.0,1.0,0.54,0.54,1.0,0.0,0.0,0.3001510162,0.931066906,0.93,0.93,0.74,0.74,1.0,0.74,0.93,0.93,0.0,1.0,1.0,1.0,0.78,0.78,1.0,1.0,0.0,0.0,0.3663392657,0.3663392657,0.7320751827,0.93,0.93,1.0,1.0,1.0,0.93,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0411015488,0.0411015488,0.4651793076,0.93,0.0,0.2795718027,0.93,0.93,0.0,0.93,0.93,0.7,0.7,0.95,0.93,0.0,1.0,1.0,1.0,0.61,0.61,0.61,1.0,0.61,0.46,0.0,0.0,0.0823437157,0.0823437157,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1330477751,0.0,0.0,0.0,0.0,0.5111478805,0.93,0.1730573346,0.5990528806
102,0.0,0.93,0.93,0.75,0.75,0.93,0.93,0.0,1.0,1.0,0.34,0.34,0.81,0.0,0.0,0.2770030836,0.2770030836,0.398182763,1.0,0.52,0.52,1.0,0.81,0.52,0.968002244,0.931066906,0.52,0.52,0.52,0.52,0.949450983,0.52,0.93,1.0,1.0,1.0,0.998046444,0.0,1.0,1.0,1.0,1.0,1.0,0.81,1.0,0.81,0.81,1.0,0.81,1.0,1.0,0.0,0.4901119852,0.4535293141,0.93,0.1488300985,0.0,0.031471588,0.0,0.93,0.0,0.398182763,0.0,0.0,0.0,0.93,0.93,0.67,0.93,0.93,1.0,1.0,0.54,0.54,1.0,0.0,0.0,0.2319348762,0.931066906,0.93,0.93,0.74,0.74,1.0,0.74,0.93,0.93,0.0,1.0,1.0,1.0,0.78,0.78,1.0,1.0,0.0,0.0,0.3813750604,0.3813750604,0.7560776477,0.93,0.93,1.0,1.0,1.0,0.93,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0422702321,0.0422702321,0.3857584502,0.93,0.0,0.355818658,0.93,0.93,0.0,0.93,0.93,0.7,0.7,0.95,0.93,0.0,1.0,1.0,1.0,0.61,0.61,0.61,1.0,0.61,0.46,0.0,0.0,0.0688017784,0.0688017784,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0725715137,0.0,0.0,0.0,0.0,0.5242542365,0.93,0.1996815399,0.5191791632
103,0.0,0.93,0.93,0.75,0.75,0.93,0.93,0.0,1.0,1.0,0.34,0.34,0.81,0.0,0.0,0.1502446869,0.1502446869,0.0,1.0,0.52,0.52,1.0,0.81,0.52,0.968002244,0.931066906,0.52,0.52,0.52,0.52,0.949450983,0.52,0.93,1.0,1.0,1.0,0.998046444,0.0,1.0,1.0,1.0,1.0,1.0,0.81,1.0,0.81,0.81,1.0,0.81,1.0,1.0,0.0208317858,0.4391056208,0.3647953178,0.93,0.1373816293,0.0028617334,0.0209810587,0.0,0.93,0.1014539615,0.0,0.0123768361,0.0,0.0,0.93,0.93,0.67,0.93,0.93,1.0,1.0,0.54,0.54,1.0,0.0571830051,0.0571830051,0.2046484201,0.931066906,0.93,0.93,0.74,0.74,1.0,0.74,0.93,0.93,0.0,1.0,1.0,1.0,0.78,0.78,1.0,1.0,0.0026791098,0.0026791098,0.3796306613,0.3796306613,0.7320751827,0.93,0.93,1.0,1.0,1.0,0.93,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0481174078,0.0481174078,0.2836459192,0.93,0.0,0.3304030396,0.93,0.93,0.1014539615,0.93,0.93,0.7,0.7,0.95,0.93,0.0,1.0,1.0,1.0,0.61,0.61,0.61,1.0,0.61,0.46,0.0157408679,0.0157408679,0.0828154993,0.0828154993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0120952523,0.0378757654,0.0602751989,0.0,0.0,0.5111478805,0.93,0.2129936426,0.3993685871
104,0.0,0.93,0.93,0.75,0.75,0.93,0.93,0.0,1.0,1.0,0.34,0.34,0.81,0.0074242227,0.0074242227,0.2028177045,0.2028177045,0.3539402338,1.0,0.52,0.52,1.0,0.81,0.52,0.968002244,0.931066906,0.52,0.52,0.52,0.52,0.949450983,0.52,0.93,1.0,1.0,1.0,0.998046444,0.0,1.0,1.0,1.0,1.0,1.0,0.81,1.0,0.81,0.81,1.0,0.81,1.0,1.0,0.3205893916,0.3500805029,0.2760613216,0.93,0.0915877529,0.1373632018,0.0104905293,0.1708647725,0.93,0.6214055143,0.3539402338,0.6064649668,0.536946496,0.0,0.93,0.93,0.67,0.93,0.93,1.0,1.0,0.54,0.54,1.0,0.3885226662,0.3885226662,0.1500755081,0.931066906,0.93,0.93,0.74,0.74,1.0,0.74,0.93,0.93,0.0,1.0,1.0,1.0,0.78,0.78,1.0,1.0,0.1762047947,0.1762047947,0.3205680836,0.3205680836,0.6600677877,0.93,0.93,1.0,1.0,1.0,0.93,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0411196538,0.0411196538,0.0433074112,0.0433074112,0.3744126134,0.93,0.2900433166,0.2287405659,0.93,0.93,0.6214055143,0.93,0.93,0.7,0.7,0.95,0.93,0.0,1.0,1.0,1.0,0.61,0.61,0.61,1.0,0.61,0.46,0.0838986339,0.0838986339,0.1253197091,0.1253197091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3156313782,0.0723302387,0.2303292789,0.5420587268,0.4194033892,0.93,0.2396178479,0.4393054458
105,0.1310237056,0.93,0.93,0.75,0.75,0.93,0.93,0.0,1.0,1.0,0.34,0.34,0.81,0.1383115448,0.1383115448,0.1387700084,0.1387700084,0.398182763,1.0,0.52,0.52,1.0,0.81,0.52,0.968002244,0.931066906,0.52,0.52,0.52,0.52,0.949450983,0.52,0.93,1.0,1.0,1.0,0.998046444,0.0,1.0,1.0,1.0,1.0,1.0,0.81,1.0,0.81,0.81,1.0,0.81,1.0,1.0,0.6616205971,0.3407144266,0.1971866583,0.93,0.0572423456,0.3102118973,0.0,0.4149573047,0.93,0.8496769278,0.398182763,0.866378524,0.6136531383,0.0,0.93,0.93,0.67,0.93,0.93,1.0,1.0,0.54,0.54,1.0,0.6130346943,0.6130346943,0.1091458241,0.931066906,0.93,0.93,0.74,0.74,1.0,0.74,0.93,0.93,0.0,1.0,1.0,1.0,0.78,0.78,1.0,1.0,0.3683812458,0.3683812458,0.2739324205,0.2739324205,0.5880603927,0.93,0.93,1.0,1.0,1.0,0.93,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1773731639,0.1773731639,0.0207357616,0.0207357616,0.2609542457,0.93,0.718803002,0.1270780921,0.93,0.93,0.8496769278,0.93,0.93,0.7,0.7,0.95,0.93,0.0,1.0,1.0,1.0,0.61,0.61,0.61,1.0,0.61,0.46,0.230368283,0.230368283,0.1970308198,0.1970308198,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5428859706,0.1326054377,0.767764263,0.8377271233,0.6028923719,0.93,0.1996815399,0.3594317284
