Period_Index,Rep_Period,Rep_Period_Index
1,8057,34
2,3310,12
3,8057,34
4,5506,26
5,3310,12
6,8057,34
7,3310,12
8,8057,34
9,5506,26
10,3310,12
11,8057,34
12,8057,34
13,8057,34
14,8057,34
15,3310,12
16,8057,34
17,8057,34
18,5506,26
19,5506,26
20,3310,12
21,8057,34
22,8057,34
23,8057,34
24,8057,34
25,8057,34
26,3310,12
27,8057,34
28,8057,34
29,5506,26
30,8057,34
31,8057,34
32,2634,11
33,5506,26
34,2634,11
35,2236,8
36,2634,11
37,2634,11
38,2634,11
39,5513,27
40,5513,27
41,2236,8
42,2236,8
43,2236,8
44,2236,8
45,2634,11
46,5506,26
47,2634,11
48,5513,27
49,2236,8
50,2236,8
51,2236,8
52,2634,11
53,2236,8
54,2634,11
55,5506,26
56,5506,26
57,5513,27
58,5513,27
59,5513,27
60,1885,5
61,1885,5
62,1885,5
63,1885,5
64,2634,11
65,1567,3
66,7392,30
67,1885,5
68,1885,5
69,1885,5
70,7392,30
71,7392,30
72,1885,5
73,1885,5
74,1885,5
75,7392,30
76,2634,11
77,7392,30
78,1885,5
79,1885,5
80,7392,30
81,7392,30
82,2634,11
83,2634,11
84,1567,3
85,1885,5
86,1567,3
87,1567,3
88,2634,11
89,1885,5
90,2634,11
91,5262,21
92,6684,29
93,4123,17
94,6684,29
95,6684,29
96,1567,3
97,4123,17
98,2290,9
99,2290,9
100,2290,9
101,1567,3
102,1567,3
103,1567,3
104,6684,29
105,4123,17
106,4123,17
107,4123,17
108,4123,17
109,2290,9
110,4123,17
111,2290,9
112,6684,29
113,1567,3
114,1567,3
115,1567,3
116,2290,9
117,2290,9
118,2290,9
119,6684,29
120,6684,29
121,5262,21
122,3416,13
123,7448,31
124,7448,31
125,7448,31
126,7448,31
127,5262,21
128,5262,21
129,5234,20
130,5234,20
131,7448,31
132,5234,20
133,5234,20
134,7448,31
135,7448,31
136,5234,20
137,5234,20
138,5262,21
139,5234,20
140,5234,20
141,5234,20
142,4123,17
143,7448,31
144,7448,31
145,5234,20
146,7448,31
147,7448,31
148,7448,31
149,7448,31
150,7448,31
151,7448,31
152,5294,22
153,5294,22
154,5294,22
155,5294,22
156,7448,31
157,904,1
158,904,1
159,904,1
160,904,1
161,904,1
162,904,1
163,904,1
164,904,1
165,904,1
166,904,1
167,5234,20
168,904,1
169,904,1
170,904,1
171,904,1
172,904,1
173,904,1
174,904,1
175,5294,22
176,5294,22
177,1991,6
178,1991,6
179,1991,6
180,1991,6
181,1991,6
182,3850,16
183,3850,16
184,3850,16
185,3850,16
186,4224,18
187,4224,18
188,4224,18
189,4224,18
190,4224,18
191,2390,10
192,2390,10
193,3850,16
194,2390,10
195,2390,10
196,2390,10
197,3850,16
198,4224,18
199,4224,18
200,4224,18
201,4224,18
202,4224,18
203,4224,18
204,4224,18
205,4224,18
206,4224,18
207,2390,10
208,2390,10
209,2390,10
210,2390,10
211,2390,10
212,4224,18
213,4597,19
214,8255,35
215,8255,35
216,8255,35
217,8255,35
218,4597,19
219,4597,19
220,4597,19
221,4597,19
222,4597,19
223,8255,35
224,8255,35
225,8255,35
226,8255,35
227,4597,19
228,4597,19
229,4597,19
230,4597,19
231,4597,19
232,5352,23
233,4597,19
234,4597,19
235,4597,19
236,4597,19
237,4597,19
238,4597,19
239,8255,35
240,5352,23
241,4597,19
242,4597,19
243,4597,19
244,5359,24
245,5359,24
246,5359,24
247,5359,24
248,5359,24
249,5359,24
250,5359,24
251,5359,24
252,5359,24
253,5359,24
254,5359,24
255,5359,24
256,5359,24
257,5359,24
258,999,2
259,999,2
260,999,2
261,3545,14
262,4597,19
263,5359,24
264,5359,24
265,999,2
266,999,2
267,5359,24
268,5359,24
269,5359,24
270,999,2
271,999,2
272,5359,24
273,999,2
274,5393,25
275,3545,14
276,3545,14
277,7989,33
278,5771,28
279,5393,25
280,5393,25
281,5393,25
282,5393,25
283,7989,33
284,5771,28
285,5771,28
286,5393,25
287,5771,28
288,5771,28
289,5771,28
290,5771,28
291,5771,28
292,5771,28
293,5393,25
294,5393,25
295,5393,25
296,5771,28
297,5393,25
298,3545,14
299,5771,28
300,5393,25
301,5771,28
302,5771,28
303,5393,25
304,5393,25
305,7989,33
306,7989,33
307,8340,36
308,7989,33
309,7989,33
310,7989,33
311,7989,33
312,8340,36
313,7989,33
314,8340,36
