Sum Range ID,Index 1,MODEL_YEARS,Multiplier
Generic_PGE_North_500_HSN,Generic_PGE_North_500_group,2035,-1.0
Generic_PGE_North_500_offpeak,Central_Valley_North_Los_Banos_Wind_125_Generic,2035,0.44
Generic_PGE_North_500_offpeak,Central_Valley_North_Los_Banos_Wind_154_Generic,2035,0.44
Generic_PGE_North_500_offpeak,Central_Valley_North_Los_Banos_Wind_162_Generic,2035,0.44
Generic_PGE_North_500_offpeak,Central_Valley_North_Los_Banos_Wind_17_Generic,2035,0.44
Generic_PGE_North_500_offpeak,Northern_California_Biomass_5_Generic,2035,1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_100_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_112_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_113_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_114_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_116_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_121_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_122_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_126_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_127_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_132_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_135_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_138_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_141_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_144_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_149_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_150_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_155_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_157_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_158_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_159_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_166_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_172_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_178_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_179_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_180_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_25_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_26_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_29_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_31_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_35_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_38_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_41_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_44_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_5_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_51_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_57_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_68_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_70_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_73_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_76_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_80_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_82_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_83_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_84_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_85_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_92_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_94_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Flow_Battery_96_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Geothermal_100_Generic,2035,1.0
Generic_PGE_North_500_offpeak,Northern_California_Geothermal_35_Generic,2035,1.0
Generic_PGE_North_500_offpeak,Northern_California_Geothermal_5_Generic,2035,1.0
Generic_PGE_North_500_offpeak,Northern_California_Geothermal_70_Generic,2035,1.0
Generic_PGE_North_500_offpeak,Northern_California_Li_Battery_4hr_100_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Li_Battery_4hr_112_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Li_Battery_4hr_113_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Li_Battery_4hr_114_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Li_Battery_4hr_116_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Li_Battery_4hr_121_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Li_Battery_4hr_122_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Li_Battery_4hr_126_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Li_Battery_4hr_127_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Li_Battery_4hr_132_Generic,2035,-1.0
Generic_PGE_North_500_offpeak,Northern_California_Li_Battery_4hr_135_Generic,2035,-1.0
