Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,cluster,heat_rate_mmbtu_mwh,fom_per_mwyr,vom_per_mwh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,fom_per_mwyr_std,num_units,region,technology,Cap_Size,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Start_Fuel_MMBTU_per_MW,Fuel,Start_Cost_per_MW,CO2_Capture_Fraction_Startup,Commit,CO2_Capture_Fraction,CCS_Disposal_Cost_per_Metric_Ton,cost_case,tech_detail,basis_year,capex_mw,Inv_Cost_per_MWyr,Max_Cap_MW,regional_cost_multiplier,interconnect_annuity,interconnect_capex_mw,plant_inv_cost_mwyr,Min_Power,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Model,LINK_STAGES
AZ_conventional_steam_coal_1,1,0,1,1278.0,1,10.813,26293.769,0.93,0.329,0.245,7040.478,4.0,AZ,Conventional Steam Coal,319.5,26293,0.93,10.81,16.5,AZ_coal,129.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.4,1.2,1.2,24,12,1,1
AZ_natural_gas_fired_combined_cycle_1,1,0,1,10138.6,1,7.411,7776.774,3.217,0.485,0.817,3016.784,59.0,AZ,Natural Gas Fired Combined Cycle,162.73,7776,3.22,7.41,2.0,AZ_naturalgas,79.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,3.0,6,8,1,1
AZ_natural_gas_fired_combustion_turbine_1,1,0,1,3639.2,1,11.097,4713.637,5.167,2.564,3.909,4004.989,44.0,AZ,Natural Gas Fired Combustion Turbine,49.79,4713,5.17,11.1,3.5,AZ_naturalgas,69.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6,4.8,4.8,0,0,1,1
AZ_natural_gas_steam_turbine_1,1,0,1,175.0,1,10.965,11156.737,0.339,0.518,1.97,7399.434,1.0,AZ,Natural Gas Steam Turbine,175.0,11156,0.34,10.96,13.7,AZ_naturalgas,69.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6,3.6,3.6,0,0,1,1
AZ_nuclear_1,1,0,1,1834.2,1,10.456,60023.763,0.076,0.0,0.0,0.0,21.0,AZ,Nuclear,187.48,60023,0.08,10.46,0.0,AZ_uranium,0.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.6,48,48,1,1
AZ_other_peaker_1,1,0,1,182.0,1,10.745,3541.0,2.276,0.0,3.924,2879.75,10.0,AZ,Other_peaker,18.2,3541,2.28,10.74,0.0,AZ_naturalgas,69.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6,3.6,3.6,0,0,1,1
CA_N_natural_gas_fired_combined_cycle_1,2,0,1,8172.4,1,7.551,8624.741,1.468,1.132,0.907,3037.162,65.0,CA_N,Natural Gas Fired Combined Cycle,125.73,8624,1.47,7.55,2.0,CA_N_naturalgas,79.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,3.0,6,8,1,1
CA_N_natural_gas_fired_combustion_turbine_1,2,0,1,3191.0,1,11.418,3346.049,2.973,2.634,2.97,3843.22,57.0,CA_N,Natural Gas Fired Combustion Turbine,55.98,3346,2.97,11.42,3.5,CA_N_naturalgas,69.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6,4.8,4.8,0,0,1,1
CA_N_nuclear_1,2,0,1,0.0,1,10.456,60023.763,0.081,0.0,0.0,0.0,0.0,CA_N,Nuclear,1.0,60023,0.08,10.46,0.0,CA_N_uranium,0.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.6,48,48,1,1
CA_N_other_peaker_1,2,0,1,472.4,1,10.639,4269.584,1.299,0.05,4.216,50385.464,65.0,CA_N,Other_peaker,7.27,4269,1.3,10.64,0.0,CA_N_naturalgas,69.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6,3.6,3.6,0,0,1,1
CA_S_natural_gas_fired_combined_cycle_1,3,0,1,10555.7,1,7.543,7490.133,1.87,1.726,1.371,2782.683,78.0,CA_S,Natural Gas Fired Combined Cycle,135.33,7490,1.87,7.54,2.0,CA_S_naturalgas,79.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,3.0,6,8,1,1
CA_S_natural_gas_fired_combustion_turbine_1,3,0,1,5397.2,1,10.995,2508.1,2.286,1.167,2.483,3294.804,111.0,CA_S,Natural Gas Fired Combustion Turbine,48.62,2508,2.29,11.0,3.5,CA_S_naturalgas,69.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6,4.8,4.8,0,0,1,1
CA_S_natural_gas_steam_turbine_1,3,0,1,0.3,1,6.469,15571.0,0.298,1.527,2.234,3544.141,1.0,CA_S,Natural Gas Steam Turbine,0.3,15571,0.3,6.47,13.7,CA_S_naturalgas,69.0,0.0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6,3.6,3.6,0,0,1,1
