Costs,TotalCosts_p1,TotalCosts_p2,TotalCosts_p3,TotalCosts_p4,TotalCosts_p5,TotalCosts_p6,TotalCosts_p7,TotalCosts_p8,TotalCosts_p9,TotalCosts_p10,TotalCosts_p11,TotalCosts_p12,TotalCosts_p13,TotalCosts_p14,TotalCosts_p15,TotalCosts_p16,TotalCosts_p17
cFix,9.271936170801262e10,2.5506825266198105e11,2.4243206765463626e11,2.5523231107111307e11,2.4327629892851453e11,2.8003584653031287e11,2.4041410333042545e11,2.830903226862399e11,2.4486034675920346e11,2.6409384529966226e11,2.493408348408741e11,2.6463044219201025e11,2.494705188196744e11,2.7136958004205643e11,2.406536896801009e11,2.9147020985242505e11,2.4295072302085965e11
cVar,3.1010968580489206e9,5.169728340374681e9,3.443206645667975e9,5.17651393538064e9,3.3889960834593053e9,7.618831841863139e9,6.032047205582395e9,7.456153953375454e9,5.798590788278719e9,5.315323728602463e9,3.539838453611165e9,5.302453189635629e9,3.5167641013933992e9,7.4216073982506275e9,6.439476758872929e9,7.500422660586223e9,6.312913217345036e9
cFuel,8.176466793978537e9,5.910000464109777e9,6.058088786564161e9,5.972004111366348e9,6.05168699385844e9,7.155607020099308e9,1.0239118541284706e10,6.991155399461529e9,1.0023276820086483e10,5.886839048836669e9,6.214437612401089e9,5.906263652994768e9,6.270017268894116e9,7.52934209434416e9,1.0935759722681158e10,7.02890203326657e9,1.0915003386061197e10
cNSE,1.0081750824812362e8,9.862111248124447e8,1.0271727841849843e9,9.756495699460385e8,1.0258558290025886e9,4.2644506357871896e8,6.799176599739923e8,4.2228254722970945e8,7.424568231806085e8,9.398017682074659e8,1.0954153029339764e9,9.380262362186253e8,1.0945023444949253e9,7.394840763436941e8,6.981196849231601e8,4.468530072633643e8,7.175080632031221e8
cStart,12512.345268983681,1.2203857901875536e9,1.4486061716807039e9,1.3255211499966176e9,1.5962454921295488e9,5.0941802734534395e8,9.872070665274094e8,5.305315380773897e8,1.1438097314865305e9,1.473241472522474e9,1.7737756670532563e9,1.7362282602735484e9,1.885373819941371e9,7.4682813283425e7,8.990299099984803e8,5.276474281239896e8,9.759446067589455e8
cUnmetRsv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cNetworkExp,0.0,9.489747568069056e9,2.374973999369566e10,9.3738831574247e9,2.3904258775545315e10,3.6766960300939527e9,2.2561803752626198e10,3.665127250760756e9,2.2341593178080097e10,8.68079130066693e9,2.346295858419908e10,8.528188538913792e9,2.3503605493160957e10,6.610896342293689e9,2.3614146065241524e10,3.358453949426766e9,2.385721448036762e10
cUnmetPolicyPenalty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cCO2,-1.5485915206587433e-9,4.7881479020450685e-11,2.007549182441969e-11,-9.75900236349483e-10,7.193734459419247e-12,-4.760516966355804e-9,-1.9455815351512065e-12,-3.683844760622822e-12,6.314200430240273e-13,4.0628065036683146e-13,-6.151157696126087e-13,1.283636091115167e-11,-3.389465317419473e-10,2.609968132206667e-10,-9.8477811404968e-12,-6.564500259650935e-12,1.0082839159318e-11
