Resource,AZ_batteries_1,AZ_hydroelectric_pumped_storage_1,CA_N_batteries_1,CA_N_hydroelectric_pumped_storage_1,CA_S_batteries_1,CA_S_hydroelectric_pumped_storage_1,MT_WY_CO_batteries_1,MT_WY_CO_hydroelectric_pumped_storage_1,NM_batteries_1,PNW_batteries_1,PNW_hydroelectric_pumped_storage_1,UT_NV_batteries_1,AZ_utilityscale_battery_storage_lithium_ion_conservative_0,CA_N_utilityscale_battery_storage_lithium_ion_conservative_0,CA_S_utilityscale_battery_storage_lithium_ion_conservative_0,MT_WY_CO_utilityscale_battery_storage_lithium_ion_conservative_0,NM_utilityscale_battery_storage_lithium_ion_conservative_0,PNW_utilityscale_battery_storage_lithium_ion_conservative_0,UT_NV_utilityscale_battery_storage_lithium_ion_conservative_0,AZ_utilityscale_battery_storage_lithium_ion_conservative_0_8,CA_N_utilityscale_battery_storage_lithium_ion_conservative_0_8,CA_S_utilityscale_battery_storage_lithium_ion_conservative_0_8,MT_WY_CO_utilityscale_battery_storage_lithium_ion_conservative_0_8,NM_utilityscale_battery_storage_lithium_ion_conservative_0_8,PNW_utilityscale_battery_storage_lithium_ion_conservative_0_8,UT_NV_utilityscale_battery_storage_lithium_ion_conservative_0_8,AZ_conventional_hydroelectric_1,CA_N_conventional_hydroelectric_1,CA_S_conventional_hydroelectric_1,MT_WY_CO_conventional_hydroelectric_1,PNW_conventional_hydroelectric_1,UT_NV_conventional_hydroelectric_1,Total
t16,21040.7,1508.2,1743.4,32927.20917886715,11163.7,25807.5,902.2,7414.521610018528,785.1,258.2,4515.937327532566,3741.2,0.0,11949.754111829207,3664.8162150220824,616.2921228026034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,2793.5,27454.060083750617,521.3143568548049,163479.80500667758
t17,21040.7,1508.2,1743.4,34827.0,11163.7,25807.5,902.2,6767.738947526775,572.1827557135073,188.1314621451481,4164.874655065132,3741.2,0.0,11949.754111829207,3664.8162150220824,587.8091438041317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,761.8430438060518,21087.270869110187,470.3925162302181,155620.91372025246
t18,19751.171503766385,1399.4152928946455,1238.8898442385732,34827.0,11163.7,23945.9734087316,902.2,6120.956285035021,572.1827557135073,188.1314621451481,3813.8119825976983,3741.2,0.0,10392.534735256964,2677.660417709652,587.8091438041317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,148.30102066324497,1269.8139123878964,15130.343609539927,419.4706756056313,142634.06605009004
t19,18766.58174943372,1399.4152928946455,1238.8898442385732,32314.889430678097,10053.815090388793,22084.4468174632,902.2,5474.173622543268,572.1827557135073,188.1314621451481,3813.8119825976983,3741.2,0.0,7975.223889861595,2677.660417709652,587.8091438041317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,148.30102066324497,2031.6569561939482,13167.369961750075,368.5488349810445,131849.80827306036
t20,17921.376817919398,1290.630585789291,1238.8898442385732,29802.778861356193,9128.630490645495,20222.920226194798,902.2,4827.390960051514,572.1827557135073,118.06292429029622,3462.7493101302643,3741.2,0.0,7200.334732713539,1987.5256477813457,587.8091438041317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,1980.099040214799,148.30102066324497,2793.5,12469.386151670828,457.15552187376045,122437.92403505098
t21,16617.479308675207,1290.630585789291,1238.8898442385732,27290.66829203429,8059.5642343690915,18361.393634926397,735.3942517893124,4180.608297559761,572.1827557135073,47.99438643544434,3462.7493101302643,3741.2,0.0,4835.766637967803,993.7628238906728,501.3469961637916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,148.30102066324497,2793.5,10777.359666781012,406.2336812491736,110398.52572837684
t22,15434.401159152594,1181.8458786839365,1238.8898442385732,26960.23321213786,4701.589213551197,17717.87178246918,490.2628345262083,3533.8256350680076,359.2655114270146,47.99438643544434,3181.8991721559996,2683.7065303622185,0.0,3374.501385195363,993.7628238906728,334.23133077586107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,1330.5393643682146,148.30102066324497,2793.5,9854.665347324772,355.3118406245868,98301.39827305095
t23,14679.076019513821,1181.8458786839365,1238.8898442385732,26960.23321213786,1358.9314101824173,15856.345191200782,245.13141726310414,2887.042972576254,146.3482671405219,47.99438643544434,3181.8991721559996,915.3979039726667,0.0,3374.501385195363,993.7628238906728,167.11566538793053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176.7654189225634,1201.4980804295983,148.30102066324497,2412.01162484901,9773.439878340214,304.39,88250.92157317996
t24,12161.217142719692,1160.0889372627182,619.4449221192866,24856.20738548725,0.0,14266.035134133406,0.0,2240.260310084501,0.0,0.0,3181.8991721559996,0.0,0.0,3374.501385195363,993.7628238906728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,1980.099040214799,148.30102066324497,761.8430438060518,9277.310785359572,253.46815937541314,76859.23926246796
t25,5870.0283938129905,1508.2,619.4449221192866,23503.96207560208,4504.101116823423,17616.782998416806,68.75318081599997,4309.964830058501,0.0,258.2,4867.0,0.0,0.0,2321.77220977467,993.7628238906728,142.04831566315954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,244.44705280958505,640.282356280083,12710.81309951827,506.4940978411296,85029.55747342666
t26,5870.0283938129905,1508.2,619.4449221192866,21943.168450924506,3357.9750208178943,15755.256407148407,68.75318081599997,4827.390960052001,0.0,258.2,4867.0,0.0,0.0,2321.77220977467,993.7628238906728,284.0966313263191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,81.48235093652835,1280.564712560166,12348.435454021004,521.3143568548049,81250.34587505527
t27,3229.1446733139405,1508.2,619.4449221192866,21943.168450924506,3357.9750208178943,15755.256407148407,277.11488561199997,5344.817090045501,0.0,258.2,4867.0,0.0,0.0,1891.390619009284,993.7628238906728,284.0966313263191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2072.603302617808,162.9647018730567,640.2823562800829,11218.739375436278,470.17140577536975,76479.1326661904
t28,3229.1446733139405,1508.2,619.4449221192866,19431.057881602603,3357.9750208178943,13893.729815880008,485.476590408,5862.243220039,0.0,258.2,4867.0,1315.0043521879604,0.0,1502.6885396341402,993.7628238906728,284.0966313263191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,244.44705280958505,640.2823562800829,10082.354932278577,419.02845469593456,73337.637267284
t29,3229.1446733139405,1508.2,0.0,19431.057881602603,0.0,13893.729815880008,485.476590408,6379.6693500325,180.9796577498,258.2,4867.0,2238.1376666861997,0.0,0.0,0.0,284.0966313263191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,81.48235093652835,640.2823562800829,8726.556703779512,367.88550361649936,66915.399181612
t30,0.0,1508.2,0.0,19431.057881602603,0.0,13893.729815880008,485.476590408,6897.095480026,226.95631990111306,258.2,4867.0,2238.1376666861997,0.0,0.0,0.0,332.19549147628436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.33816171401463,686.0966973821919,162.9647018730567,1280.5647125601658,7259.8855617314575,521.3143568548049,60372.21343809589
t31,0.0,1508.2,0.0,18749.492356336792,0.0,13893.729815880008,693.838295204,7414.521610019499,407.93597765091306,258.2,4867.0,2238.1376666861997,0.0,0.0,0.0,474.2438071394439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.33816171401475,686.0966973821919,81.48235093652835,1920.847068840249,6218.622375301723,521.3143568548049,60257.00053994637
t32,0.0,1508.2,0.0,20759.180811794693,0.0,15382.951088895008,902.2,7931.947740012999,588.9156354007131,258.2,4867.0,2238.1376666861997,0.0,0.0,518.5205419685487,616.2921228026034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.33816171401475,686.0966973821919,162.9647018730567,2561.129425120332,9182.746188746469,521.3143568548049,69009.13513925162
t33,5470.786137834871,1508.2,163.81544766820002,22768.869267252594,2854.2787693714,16872.17236191001,902.2,8449.373870006499,630.0872875486045,258.2,4867.0,3741.2,0.0,2754.2822330019294,1363.218942771674,616.2921228026034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646.6763234280295,1372.1933947643838,81.48235093652835,2793.5,14831.126239867073,521.3143568548049,93466.26910601919
t34,11434.909449008872,1508.2,690.3436317788,24778.557722710495,5708.5575387428,18361.393634925007,902.2,8966.8,659.7060732712197,258.2,4867.0,3741.2,0.0,5508.564466003858,2207.9173435747994,616.2921228026034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970.0144851420442,2058.2900921465757,162.9647018730567,2793.5,21049.748615168795,521.3143568548049,117765.67423400375
t35,16415.257288283,1508.2,1216.8718158894,26788.246178168396,8562.8363081142,19850.614907940006,902.2,8966.8,785.1,258.2,4867.0,3741.2,0.0,8262.846699005788,3052.615744377925,616.2921228026034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1293.352646856059,2744.3867895287676,244.44705280958505,2401.3004099941254,27268.370990470517,470.17140577536975,140216.31036001575
t36,21040.7,1508.2,1743.4,28797.934633626297,10528.242178420202,21339.836180955004,902.2,8966.8,785.1,258.2,4867.0,3741.2,0.0,10881.932687279317,3052.615744377925,616.2921228026034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,938.1236765719706,2758.7,325.9294037461134,2793.5,28597.839537150037,521.3143568548049,154965.06052178427
t37,21040.7,1508.2,1743.4,30807.623089084198,11163.7,22829.057453970003,902.2,8966.8,785.1,258.2,4867.0,3741.2,0.0,11949.754111829207,3664.8162150220824,616.2921228026034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1261.4618382859853,2758.7,328.7,2793.5,28597.839537150037,521.3143568548049,161105.55872499893
t38,21040.7,1508.2,1743.4,32817.3115445421,11163.7,24318.278726985,902.2,8966.8,785.1,258.2,4867.0,3741.2,0.0,11949.754111829207,3664.8162150220824,616.2921228026034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2408.3055014759134,328.7,2793.5,26854.1272183373,521.3143568548049,162833.699797849
t39,21040.7,1508.2,1743.4,34827.0,11163.7,25807.5,902.2,8966.8,785.1,258.2,4867.0,3741.2,0.0,11949.754111829207,3664.8162150220824,616.2921228026034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,2793.5,20308.363228514878,521.3143568548049,160137.2400350236
t40,21040.7,1508.2,1743.4,34827.0,11163.7,25807.5,657.0685827368959,8320.017337508247,785.1,258.2,4867.0,1972.891373610448,0.0,11949.754111829207,3318.8415259389603,449.1764574146729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,81.48235093652835,1938.6086977000011,13283.858095069932,508.96180431774076,148824.96033706266
t41,21040.7,1508.2,1238.8898442385732,34506.89871333848,7805.724979182107,23945.9734087316,657.0685827368959,7673.234675016493,572.1827557135073,258.2,4867.0,1508.67137610538,0.0,8709.422074906308,3318.8415259389603,282.0607920267423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,81.48235093652835,640.2823562800829,8764.716509597161,457.81885323830556,132180.86879798712
t42,18874.159146752107,1508.2,1238.8898442385732,31994.788144016577,7805.724979182107,22084.4468174632,411.93716547379177,7026.45201252474,572.1827557135073,258.2,4867.0,959.1481074299477,0.0,8709.422074906308,2325.078702048287,114.94512663881179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2072.603302617808,162.9647018730567,1280.5647125601658,6847.704061958304,406.6759021588704,121105.88755755615
t43,14836.356582748826,1508.2,1238.8898442385732,29626.355818917204,7805.724979182107,22084.4468174632,166.80574821068763,6379.669350032987,359.2655114270146,258.2,4867.0,0.0,0.0,8709.422074906308,2325.078702048287,114.94512663881179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1261.4618382859853,2758.7,244.44705280958505,1796.4499526550612,7223.036594993565,355.5329510794352,113919.98894563764
t44,14836.356582748826,1508.2,1238.8898442385732,28528.183214245888,7805.724979182107,20222.920226194798,166.80574821068763,5732.886687541233,146.3482671405219,258.2,4867.0,0.0,0.0,6668.566836427071,2325.078702048287,114.94512663881179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,81.48235093652835,1379.1431298195967,6218.622375301723,304.39,106747.24407067464
t45,11257.717855515015,1508.2,619.4449221192866,28528.183214245888,7805.724979182107,20222.920226194798,0.0,5086.10402504948,146.3482671405219,258.2,4867.0,0.0,0.0,4382.997085593461,2325.078702048287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,162.9647018730567,640.282356280083,6218.622375301723,253.2470489205648,98626.53575946426
t46,11257.717855515015,1508.2,619.4449221192866,26016.072644923985,6996.3899708707995,18361.393634926397,0.0,4439.321362557726,146.3482671405219,258.2,4867.0,0.0,0.0,4382.997085593461,1331.3158781576144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2072.603302617808,244.44705280958505,1098.7621042593698,6549.38493928059,253.2470489205648,91987.64606969271
t47,9391.574375646709,1508.2,619.4449221192866,23503.96207560208,6996.3899708707995,18361.393634926397,0.0,3792.538700065973,146.3482671405219,258.2,4867.0,0.0,0.0,4382.997085593461,1331.3158781576144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1261.4618382859853,2758.7,81.48235093652835,1331.5085416800991,8672.752442135432,253.2470489205648,89518.51713208146
t48,9391.574375646709,1508.2,619.4449221192866,23503.96207560208,4504.101116823423,17616.782998416806,0.0,3792.538700065001,0.0,258.2,4867.0,0.0,0.0,4382.997085593461,1331.3158781576144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2072.603302617808,162.9647018730567,640.282356280083,10803.174803843256,253.2470489205648,87293.18936595914
t49,18003.86951369653,1399.4152928946455,619.4449221192866,28358.49817014191,11163.7,21712.141499207006,902.2,8966.8,572.1827557135073,258.2,4867.0,3741.2,0.0,8662.592174494781,1683.0721028048424,616.2921228026034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.6330448534666,2758.7,328.7,2793.5,27934.772313456655,472.0111130519881,146634.92502523723
t50,15005.462483915186,1290.630585789291,0.0,25846.387600820006,7805.724979182107,21712.141499207006,902.2,8966.8,572.1827557135073,258.2,4867.0,3741.2,0.0,7211.74634581329,1683.0721028048424,616.2921228026034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0124729005836,2758.7,328.7,1969.9393194643185,25183.909536020736,501.60297521126733,131774.90477964474
t51,11910.274643119239,1181.8458786839365,0.0,23334.277031498103,7805.724979182107,19850.614907938605,902.2,8966.8,466.84374675915257,258.2,4867.0,3741.2,0.0,3971.414308890391,1248.4320018195715,616.2921228026034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615.1740298782883,2758.7,328.7,755.705679035549,22086.95920278489,452.2997314084505,116118.65826380085
