Resource,Derating_Factor_1
BTM_Solar,0.0
CAM_CAM_RA_i,0.773
CAM_CAM_RA_ii,0.893
CAM_CAM_RA_iii,0.821
CAM_DR_RA,0.621
CAM_CPE_RA_i,0.822
CAM_CPE_RA_ii,0.869
Aramis,0.773
CALP01RA2027,0.822
CHEV01RA2024,0.822
CHEV01RA2025,0.892
DaggettSolarPower3,0.287
EBMUD01RA2024,0.503
EdwardsSolarII,0.083
FervoFECNevada1,0.926
GEN01RA2026,0.869
HDP01RA2027,0.869
HDP01RA2028,0.869
HDP01RA2030,0.869
HenriettaStorage,0.773
MRL01RA2030,0.822
NEXT01RA2026,0.822
Oberon,0.868
OhmConnect,0.621
RosamondCentral,0.083
Sanborn,0.773
Scarlet,0.327
SDGE01RA2024,0.869
SENA01RA2027,0.822
SummitWind,0.119
SUN01RA2031,0.62
Tecolote,0.0
TPS01RA2024,0.503
TulareSolarCenter,0.083
Tumbleweed,0.773
Generic_6hr_battery,0.821
Generic_8hr_battery,0.858
Generic_RA_Only,0.869
Arizona_Li_Battery,0.773
Arizona_Solar,0.083
CAISO_Advanced_CCGT_candidate,0.869
CAISO_Aero_CT_candidate,0.822
CAISO_New_Flow_Battery,0.773
CAISO_Reciprocating_Engine_candidate,0.922
CAISO_Shed_DR_Tranche1,0.621
Greater_Imperial_Geothermal,0.926
Humboldt_Bay_Offshore_Wind,0.509
InState_Biomass,0.826
Morro_Bay_Offshore_Wind,0.509
New_Mexico_Wind,0.292
Northern_California_Geothermal,0.926
Northern_California_Li_Battery,0.773
Northern_California_Solar,0.083
Northern_California_Wind,0.119
NW_Ext_Tx_Wind,0.198
Riverside_Li_Battery,0.773
Riverside_Palm_Springs_Wind,0.06
Riverside_Solar,0.083
Riverside_West_Pumped_Storage,0.858
Southern_Nevada_Geothermal,0.926
Tehachapi_Pumped_Storage,0.858
Wyoming_Wind,0.323
Hybrid_Solar_Test,0.327
Hybrid_Wind_Test,0.327
