Resource,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,Total
t506,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t507,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t508,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t509,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t510,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t511,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t512,1559.1779885481108,0.0,0.0,0.0,0.0,0.0,0.0,1559.1779885481108
t513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t521,227.9246247330533,0.0,0.0,0.0,0.0,0.0,0.0,227.9246247330533
t522,809.6745424721744,0.0,0.0,0.0,0.0,0.0,0.0,809.6745424721744
t523,811.0964705702514,0.0,0.0,0.0,0.0,0.0,0.0,811.0964705702514
t524,1047.2742495100922,0.0,0.0,0.0,-1.7470408983296436e-13,0.0,0.0,1047.274249510092
t525,1471.4967258391853,0.0,0.0,0.0,0.0,0.0,0.0,1471.4967258391853
t526,1694.1428176759234,0.0,0.0,0.0,0.0,0.0,0.0,1694.1428176759234
t527,1985.3017604126649,0.0,0.0,0.0,0.0,0.0,0.0,1985.3017604126649
t528,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t529,2459.8136968310005,0.0,0.0,0.0,0.0,7.555078969289752e-11,0.0,2459.813696831076
t530,2459.8136968310005,0.0,0.0,0.0,0.0,1.8911826185655932e-11,0.0,2459.8136968310196
t531,2459.8136968310005,0.0,0.0,0.0,0.0,0.0,0.0,2459.8136968310005
t532,2459.8136968310005,0.0,0.0,0.0,0.0,0.0,0.0,2459.8136968310005
t533,2459.8136968310005,0.0,0.0,0.0,0.0,0.0,0.0,2459.8136968310005
t534,2459.8136968310005,0.0,0.0,0.0,0.0,0.0,0.0,2459.8136968310005
t535,2459.8136968310005,0.0,0.0,0.0,0.0,0.0,0.0,2459.8136968310005
t536,108.59310011260024,0.0,0.0,0.0,0.0,0.0,0.0,108.59310011260024
t537,108.4887664796897,0.0,0.0,0.0,0.0,0.0,0.0,108.4887664796897
t538,108.4887664796897,0.0,0.0,0.0,0.0,0.0,0.0,108.4887664796897
t539,108.4887664796897,0.0,0.0,0.0,0.0,0.0,0.0,108.4887664796897
t540,108.4887664796897,0.0,0.0,0.0,0.0,0.0,0.0,108.4887664796897
t541,108.4887664796897,0.0,0.0,0.0,0.0,0.0,0.0,108.4887664796897
t542,108.4887664796897,0.0,0.0,0.0,0.0,0.0,0.0,108.4887664796897
t543,108.4887664796897,0.0,0.0,0.0,0.0,0.0,0.0,108.4887664796897
t544,1099.4133616838876,0.0,0.0,0.0,0.0,0.0,0.0,1099.4133616838876
t545,2459.8136968310005,0.0,0.0,0.0,0.0,0.0,0.0,2459.8136968310005
t546,2459.8136968310005,0.0,0.0,0.0,0.0,0.0,0.0,2459.8136968310005
t547,2459.8136968310005,0.0,0.0,0.0,0.0,0.0,0.0,2459.8136968310005
t548,2459.8136968310005,0.0,0.0,0.0,0.0,0.0,0.0,2459.8136968310005
t549,2459.8136968310005,0.0,0.0,0.0,0.0,0.0,0.0,2459.8136968310005
t550,2459.8136968310005,0.0,0.0,0.0,0.0,0.0,0.0,2459.8136968310005
t551,2459.8136968310005,0.0,0.0,0.0,0.0,0.0,0.0,2459.8136968310005
t552,2459.8136968310005,0.0,0.0,0.0,0.0,9.455913092827966e-12,0.0,2459.81369683101
t553,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t554,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t555,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t556,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t557,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t558,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t559,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t560,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t561,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t562,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t563,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t564,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t565,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t566,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t567,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t568,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t569,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t570,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t571,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t572,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t573,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t574,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t575,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t576,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t577,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t578,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
