Sum Range ID,Target
Arizona_Solar_MinBuild,2917
Baja_California_Wind_MinBuild,300
Cape_Mendocino_Offshore_Wind_MinBuild,0
Central_Nevada_Geothermal_MinBuild,0
Central_Valley_North_Los_Banos_Wind_MinBuild,61
Greater_Imperial_Geothermal_MinBuild,0
Greater_Imperial_Solar_MinBuild,299
Greater_Kramer_Li_Battery_8hr_MinBuild,0
Greater_Kramer_Solar_MinBuild,515
Humboldt_Bay_Offshore_Wind_MinBuild,0
Idaho_Wind_MinBuild,0
Morro_Bay_Offshore_Wind_MinBuild,0
New_Mexico_Wind_MinBuild,1685
Northern_California_Geothermal_MinBuild,25
Northern_California_Li_Battery_4hr_MinBuild,0
Northern_California_Solar_MinBuild,128
Northern_California_Wind_MinBuild,0
Pacific_Northwest_Geothermal_MinBuild,0
Riverside_Solar_MinBuild,1849
Solano_Wind_MinBuild,91
Southern_NV_Eldorado_Li_Battery_4hr_MinBuild,0
Southern_NV_Eldorado_Solar_MinBuild,775
Southern_NV_Eldorado_Wind_MinBuild,0
Southern_PGAE_Li_Battery_4hr_MinBuild,0
Southern_PGAE_Solar_MinBuild,2785
Tehachapi_Li_Battery_4hr_MinBuild,0
Tehachapi_Solar_MinBuild,1810
Tehachapi_Wind_MinBuild,0
Wyoming_Wind_MinBuild,0
