Resource,ELCC
BTM_Solar,0.05
CAM_CAM_RA_i,0.85
CAM_CAM_RA_ii,0.9
CAM_CAM_RA_iii,0.8
CAM_DR_RA,0.77
CAM_CPE_RA_i,0.8
CAM_CPE_RA_ii,0.84
Aramis,0.85
CALP01RA2027,0.8
CHEV01RA2024,0.8
CHEV01RA2025,0.9
DaggettSolarPower3,0.32
EBMUD01RA2024,0.51
EdwardsSolarII,0.1
FervoFECNevada1,0.86
GEN01RA2026,0.84
HDP01RA2027,0.84
HDP01RA2028,0.84
HDP01RA2030,0.84
HenriettaStorage,0.85
MRL01RA2030,0.8
NEXT01RA2026,0.8
Oberon,0.98
OhmConnect,0.77
RosamondCentral,0.1
Sanborn,0.85
Scarlet,0.36
SDGE01RA2024,0.84
SENA01RA2027,0.8
SummitWind,0.24
SUN01RA2031,0.78
Tecolote,0.0
TPS01RA2024,0.51
TulareSolarCenter,0.1
Tumbleweed,0.85
Generic_6hr_battery,0.87
Generic_8hr_battery,0.89
Generic_RA_Only,0.84
Arizona_Li_Battery,0.85
Arizona_Solar,0.1
CAISO_Advanced_CCGT_candidate,0.84
CAISO_Aero_CT_candidate,0.8
CAISO_New_Flow_Battery,0.85
CAISO_Reciprocating_Engine_candidate,0.93
CAISO_Shed_DR_Tranche1,0.77
Greater_Imperial_Geothermal,0.86
Humboldt_Bay_Offshore_Wind,0.55
InState_Biomass,0.78
Morro_Bay_Offshore_Wind,0.55
New_Mexico_Wind,0.38
Northern_California_Geothermal,0.86
Northern_California_Li_Battery,0.85
Northern_California_Solar,0.1
Northern_California_Wind,0.24
NW_Ext_Tx_Wind,0.26
Riverside_Li_Battery,0.85
Riverside_Palm_Springs_Wind,0.12
Riverside_Solar,0.1
Riverside_West_Pumped_Storage,0.89
Southern_Nevada_Geothermal,0.86
Tehachapi_Pumped_Storage,0.89
Wyoming_Wind,0.43
Hybrid_Solar_Test,0.36
Hybrid_Wind_Test,0.41
