Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7
2000.0,1.0,1.0,1.0,2000.0,25.0,24.0,3.428571428571429,1,18942.0,19317.0,33531.0,17508.0,5261.0,32299.0,15065.0
,2.0,0.9,0.04,1800.0,,,3.428571428571429,2,19116.0,20328.0,32159.0,18017.0,5284.0,34845.0,14879.0
,3.0,0.55,0.024,1100.0,,,3.428571428571429,3,18618.0,20630.0,30622.0,18153.0,5283.0,35727.0,14350.0
,4.0,0.2,0.003,400.0,,,3.428571428571429,4,18450.0,21164.0,32516.0,18209.0,5317.0,35114.0,14293.0
,,,,,,,699.4285714285714,5,18522.0,22118.0,33077.0,18240.0,5343.0,34773.0,14189.0
,,,,,,,2077.714285714286,6,18672.0,22990.0,32183.0,17999.0,5293.0,34568.0,13994.0
,,,,,,,1536.0,7,18830.0,23354.0,30008.0,17433.0,5196.0,34093.0,13972.0
,,,,,,,3.428571428571429,8,18888.0,23129.0,30184.0,17093.0,5136.0,33368.0,13883.0
,,,,,,,1107.4285714285716,9,18761.0,23177.0,30926.0,16975.0,5098.0,32685.0,13864.0
,,,,,,,3.428571428571429,10,18712.0,22948.0,31321.0,17032.0,5143.0,32272.0,13945.0
,,,,,,,3.428571428571429,11,18837.0,22954.0,31644.0,17270.0,5195.0,32102.0,14199.0
,,,,,,,3.428571428571429,12,19150.0,22849.0,33368.0,17621.0,5264.0,32329.0,14528.0
,,,,,,,3.428571428571429,13,19848.0,23213.0,35748.0,18303.0,5353.0,33435.0,14919.0
,,,,,,,3.428571428571429,14,20338.0,24694.0,38355.0,18340.0,5298.0,35026.0,15429.0
,,,,,,,3.428571428571429,15,19975.0,24775.0,39765.0,18083.0,5120.0,34913.0,15397.0
,,,,,,,3.428571428571429,16,19240.0,24013.0,40221.0,17581.0,4896.0,33969.0,15238.0
,,,,,,,3.428571428571429,17,18312.0,22776.0,40668.0,17127.0,4704.0,32508.0,14985.0
,,,,,,,3.428571428571429,18,17261.0,21441.0,40732.0,16524.0,4540.0,30825.0,14701.0
,,,,,,,3.428571428571429,19,16587.0,20159.0,41209.0,16512.0,4503.0,29179.0,14425.0
,,,,,,,3.428571428571429,20,16429.0,19670.0,41551.0,16733.0,4617.0,28556.0,14261.0
,,,,,,,3.428571428571429,21,16547.0,19949.0,41880.0,16616.0,4618.0,28868.0,14226.0
,,,,,,,3.428571428571429,22,16353.0,19429.0,42001.0,15917.0,4650.0,28591.0,14090.0
,,,,,,,3.428571428571429,23,16137.0,18211.0,41386.0,16088.0,4807.0,27822.0,13784.0
,,,,,,,3270.857142857143,24,16933.0,18375.0,40737.0,16543.0,4908.0,28686.0,13760.0
,,,,,,,3.428571428571429,25,17653.0,18905.0,34121.0,16810.0,4819.0,31127.0,13665.0
,,,,,,,,26,17690.0,20041.0,32549.0,16981.0,4809.0,33409.0,13720.0
,,,,,,,,27,17749.0,20347.0,30999.0,17176.0,4896.0,34169.0,13333.0
,,,,,,,,28,18364.0,20801.0,30287.0,17394.0,5025.0,34171.0,13558.0
,,,,,,,,29,19178.0,21916.0,30962.0,17496.0,5160.0,34374.0,13741.0
