Resource,Oberon,NEXT01RA2026,CAM_CAM_RA_i,CAM_CPE_RA_ii,CAM_CPE_RA_i,CAISO_Advanced_CCGT_candidate,HDP01RA2027,SUN01RA2031,CAISO_Shed_DR_Tranche1,Aramis,SENA01RA2027,CALP01RA2027,TPS01RA2024,CAM_DR_RA,EBMUD01RA2024,HDP01RA2030,MRL01RA2030,CAISO_Aero_CT_candidate,CHEV01RA2025,CAM_CAM_RA_ii,OhmConnect,SDGE01RA2024,CHEV01RA2024,HDP01RA2028,CAM_CAM_RA_iii,Generic_RA_Only,GEN01RA2026,CAISO_Reciprocating_Engine_candidate
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t1,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t2,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t3,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t4,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t5,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t6,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t7,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t8,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t9,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t10,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t11,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t12,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t13,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t14,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t15,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t16,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t17,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t18,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t19,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t20,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t21,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t22,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t23,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t24,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t25,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t26,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t27,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t28,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t29,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t30,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t31,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t32,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t33,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t34,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t35,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t36,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t37,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t38,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t39,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t40,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t41,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t42,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t43,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t44,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t45,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t46,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t47,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t48,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t49,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t50,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t51,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t52,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t53,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t54,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t55,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t56,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t57,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t58,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t59,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t60,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t61,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t62,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t63,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t64,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t65,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t66,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t67,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t68,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t69,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t70,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t71,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t72,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t73,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t74,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t75,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t76,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t77,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t78,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t79,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t80,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t81,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t82,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t83,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t84,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t85,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t86,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t87,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t88,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t89,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t90,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t91,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t92,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t93,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t94,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t95,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t96,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t97,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t98,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t99,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t100,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t101,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t102,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t103,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t104,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
t105,125.0,32.0,44.4,0.0,151.85,0.222210735746536,100.0,0.5,0.0,10.0,25.0,100.0,100.0,17.9305,2.4,100.0,100.0,0.0,75.0,2.8,10.0,0.0,50.0,100.0,24.7,0.0,54.0,0.0
