Resource,Oberon,NEXT01RA2026,CAM_CAM_RA_i,CAM_CPE_RA_ii,CAM_CPE_RA_i,CAISO_Advanced_CCGT_candidate,HDP01RA2027,SUN01RA2031,CAISO_Shed_DR_Tranche1,Aramis,SENA01RA2027,CALP01RA2027,TPS01RA2024,CAM_DR_RA,EBMUD01RA2024,HDP01RA2030,MRL01RA2030,CAISO_Aero_CT_candidate,CHEV01RA2025,CAM_CAM_RA_ii,OhmConnect,SDGE01RA2024,CHEV01RA2024,HDP01RA2028,CAM_CAM_RA_iii,Generic_RA_Only,GEN01RA2026,CAISO_Reciprocating_Engine_candidate,EdwardsSolarII,BTM_Solar,Wyoming_Wind,NW_Ext_Tx_Wind,Humboldt_Bay_Offshore_Wind,Riverside_Solar,Arizona_Solar,RosamondCentral,TulareSolarCenter,Riverside_Palm_Springs_Wind,SummitWind,Northern_California_Solar,Tecolote,Northern_California_Wind,New_Mexico_Wind,Morro_Bay_Offshore_Wind,Generic_6hr_battery,Northern_California_Li_Battery,Riverside_West_Pumped_Storage,Tumbleweed,Tehachapi_Pumped_Storage,Sanborn,Arizona_Li_Battery,Generic_8hr_battery,Riverside_Li_Battery,CAISO_New_Flow_Battery,HenriettaStorage,InState_Biomass,Northern_California_Geothermal,Southern_Nevada_Geothermal,FervoFECNevada1,Greater_Imperial_Geothermal,Scarlet,Hybrid_Solar_Test,Hybrid_Wind_Test,DaggettSolarPower3
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.00601117486697,-52.06600879674736,-60.67474735348123,-52.06600879674736,-60.67474735348123,-52.06600879674736,-52.06600879674736,-64.00601117486697,-52.06600879674736,-63.483535250459035,-52.06600879674736,0.0,0.0,0.0,0.0,0.0,-51.34242273653073,-60.67474735348123,-68.48353525045904,-52.06600879674736
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.06600879674736,-52.06600879674736,-60.67474735348123,-52.06600879674736,-60.67474735348123,-52.06600879674736,-52.06600879674736,-60.67474735348123,-52.06600879674736,-52.06600879674736,-52.06600879674736,0.0,0.0,0.0,0.0,0.0,-51.34242273653073,-60.67474735348123,-51.34242273653073,-52.06600879674736
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.06600879674736,-52.06600879674736,-60.67474735348123,-52.06600879674736,-60.67474735348123,-52.06600879674736,-52.06600879674736,-60.67474735348123,-52.06600879674736,-52.06600879674736,-52.06600879674736,0.0,0.0,0.0,0.0,0.0,-51.34242273653073,-60.67474735348123,-51.34242273653073,-52.06600879674736
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.06600879674736,-52.06600879674736,-60.67474735348123,-52.06600879674736,-60.67474735348123,-52.06600879674736,-52.06600879674736,-60.67474735348123,-52.06600879674736,-52.06600879674736,-52.06600879674736,0.0,0.0,0.0,0.0,0.0,-51.34242273653073,-60.67474735348123,-48.477773502629724,-52.06600879674736
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.06600879674736,-52.06600879674736,-60.67474735348123,-52.06600879674736,-60.67474735348123,-52.06600879674736,-52.06600879674736,-60.67474735348123,-52.06600879674736,-52.06600879674736,-52.06600879674736,0.0,0.0,0.0,0.0,0.0,-51.34242273653073,-60.67474735348123,-48.477773502629724,-52.06600879674736
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.06600879674736,-52.06600879674736,-60.67474735348123,-52.06600879674736,-60.67474735348123,-52.06600879674736,-52.06600879674736,-60.67474735348123,-52.06600879674736,-52.06600879674736,-52.06600879674736,0.0,0.0,0.0,0.0,0.0,-52.06600879674736,-60.67474735348123,-52.06600879674736,-52.06600879674736
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.69858340164318,-52.06600879674736,-60.67474735348123,-52.06600879674736,-60.67474735348123,-52.06600879674736,-52.06600879674736,-60.67474735348123,-52.06600879674736,-52.06600879674736,-52.06600879674736,0.0,0.0,0.0,0.0,0.0,-52.06600879674736,-60.67474735348123,-52.06600879674736,-52.06600879674736
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.69858340164318,-72.26006979535426,-72.26006979535426,-72.26006979535426,-72.26006979535426,-72.26006979535426,-72.26006979535426,-69.69858340164318,-72.26006979535426,-72.26006979535426,-72.26006979535426,0.0,0.0,0.0,0.0,0.0,-61.421059326051115,-61.421059326051115,-52.06600879674736,-61.421059326051115
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.69858340164318,-75.42601117486697,-74.69858340164319,-75.66589549984351,-74.69858340164319,-75.66589549984351,-75.42601117486697,-69.69858340164318,-75.42601117486697,-74.33105932605112,-75.66589549984351,0.0,0.0,0.0,0.0,0.0,-80.42601117486699,-75.333570882893,-52.06600879674736,-80.42601117486699
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.69858340164318,-75.42601117486697,-74.69858340164319,-75.66589549984351,-74.69858340164319,-75.66589549984351,-75.42601117486697,-69.69858340164318,-75.42601117486697,-74.33105932605112,-75.66589549984351,0.0,0.0,0.0,0.0,0.0,-80.42601117486699,-75.333570882893,-65.31105932605112,-80.42601117486699
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.69858340164318,-83.55418744241308,-74.69858340164319,-75.66589549984351,-74.69858340164319,-75.66589549984351,-83.55418744241308,-69.69858340164318,-83.55418744241308,-74.33105932605112,-75.66589549984351,0.0,0.0,0.0,0.0,0.0,-80.42601117486699,-75.333570882893,-65.31105932605112,-80.42601117486699
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.69858340164318,-83.55418744241308,-74.69858340164319,-75.66589549984351,-74.69858340164319,-75.66589549984351,-83.55418744241308,-69.69858340164318,-83.55418744241308,-69.69858340164318,-75.66589549984351,0.0,0.0,0.0,0.0,0.0,-80.42601117486699,-75.333570882893,-65.31105932605112,-80.42601117486699
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.69858340164318,-83.55418744241308,-74.69858340164319,-75.66589549984351,-74.69858340164319,-75.66589549984351,-83.55418744241308,-69.69858340164318,-83.55418744241308,-69.69858340164318,-75.66589549984351,0.0,0.0,0.0,0.0,0.0,-80.42601117486699,-75.333570882893,-65.31105932605112,-80.42601117486699
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.69858340164318,-83.55418744241308,-74.69858340164319,-75.66589549984351,-74.69858340164319,-75.66589549984351,-83.55418744241308,-69.69858340164318,-83.55418744241308,-69.69858340164318,-75.66589549984351,0.0,0.0,0.0,0.0,0.0,-80.42601117486699,-75.333570882893,-65.31105932605112,-80.42601117486699
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.69858340164318,-70.68353525045904,-74.69858340164319,-75.66589549984351,-74.69858340164319,-75.66589549984351,-70.68353525045904,-69.69858340164318,-70.68353525045904,-69.69858340164318,-75.66589549984351,0.0,0.0,0.0,0.0,0.0,-80.42601117486699,-75.333570882893,-65.31105932605112,-80.42601117486699
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.69858340164318,-70.68353525045904,-74.69858340164319,-75.66589549984351,-74.69858340164319,-75.66589549984351,-70.68353525045904,-69.69858340164318,-70.68353525045904,-69.69858340164318,-75.66589549984351,0.0,0.0,0.0,0.0,0.0,-80.42601117486699,-75.333570882893,-65.31105932605112,-80.42601117486699
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.69858340164318,-70.68353525045904,-74.69858340164319,-75.66589549984351,-74.69858340164319,-75.66589549984351,-70.68353525045904,-69.69858340164318,-70.68353525045904,-69.69858340164318,-75.66589549984351,0.0,0.0,0.0,0.0,0.0,-80.42601117486699,-75.333570882893,-65.31105932605112,-80.42601117486699
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.69858340164318,-70.68353525045904,-74.69858340164319,-75.66589549984351,-74.69858340164319,-75.66589549984351,-70.68353525045904,-69.69858340164318,-70.68353525045904,-69.69858340164318,-75.66589549984351,0.0,0.0,0.0,0.0,0.0,-80.42601117486699,-75.333570882893,-65.56610747723525,-80.42601117486699
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.69858340164318,-70.68353525045904,-74.69858340164319,-75.66589549984351,-74.69858340164319,-75.66589549984351,-70.68353525045904,-69.69858340164318,-70.68353525045904,-69.69858340164318,-75.66589549984351,0.0,0.0,0.0,0.0,0.0,-80.42601117486699,-75.333570882893,-65.56610747723525,-80.42601117486699
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.69858340164318,-70.68353525045904,-74.69858340164319,-75.66589549984351,-74.69858340164319,-75.66589549984351,-70.68353525045904,-69.69858340164318,-70.68353525045904,-69.69858340164318,-75.66589549984351,0.0,0.0,0.0,0.0,0.0,-80.42601117486699,-75.333570882893,-65.56610747723525,-80.42601117486699
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.69858340164318,-70.68353525045904,-74.69858340164319,-75.66589549984351,-74.69858340164319,-75.66589549984351,-70.68353525045904,-69.69858340164318,-70.68353525045904,-69.69858340164318,-75.66589549984351,0.0,0.0,0.0,0.0,0.0,-80.42601117486699,-75.333570882893,-65.56610747723525,-80.42601117486699
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.69858340164318,-70.68353525045904,-70.33950988428612,-75.66589549984351,-70.33950988428612,-75.66589549984351,-70.68353525045904,-69.69858340164318,-70.68353525045904,-66.74242273653073,-75.66589549984351,0.0,0.0,0.0,0.0,0.0,-80.42601117486699,-75.333570882893,-69.09858340164318,-80.42601117486699
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.69858340164318,-70.68353525045904,-70.33950988428612,-75.66589549984351,-70.33950988428612,-75.66589549984351,-70.68353525045904,-69.69858340164318,-70.68353525045904,-66.74242273653073,-75.66589549984351,0.0,0.0,0.0,0.0,0.0,-80.42601117486699,-75.333570882893,-69.09858340164318,-80.42601117486699
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.69858340164318,-66.74242273653073,-70.33950988428612,-75.66589549984351,-70.33950988428612,-75.66589549984351,-66.74242273653073,-69.69858340164318,-66.74242273653073,-66.74242273653073,-75.66589549984351,0.0,0.0,0.0,0.0,0.0,-80.42601117486699,-71.88942491160822,-69.09858340164318,-80.42601117486699
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.69858340164318,-66.74242273653073,-70.33950988428612,-66.74242273653073,-70.33950988428612,-66.74242273653073,-66.74242273653073,-69.69858340164318,-66.74242273653073,-66.74242273653073,-66.74242273653073,0.0,0.0,0.0,0.0,0.0,-66.74242273653073,-71.88942491160822,-62.13648373513762,-70.33950988428612
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.69858340164318,-66.74242273653073,-70.33950988428612,-66.74242273653073,-70.33950988428612,-66.74242273653073,-66.74242273653073,-69.69858340164318,-66.74242273653073,-66.74242273653073,-66.74242273653073,0.0,0.0,0.0,0.0,0.0,-66.74242273653073,-71.88942491160822,-62.13648373513762,-70.33950988428612
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.69858340164318,-66.74242273653073,-65.6865120593636,-66.74242273653073,-65.6865120593636,-66.74242273653073,-66.74242273653073,-69.69858340164318,-66.74242273653073,-62.70118961749057,-66.74242273653073,0.0,0.0,0.0,0.0,0.0,-66.74242273653073,-71.88942491160822,-62.13648373513762,-70.33950988428612
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.69858340164318,-66.74242273653073,-65.6865120593636,-66.74242273653073,-65.6865120593636,-66.74242273653073,-66.74242273653073,-69.69858340164318,-66.74242273653073,-62.70118961749057,-66.74242273653073,0.0,0.0,0.0,0.0,0.0,-66.74242273653073,-71.88942491160822,-62.13648373513762,-70.33950988428612
