BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,VRE_Storage_Discharge,VRE_Storage_Charge
t18,280.8567347531301,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-978.0,149.6,-0.0
t19,284.37573475313013,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1027.0,20.400000000000006,-0.0
t20,294.9319347531301,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1017.0,0.0,-0.0
t21,289.34673475313014,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,0.0,-0.0
t22,305.74093475313015,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-978.0,0.0,-0.0
t23,293.6525347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-905.0,0.0,-0.0
t24,292.6351347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-860.0,0.0,-0.0
t25,293.49213475313013,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-832.0,0.0,-0.0
t26,263.49213475313013,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-778.0,0.0,-0.0
t27,259.59213475313015,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-738.0,0.0,-0.0
t28,283.3577347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-715.0,0.0,-0.0
t29,301.86273475313016,0.0,-18.882352941176485,0.0,0.0,0.0,0.0,0.0,0.0,-726.0,0.0,-0.0
t30,316.70813475313014,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-783.0,0.0,-0.0
t31,324.4213347531301,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-882.0,0.0,-0.0
t32,357.70013475313016,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-935.0,8.6,-0.0
t33,450.73973475313016,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-944.0,49.150000000000006,-0.0
t34,469.64453475313013,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-946.0,63.7764705882353,-0.0
t35,480.0685347531301,0.0,-75.52941176470594,0.0,0.0,0.0,0.0,0.0,0.0,-929.0,56.82352941176469,-0.0
t36,505.4743347531302,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-914.0,24.799999999999997,-0.0
t37,507.6277979658034,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-856.0,25.599999999999994,-0.0
t38,509.6717347531302,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-880.0,29.400000000000006,-0.0
t39,461.0467347531301,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-860.0,34.599999999999994,-0.0
t40,400.06413475313013,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-903.0,41.9,-0.0
t41,301.94613475313014,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-922.0,5.449999999999999,-0.0
t42,278.45453475313013,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1026.0,149.6,-0.0
t43,258.2089347531301,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1068.0,0.0,-0.0
t44,248.72873475313014,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1052.0,0.0,-0.0
t45,243.6453347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1031.0,0.0,-0.0
t46,268.72153475313013,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-998.0,0.0,-0.0
t47,255.7859347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-920.0,0.0,-0.0
t48,276.60073475313015,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-873.0,0.0,-0.0
t49,289.61053475313014,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-823.0,20.400000000000006,-0.0
t50,336.1213347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-769.0,0.0,-0.0
t51,340.82293475313014,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-730.0,0.0,-0.0
t52,349.53693475313014,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-710.0,0.0,-0.0
t53,339.3219347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-724.0,0.0,-0.0
t54,343.59213475313015,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-780.0,0.0,-0.0
t55,348.4847347531301,74.89999999999999,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-874.0,0.0,-0.0
t56,401.5381347531301,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-918.0,9.899999999999999,-0.0
t57,550.8295347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-916.0,42.400000000000006,-0.0
t58,611.8353347531302,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-846.0,38.3,-0.0
t59,584.20393475313,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-762.0,25.0,-0.0
t60,600.5087347531302,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-679.0,21.099999999999994,-0.0
t61,623.6467347531301,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-712.0,19.5,-0.0
t62,625.6131347531301,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-773.0,24.0,-0.0
t63,677.3771347531302,0.0,-75.52941176470591,0.0,0.0,0.0,0.0,0.0,0.0,-810.0,35.4264705882353,-0.0
t64,602.3885347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-833.0,59.82352941176471,-0.0
t65,416.7591347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-910.0,18.95,-0.0
t66,335.86413475313014,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1022.0,149.6,-0.0
t67,337.19473475313015,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1068.0,20.400000000000006,-0.0
t68,343.14513475313015,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1056.0,0.0,-0.0
t69,382.22693475313014,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1038.0,0.0,-0.0
t70,383.33853475313015,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1015.0,0.0,-0.0
t71,383.46993475313013,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-937.0,0.0,-0.0
t72,383.3567347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-887.0,0.0,-0.0
t73,383.67913475313014,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-839.0,0.0,-0.0
t74,380.99233475313014,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-790.0,0.0,-0.0
t75,366.90553475313015,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-748.0,0.0,-0.0
t76,360.82133475313015,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-731.0,0.0,-0.0
t77,344.6485347531301,0.0,-37.764705882352956,0.0,0.0,0.0,0.0,0.0,0.0,-748.0,0.0,-0.0
t78,324.74933475313014,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-802.0,0.0,-0.0
t79,309.48693475313013,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-902.0,0.0,-0.0
t80,371.70793475313013,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-938.0,10.6,-0.0
t81,521.9359347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-924.0,40.300000000000004,-0.0
t82,596.9553347531302,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-837.0,42.55,-0.0
t83,567.7459347531301,0.0,-75.52941176470594,0.0,0.0,0.0,0.0,0.0,0.0,-732.0,27.826470588235285,-0.0
t84,625.0785347531302,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-689.0,24.0,-0.0
t85,653.3257347531302,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-669.0,22.200000000000003,-0.0
t86,647.1909347531301,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-697.0,23.5,-0.0
t87,656.9173347531301,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-722.0,34.8,-0.0
t88,578.2987347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-788.0,33.45,-0.0
t89,401.40513475313014,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-910.0,3.1,-0.0
t90,323.1781347531301,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1032.0,134.065,-0.0
t91,337.22033475313015,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1083.0,0.0,-0.0
t92,323.43433475313014,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1078.0,0.0,-0.0
t93,326.8087347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1064.0,0.0,-0.0
t94,330.96653475313013,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1042.0,0.0,-0.0
t95,349.4385347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-967.0,0.0,-0.0
t96,354.25793475313014,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-917.0,0.0,-0.0
t97,339.6735347531301,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-863.0,0.0,-0.0
t98,326.65853475313014,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-806.0,0.0,-0.0
t99,340.8789347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-764.0,0.0,-0.0
t100,380.1921347531302,0.0,-18.882352941176478,0.0,0.0,0.0,0.0,0.0,0.0,-742.0,0.0,-0.0
t101,379.79553475313014,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-752.0,0.0,-0.0
t102,380.37653475313016,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-808.0,0.0,-0.0
t103,366.83233475313017,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-912.0,0.0,-0.0
t104,440.42393475313014,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-953.0,15.400000000000002,-0.0
t105,544.7915347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-948.0,101.39999999999999,-0.0
t106,586.6365347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-882.0,112.5,-0.0
t107,584.0979347531301,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-863.0,65.89999999999999,-0.0
t108,586.2041347531301,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-817.0,53.400000000000006,-0.0
t109,584.9393347531301,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-836.0,55.60000000000001,-0.0
t110,574.9619347531301,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-819.0,41.7,-0.0
t111,594.2729347531301,0.0,-75.52941176470591,0.0,0.0,0.0,0.0,0.0,0.0,-831.0,75.39999999999998,-0.0
t112,522.8533347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-888.0,49.55,-0.0
t113,353.3617347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-908.0,8.1,-0.0
t114,359.92273475313016,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1010.0,149.6,-0.0
t115,355.95313475313014,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1049.0,20.400000000000006,-0.0
t116,339.95113475313013,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1038.0,0.0,-0.0
t117,321.72733475313015,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1023.0,0.0,-0.0
t118,292.18853475313017,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1006.0,0.0,-0.0
t119,311.0497347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-946.0,0.0,-0.0
t120,366.24433475313015,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-893.0,0.0,-0.0
t121,367.48813475313017,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-834.0,0.0,-0.0
t122,354.70453475313013,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-788.0,0.0,-0.0
t123,305.3771347531301,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-744.0,0.0,-0.0
t124,289.67213475313014,0.0,-18.882352941176478,0.0,0.0,0.0,0.0,0.0,0.0,-711.0,0.0,-0.0
t125,307.7877347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-700.0,0.0,-0.0
t126,316.17793475313016,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-712.0,0.0,-0.0
t127,318.3457347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-768.0,0.0,-0.0
t128,375.71833475313014,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-808.0,9.65,-0.0
t129,510.9379347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-785.0,76.25,-0.0
t130,520.5573347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-734.0,89.85,-0.0
t131,523.0971347531301,0.0,-75.52941176470594,0.0,0.0,0.0,0.0,0.0,0.0,-676.0,93.89999999999999,-0.0
t132,525.3051347531301,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-620.0,18.400000000000006,-0.0
t133,525.7043979658033,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-583.0,20.299999999999997,-0.0
t134,526.6067347531301,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-618.0,26.299999999999997,-0.0
t135,490.23773475313016,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-642.0,70.44999999999999,-0.0
t136,410.8061347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-708.0,88.15,-0.0
t137,294.65013475313015,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-799.0,20.95,-0.0
t138,260.15333475313014,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-919.0,149.6,-0.0
t139,291.4847347531301,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-959.0,20.400000000000006,-0.0
t140,280.8921347531301,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,-0.0
t141,295.6913347531301,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-940.0,0.0,-0.0
t142,295.9269347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-929.0,0.0,-0.0
t143,297.14013475313016,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-872.0,0.0,-0.0
t144,284.3823347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-814.0,0.0,-0.0
t145,282.5153347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-798.0,0.0,-0.0
t146,268.6169347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-754.0,0.0,-0.0
t147,269.5723347531301,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-712.0,0.0,-0.0
t148,281.74953475313015,0.0,-18.882352941176478,0.0,0.0,0.0,0.0,0.0,0.0,-682.0,0.0,-0.0
t149,293.41193475313014,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-664.0,0.0,-0.0
t150,307.51493475313015,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-668.0,0.0,-0.0
t151,312.68413475313014,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-710.0,0.0,-0.0
t152,400.8617347531302,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-736.0,6.75,-0.0
t153,530.8421347531302,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-712.0,70.30000000000001,-0.0
t154,573.44633475313,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-681.0,60.276470588235284,-0.0
t155,578.8587347531302,0.0,-75.52941176470594,0.0,0.0,0.0,0.0,0.0,0.0,-650.0,38.0235294117647,-0.0
t156,564.06693475313,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-613.0,25.900000000000006,-0.0
t157,561.2849347531301,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-594.0,26.200000000000003,-0.0
t158,573.2853347531301,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-577.0,29.700000000000003,-0.0
t159,624.9193347531301,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-616.0,75.60000000000001,-0.0
t160,578.93313475313,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-686.0,52.85000000000001,-0.0
t161,412.62453475313015,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-782.0,4.85,-0.0
t162,334.61733475313014,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-910.0,149.6,-0.0
t163,355.7127347531301,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,20.400000000000006,-0.0
t164,337.88793475313014,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-946.0,0.0,-0.0
t165,346.21933475313017,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-930.0,0.0,-0.0
t166,343.69453475313014,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-908.0,0.0,-0.0
t167,328.92593475313015,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-840.0,0.0,-0.0
t168,335.2845347531302,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-784.0,0.0,-0.0
t169,216.47798760382292,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-805.0,0.0,-0.0
t170,209.00485081649612,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-756.0,0.0,-0.0
t171,200.0601140291693,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-722.0,0.0,-0.0
t172,206.373,0.0,-37.764705882352956,0.0,0.0,0.0,0.0,0.0,0.0,-711.0,0.0,-0.0
t173,223.46713678732678,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-734.0,0.0,-0.0
t174,298.94427357465355,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-799.0,0.0,-0.0
t175,301.6152103619804,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-893.0,0.0,-0.0
t176,393.2228735746536,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-915.0,26.4,-0.0
t177,486.7591367873269,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-837.0,111.1,-0.0
t178,536.0690000000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-741.0,110.8,-0.0
t179,575.3376632126732,0.0,-104.57107497737906,0.0,0.0,0.0,0.0,0.0,0.0,-643.0,100.99999999999999,-0.0
t180,567.3659264253463,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-594.0,88.99999999999999,-0.0
t181,577.1046632126731,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-571.0,85.8,-0.0
t182,586.6999999999999,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-572.0,92.30000000000001,-0.0
t183,596.0583367873268,0.0,-77.95833678732686,0.0,0.0,0.0,0.0,0.0,0.0,-622.0,103.89999999999999,-0.0
t184,554.7830735746535,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-704.0,85.90000000000002,-0.0
t185,365.28481036198036,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-808.0,54.050000000000004,-0.0
t186,306.11154714930717,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-943.0,21.000000000000007,-0.0
t187,316.21168393663396,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,149.6,-0.0
t188,321.74113475313015,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-987.0,0.0,-0.0
t189,308.82559796580335,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-959.0,0.0,-0.0
t190,294.22826117847654,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-927.0,0.0,-0.0
t191,255.30452439114976,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-870.0,0.0,-0.0
t192,241.84598760382295,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-844.0,0.0,-0.0
t193,227.40405081649615,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-808.0,0.0,-0.0
t194,199.59111402916935,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-761.0,0.0,-0.0
t195,213.26077724184256,0.0,-37.764705882352956,0.0,0.0,0.0,0.0,0.0,0.0,-726.0,0.0,-0.0
t196,224.54864045451575,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-715.0,0.0,-0.0
t197,229.24277724184253,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-732.0,0.0,-0.0
t198,237.81071402916933,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-796.0,0.0,-0.0
t199,247.16845081649615,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-885.0,0.0,-0.0
t200,334.0397140291693,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-906.0,27.450000000000003,-0.0
t201,464.24337724184255,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-826.0,91.50000000000001,-0.0
t202,491.1778404545158,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-735.0,91.85000000000002,-0.0
t203,494.20744045451573,0.0,-75.52941176470594,0.0,0.0,0.0,0.0,0.0,0.0,-647.0,62.79999999999998,-0.0
t204,489.79164045451574,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-591.0,55.599999999999994,-0.0
t205,521.4926404545156,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-590.0,71.89999999999998,-0.0
t206,509.83897724184254,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-607.0,98.50000000000001,-0.0
t207,517.2823140291692,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-659.0,102.19999999999999,-0.0
t208,509.82585081649614,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-730.0,97.80000000000001,-0.0
t209,288.09078760382295,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-793.0,63.25,-0.0
t210,201.16572439114972,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-895.0,1.4000000000000001,-0.0
t211,210.6802611784765,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-975.0,149.6,-0.0
t212,213.08159796580333,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-957.0,20.400000000000006,-0.0
t213,221.35966117847653,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-930.0,0.0,-0.0
t214,214.7873243911497,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-905.0,0.0,-0.0
t215,204.7197876038229,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-856.0,0.0,-0.0
t216,217.6844508164961,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-829.0,0.0,-0.0
t217,238.57391402916937,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-788.0,0.0,-0.0
t218,237.40217724184254,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-751.0,0.0,-0.0
t219,212.00784045451573,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-714.0,0.0,-0.0
t220,153.8078404545157,0.0,-37.764705882352956,0.0,0.0,0.0,0.0,0.0,0.0,-692.0,0.0,-0.0
t221,179.51837724184253,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-691.0,0.0,-0.0
t222,187.95951402916933,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-710.0,0.0,-0.0
t223,192.53945081649613,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-757.0,0.0,-0.0
t224,296.63111402916934,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-757.0,11.05,-0.0
t225,435.35757724184253,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-685.0,46.24999999999999,-0.0
t226,458.36484045451573,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-597.0,122.2,-0.0
t227,451.62864045451573,0.0,-75.52941176470594,0.0,0.0,0.0,0.0,0.0,0.0,-516.0,121.95,-0.0
t228,467.94484045451566,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-470.0,76.9,-0.0
t229,482.5446404545158,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-473.0,36.000000000000014,-0.0
