BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,VRE_Storage_Discharge,VRE_Storage_Charge
Zone,1,1,1,1,1,1,1,1,1,1,1,1
AnnualSum,3.7315707168477597e6,191718.11957870825,-225550.72891612753,0.0,0.0,0.0,0.0,0.0,0.0,-9.40612357142857e6,433506.5364619923,0.0
t1,258.37613475313015,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-796.0,0.0,-0.0
t2,265.81493475313016,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-745.0,0.0,-0.0
t3,275.6917347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-705.0,0.0,-0.0
t4,265.3941347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-684.0,0.0,-0.0
t5,274.3685347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-686.0,0.0,-0.0
t6,278.5841347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-723.0,0.0,-0.0
t7,287.66933475313016,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-798.0,0.0,-0.0
t8,363.72239796580334,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-826.0,10.05,-0.0
t9,486.3188611784766,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-835.0,43.2,-0.0
t10,501.3225243911498,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-835.0,49.150000000000006,-0.0
t11,496.4645876038229,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-792.0,32.82352941176471,-0.0
t12,517.0148508164962,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-767.0,20.5,-0.0
t13,556.5954508164962,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-752.0,17.60000000000001,-0.0
t14,554.958187603823,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-755.0,23.299999999999997,-0.0
t15,480.7995243911497,0.0,-75.52941176470591,0.0,0.0,0.0,0.0,0.0,0.0,-778.0,48.07647058823528,-0.0
t16,449.0322611784766,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-796.0,31.4,-0.0
t17,306.02179796580333,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-866.0,4.55,-0.0
