Resource,Scarlet,Hybrid_Solar_Test,DaggettSolarPower3,Total
Zone,1,1,1,0
AnnualSum,289401.6986382444,0.0,153337.39101072022,442739.08964896464
t1,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,0.0
t4,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,0.0
t8,0.0,0.0,10.05,10.05
t9,3.3000000000000003,0.0,39.900000000000006,43.2
t10,9.6,0.0,39.550000000000004,49.150000000000006
t11,22.900000000000002,0.0,37.7,60.60000000000001
t12,42.199999999999996,0.0,35.25,77.44999999999999
t13,50.1,0.0,33.7,83.80000000000001
t14,33.6,0.0,36.65,70.25
t15,12.3,0.0,37.9,50.2
t16,6.9,0.0,24.5,31.4
t17,1.7999999999999998,0.0,2.75,4.55
t18,0.0,0.0,0.0,0.0
t19,0.0,0.0,0.0,0.0
t20,0.0,0.0,0.0,0.0
t21,0.0,0.0,0.0,0.0
t22,0.0,0.0,0.0,0.0
t23,0.0,0.0,0.0,0.0
t24,0.0,0.0,0.0,0.0
t25,0.0,0.0,0.0,0.0
t26,0.0,0.0,0.0,0.0
t27,0.0,0.0,0.0,0.0
t28,0.0,0.0,0.0,0.0
t29,0.0,0.0,0.0,0.0
t30,0.0,0.0,0.0,0.0
t31,0.0,0.0,0.0,0.0
t32,0.6,0.0,8.0,8.6
t33,10.7,0.0,38.45,49.150000000000006
t34,28.000000000000004,0.0,41.15,69.15
t35,50.8,0.0,39.35,90.15
t36,32.4,0.0,37.4,69.8
t37,35.3,0.0,37.8,73.1
t38,36.0,0.0,39.7,75.7
t39,14.799999999999999,0.0,42.3,57.099999999999994
t40,8.799999999999999,0.0,33.1,41.9
t41,2.5,0.0,2.9499999999999997,5.449999999999999
t42,0.0,0.0,0.0,0.0
t43,0.0,0.0,0.0,0.0
t44,0.0,0.0,0.0,0.0
t45,0.0,0.0,0.0,0.0
t46,0.0,0.0,0.0,0.0
t47,0.0,0.0,0.0,0.0
t48,0.0,0.0,0.0,0.0
t49,0.0,0.0,0.0,0.0
t50,0.0,0.0,0.0,0.0
t51,0.0,0.0,0.0,0.0
t52,0.0,0.0,0.0,0.0
t53,0.0,0.0,0.0,0.0
t54,0.0,0.0,0.0,0.0
t55,0.0,0.0,0.0,0.0
t56,2.5,0.0,7.3999999999999995,9.899999999999999
t57,9.2,0.0,33.2,42.400000000000006
t58,13.100000000000001,0.0,38.3,51.4
t59,31.0,0.0,37.5,68.5
t60,40.6,0.0,35.55,76.15
t61,14.000000000000002,0.0,34.75,48.75
t62,15.9,0.0,37.0,52.9
t63,24.4,0.0,39.050000000000004,63.45
t64,37.7,0.0,24.3,62.0
t65,16.7,0.0,2.25,18.95
t66,0.0,0.0,0.0,0.0
t67,0.0,0.0,0.0,0.0
t68,0.0,0.0,0.0,0.0
t69,0.0,0.0,0.0,0.0
t70,0.0,0.0,0.0,0.0
t71,0.0,0.0,0.0,0.0
t72,0.0,0.0,0.0,0.0
t73,0.0,0.0,0.0,0.0
t74,0.0,0.0,0.0,0.0
t75,0.0,0.0,0.0,0.0
t76,0.0,0.0,0.0,0.0
t77,0.0,0.0,0.0,0.0
t78,0.0,0.0,0.0,0.0
t79,0.0,0.0,0.0,0.0
t80,2.5,0.0,8.1,10.6
t81,5.7,0.0,40.300000000000004,46.00000000000001
t82,8.3,0.0,42.55,50.849999999999994
t83,15.8,0.0,38.9,54.7
t84,14.899999999999999,0.0,37.0,51.9
t85,14.399999999999999,0.0,36.1,50.5
t86,12.8,0.0,36.75,49.55
t87,12.3,0.0,42.4,54.7
t88,10.4,0.0,33.45,43.85
t89,4.3,0.0,3.1,7.4
t90,0.0,0.0,0.0,0.0
t91,0.0,0.0,0.0,0.0
t92,0.0,0.0,0.0,0.0
t93,0.0,0.0,0.0,0.0
t94,0.0,0.0,0.0,0.0
t95,0.0,0.0,0.0,0.0
t96,0.0,0.0,0.0,0.0
t97,0.0,0.0,0.0,0.0
t98,0.0,0.0,0.0,0.0
t99,0.0,0.0,0.0,0.0
t100,0.0,0.0,0.0,0.0
t101,0.0,0.0,0.0,0.0
t102,0.0,0.0,0.0,0.0
t103,0.0,0.0,0.0,0.0
t104,7.000000000000001,0.0,8.4,15.400000000000002
t105,64.1,0.0,37.3,101.39999999999999
t106,75.3,0.0,37.2,112.5
t107,72.1,0.0,35.85,107.94999999999999
t108,66.7,0.0,35.0,101.7
t109,65.7,0.0,37.1,102.80000000000001
t110,57.4,0.0,38.45,95.85
t111,43.0,0.0,40.699999999999996,83.69999999999999
t112,15.7,0.0,33.85,49.55
t113,4.2,0.0,3.9,8.1
t114,0.0,0.0,0.0,0.0
t115,0.0,0.0,0.0,0.0
t116,0.0,0.0,0.0,0.0
t117,0.0,0.0,0.0,0.0
t118,0.0,0.0,0.0,0.0
t119,0.0,0.0,0.0,0.0
t120,0.0,0.0,0.0,0.0
t121,0.0,0.0,0.0,0.0
t122,0.0,0.0,0.0,0.0
t123,0.0,0.0,0.0,0.0
t124,0.0,0.0,0.0,0.0
t125,0.0,0.0,0.0,0.0
t126,0.0,0.0,0.0,0.0
t127,0.0,0.0,0.0,0.0
t128,1.2,0.0,8.450000000000001,9.65
t129,36.199999999999996,0.0,40.050000000000004,76.25
t130,49.5,0.0,40.35,89.85
t131,57.49999999999999,0.0,36.4,93.89999999999999
t132,41.699999999999996,0.0,34.2,75.9
t133,42.199999999999996,0.0,35.15,77.35
t134,41.9,0.0,38.15,80.05
t135,72.3,0.0,29.849999999999998,102.14999999999999
t136,65.0,0.0,23.150000000000002,88.15
t137,17.8,0.0,3.15,20.95
t138,0.0,0.0,0.0,0.0
t139,0.0,0.0,0.0,0.0
t140,0.0,0.0,0.0,0.0
t141,0.0,0.0,0.0,0.0
t142,0.0,0.0,0.0,0.0
t143,0.0,0.0,0.0,0.0
t144,0.0,0.0,0.0,0.0
t145,0.0,0.0,0.0,0.0
t146,0.0,0.0,0.0,0.0
t147,0.0,0.0,0.0,0.0
t148,0.0,0.0,0.0,0.0
t149,0.0,0.0,0.0,0.0
t150,0.0,0.0,0.0,0.0
t151,0.0,0.0,0.0,0.0
t152,0.0,0.0,6.75,6.75
t153,32.6,0.0,37.7,70.30000000000001
t154,23.9,0.0,40.8,64.69999999999999
t155,12.3,0.0,39.4,51.7
t156,31.7,0.0,37.95,69.65
t157,31.5,0.0,38.1,69.6
t158,47.4,0.0,39.85,87.25
t159,72.5,0.0,40.300000000000004,112.80000000000001
t160,19.3,0.0,33.550000000000004,52.85000000000001
t161,0.6,0.0,4.25,4.85
t162,0.0,0.0,0.0,0.0
t163,0.0,0.0,0.0,0.0
t164,0.0,0.0,0.0,0.0
t165,0.0,0.0,0.0,0.0
t166,0.0,0.0,0.0,0.0
t167,0.0,0.0,0.0,0.0
t168,0.0,0.0,0.0,0.0
t169,0.0,0.0,0.0,0.0
t170,0.0,0.0,0.0,0.0
t171,0.0,0.0,0.0,0.0
t172,0.0,0.0,0.0,0.0
t173,0.0,0.0,0.0,0.0
t174,0.0,0.0,0.0,0.0
t175,0.0,0.0,0.0,0.0
t176,15.7,0.0,10.7,26.4
t177,76.4,0.0,44.05,120.45
t178,84.6,0.0,45.800000000000004,130.4
t179,83.1,0.0,42.4,125.5
t180,78.3,0.0,41.199999999999996,119.5
t181,76.7,0.0,41.199999999999996,117.9
t182,79.4,0.0,41.75,121.15
t183,83.1,0.0,43.85,126.94999999999999
t184,77.9,0.0,40.050000000000004,117.95000000000002
t185,45.2,0.0,8.85,54.050000000000004
t186,0.6,0.0,0.0,0.6
t187,0.0,0.0,0.0,0.0
t188,0.0,0.0,0.0,0.0
t189,0.0,0.0,0.0,0.0
t190,0.0,0.0,0.0,0.0
t191,0.0,0.0,0.0,0.0
t192,0.0,0.0,0.0,0.0
t193,0.0,0.0,0.0,0.0
t194,0.0,0.0,0.0,0.0
t195,0.0,0.0,0.0,0.0
t196,0.0,0.0,0.0,0.0
t197,0.0,0.0,0.0,0.0
t198,0.0,0.0,0.0,0.0
t199,0.0,0.0,0.0,0.0
t200,13.8,0.0,13.65,27.450000000000003
t201,67.80000000000001,0.0,23.7,91.50000000000001
t202,81.39999999999999,0.0,32.300000000000004,113.69999999999999
t203,81.39999999999999,0.0,9.35,90.74999999999999
t204,77.8,0.0,13.200000000000001,91.0
t205,76.1,0.0,34.849999999999994,110.94999999999999
t206,78.7,0.0,45.550000000000004,124.25
t207,82.3,0.0,43.8,126.1
t208,80.7,0.0,43.2,123.9
t209,47.8,0.0,15.45,63.25
t210,1.4000000000000001,0.0,0.0,1.4000000000000001
t211,0.0,0.0,0.0,0.0
t212,0.0,0.0,0.0,0.0
t213,0.0,0.0,0.0,0.0
t214,0.0,0.0,0.0,0.0
t215,0.0,0.0,0.0,0.0
t216,0.0,0.0,0.0,0.0
t217,0.0,0.0,0.0,0.0
t218,0.0,0.0,0.0,0.0
t219,0.0,0.0,0.0,0.0
t220,0.0,0.0,0.0,0.0
t221,0.0,0.0,0.0,0.0
t222,0.0,0.0,0.0,0.0
t223,0.0,0.0,0.0,0.0
t224,9.5,0.0,1.55,11.05
t225,41.099999999999994,0.0,5.1499999999999995,46.24999999999999
t226,83.7,0.0,38.5,122.2
t227,81.5,0.0,40.45,121.95
t228,78.4,0.0,35.05,113.45
t229,55.00000000000001,0.0,38.0,93.0
t230,32.800000000000004,0.0,32.05,64.85
t231,46.9,0.0,29.25,76.15
t232,15.8,0.0,3.2,19.0
t233,3.8,0.0,1.3,5.1
t234,0.0,0.0,0.0,0.0
t235,0.0,0.0,0.0,0.0
t236,0.0,0.0,0.0,0.0
t237,0.0,0.0,0.0,0.0
t238,0.0,0.0,0.0,0.0
t239,0.0,0.0,0.0,0.0
t240,0.0,0.0,0.0,0.0
t241,0.0,0.0,0.0,0.0
t242,0.0,0.0,0.0,0.0
t243,0.0,0.0,0.0,0.0
t244,0.0,0.0,0.0,0.0
t245,0.0,0.0,0.0,0.0
t246,0.0,0.0,0.0,0.0
t247,0.0,0.0,0.0,0.0
t248,9.8,0.0,16.85,26.650000000000002
t249,55.7,0.0,42.65,98.35
t250,42.0,0.0,39.900000000000006,81.9
t251,32.1,0.0,44.7,76.80000000000001
t252,59.5,0.0,39.95,99.45
t253,28.000000000000004,0.0,26.700000000000003,54.7
t254,52.0,0.0,19.950000000000003,71.95
t255,60.0,0.0,20.849999999999998,80.85
t256,20.7,0.0,34.599999999999994,55.3
t257,5.7,0.0,17.8,23.5
t258,0.0,0.0,0.0,0.0
t259,0.0,0.0,0.0,0.0
t260,0.0,0.0,0.0,0.0
t261,0.0,0.0,0.0,0.0
t262,0.0,0.0,0.0,0.0
t263,0.0,0.0,0.0,0.0
t264,0.0,0.0,0.0,0.0
t265,0.0,0.0,0.0,0.0
t266,0.0,0.0,0.0,0.0
t267,0.0,0.0,0.0,0.0
t268,0.0,0.0,0.0,0.0
t269,0.0,0.0,0.0,0.0
t270,0.0,0.0,0.0,0.0
t271,0.0,0.0,0.0,0.0
