Resource,Market_Active_1,Market_Buy_1,Market_Sell_1,Total
Zone,1,1,1,0
AnnualSum,8755.064483091503,5.284749961273277e6,9871.03381704994,5.303376059573418e6
t1,1.0,537.6238652468699,0.0,538.6238652468699
t2,1.0,479.1850652468699,0.0,480.1850652468699
t3,1.0,429.3082652468698,0.0,430.3082652468698
t4,1.0,418.60586524686994,0.0,419.60586524686994
t5,1.0,411.6314652468698,0.0,412.6314652468698
t6,1.0,444.41586524686994,0.0,445.41586524686994
t7,1.0,510.3306652468699,0.0,511.3306652468699
t8,1.0,452.2276020341966,0.0,453.2276020341966
t9,1.0,305.48113882152364,0.0,306.48113882152364
t10,1.0,284.52747560885024,0.0,285.52747560885024
t11,1.0,369.7118829844123,0.0,370.7118829844123
t12,1.0,336.48514918350384,0.0,337.48514918350384
t13,1.0,284.80454918350387,0.0,285.80454918350387
t14,1.0,283.7418123961772,0.0,284.7418123961772
t15,1.0,324.6534167853211,0.0,325.6534167853211
t16,1.0,315.5677388215234,0.0,316.5677388215234
t17,1.0,555.4282020341966,0.0,556.4282020341966
t18,1.0,440.5432652468699,0.0,441.5432652468699
t19,1.0,615.2242652468699,0.0,616.2242652468699
t20,1.0,615.0680652468699,0.0,616.0680652468699
t21,1.0,709.6532652468698,0.0,710.6532652468698
t22,1.0,672.2590652468698,0.0,673.2590652468698
t23,1.0,611.3474652468699,0.0,612.3474652468699
t24,1.0,567.36486524687,0.0,568.36486524687
t25,1.0,538.5078652468699,0.0,539.5078652468699
t26,1.0,514.5078652468699,0.0,515.5078652468699
t27,1.0,585.4078652468698,0.0,586.4078652468698
t28,1.0,431.64226524686984,0.0,432.64226524686984
t29,1.0,443.0196181880463,0.0,444.0196181880463
t30,1.0,466.2918652468698,0.0,467.2918652468698
t31,1.0,450.5786652468698,0.0,451.5786652468698
t32,1.0,461.69986524686976,0.0,462.69986524686976
t33,1.0,444.1102652468697,0.0,445.1102652468697
t34,1.0,412.5789946586346,0.0,413.5789946586346
t35,1.0,467.63734759981077,0.0,468.63734759981077
t36,1.0,490.7256652468699,0.0,491.7256652468699
t37,1.0,429.77220203419654,0.0,430.77220203419654
t38,1.0,447.9282652468699,0.0,448.9282652468699
t39,1.0,471.35326524686974,0.0,472.35326524686974
t40,1.0,461.0358652468698,0.0,462.0358652468698
t41,1.0,614.6038652468699,0.0,615.6038652468699
