BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,VRE_Storage_Discharge,VRE_Storage_Charge,Market_Buy,Market_Sell
t88,578.2987347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-788.0,33.45,-0.0,176.25126524686976,0.0
t89,401.40513475313014,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-910.0,3.1,-0.0,505.4948652468698,0.0
t90,323.1781347531301,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1032.0,134.065,-0.0,467.7568652468697,0.0
t91,337.22033475313015,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1083.0,0.0,-0.0,638.7796652468699,0.0
t92,323.43433475313014,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1078.0,0.0,-0.0,647.5656652468698,0.0
t93,326.8087347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1064.0,0.0,-0.0,737.1912652468698,0.0
t94,330.96653475313013,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1042.0,0.0,-0.0,711.0334652468698,0.0
t95,349.4385347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-967.0,0.0,-0.0,617.5614652468698,0.0
t96,354.25793475313014,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-917.0,0.0,-0.0,562.7420652468699,0.0
t97,339.6735347531301,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-863.0,0.0,-0.0,416.3264652468699,0.0
t98,326.65853475313014,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-806.0,0.0,-0.0,479.34146524686986,0.0
t99,340.8789347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-764.0,0.0,-0.0,423.12106524686976,0.0
t100,380.1921347531302,0.0,-18.882352941176478,0.0,0.0,0.0,0.0,0.0,0.0,-742.0,0.0,-0.0,380.69021818804634,0.0
t101,379.79553475313014,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-752.0,0.0,-0.0,479.2044652468699,0.0
t102,380.37653475313016,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-808.0,0.0,-0.0,427.62346524686984,0.0
t103,366.83233475313017,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-912.0,0.0,-0.0,545.1676652468698,0.0
t104,440.42393475313014,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-953.0,15.400000000000002,-0.0,390.17606524687,0.0
t105,544.7915347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-948.0,101.39999999999999,-0.0,301.80846524687007,0.0
t106,586.6365347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-882.0,112.5,-0.0,182.86346524687002,0.0
