Key,Value
BANC_Li_Battery,LIB
BANC_Li_Battery_New_Planned,LIB
CAISO_Adiabatic_CAES_24hr,OTHER_MECH
CAISO_Flow_Battery_8hr_Dispatch,FLWB
CAISO_Generic_Energy_Storage_100hr,HGS
CAISO_Generic_Energy_Storage_24hr,HGS
CAISO_Li_Battery_4hr_Baseline,LIB
CAISO_Li_Battery_4hr_Dispatch,LIB
CAISO_Li_Battery_8hr_Baseline,LIB
CAISO_Li_Battery_8hr_Dispatch,LIB
CAISO_New_Pumped_Storage_12hr,OTHER_MECH
CAISO_Pumped_Hydro,OTHER_MECH
IID_Li_Battery,LIB
IID_Li_Battery_New_Planned,LIB
LDWP_Li_Battery,LIB
LDWP_Li_Battery_New_Planned,LIB
LDWP_Pumped_Hydro,OTHER_MECH
NW_Li_Battery,LIB
NW_Li_Battery_New_Planned,LIB
NW_Pumped_Hydro,OTHER_MECH
SW_Li_Battery,LIB
SW_Li_Battery_New_Planned,LIB
SW_Pumped_Hydro,OTHER_MECH
