Key,Value
Arizona_Solar,PVe
BANC_Biogas,IC
BANC_Biomass,ST
BANC_CCGT1,CC
BANC_CCGT2,CC
BANC_Geothermal,ST
BANC_Geothermal_New_Planned,ST
BANC_Hydro,HY
BANC_Li_Battery,BA
BANC_Li_Battery_New_Planned,BA
BANC_Peaker1,GT
BANC_Peaker2,GT
BANC_Reciprocating_Engine,IC
BANC_Solar,PVe
BANC_Solar_New_Planned,PVe
BANC_Wind,WT
BANC_Wind_New_Planned,WT
Baja_California_Wind,WT
CAISO_Adiabatic_CAES_24hr,CE
CAISO_Advanced_CCGT,CC
CAISO_Advanced_CCGT_CCS_95,CC
CAISO_Advanced_Nuclear_SMR,ST
CAISO_Aero_CT,GT
CAISO_Allam_Cycle_100,GT
CAISO_Biogas,IC
CAISO_Biomass,ST
CAISO_CCGT1,CC
CAISO_CCGT1_Retrofit_CCS_90,CC
CAISO_CCGT2,CC
CAISO_CCGT_Remote,CC
CAISO_CHP,ST
CAISO_Coal,ST
CAISO_Enhanced_Geothermal_Systems,ST
CAISO_Flow_Battery_8hr_Dispatch,BA
CAISO_Generic_Energy_Storage_100hr,ES
CAISO_Generic_Energy_Storage_24hr,ES
CAISO_Geothermal,ST
CAISO_Hydro,HY
CAISO_Li_Battery_4hr_Baseline,BA
CAISO_Li_Battery_4hr_Dispatch,BA
CAISO_Li_Battery_8hr_Baseline,BA
CAISO_Li_Battery_8hr_Dispatch,BA
CAISO_New_Pumped_Storage_12hr,PS
CAISO_New_Reciprocating_Engine,IC
CAISO_Nuclear,ST
CAISO_Peaker1,GT
CAISO_Peaker2,GT
CAISO_Pumped_Hydro,HY
CAISO_Reciprocating_Engine,IC
CAISO_ST,ST
CAISO_Solar,PVe
CAISO_Wind,WT
Cape_Mendocino_Offshore_Wind,WS
Central_Nevada_Geothermal,ST
Central_Valley_North_Los_Banos_Wind,WT
Customer_PV,PVe
Del_Norte_Offshore_Wind,WS
Distributed_Solar,PVe
Greater_Imperial_Geothermal,ST
Greater_Imperial_Solar,PVe
Greater_Imperial_Wind,WT
Greater_Kramer_Solar,PVe
Greater_LA_Solar,PVe
Humboldt_Bay_Offshore_Wind,WS
IID_Biogas,IC
IID_Biomass,ST
IID_CCGT1,CC
IID_Geothermal,ST
IID_Geothermal_New_Planned,ST
IID_Li_Battery,BA
IID_Li_Battery_New_Planned,BA
IID_Peaker1,GT
IID_Peaker2,GT
IID_ST,ST
IID_Solar,PVe
IID_Solar_New_Planned,PVe
Idaho_Wind,WT
InState_Biomass,ST
Inyokern_North_Kramer_Geothermal,ST
LDWP_Biogas,IC
LDWP_CCGT1,CC
LDWP_CCGT2,CC
LDWP_CHP,ST
LDWP_Coal,ST
LDWP_Geothermal,ST
LDWP_Geothermal_New_Planned,ST
LDWP_Hydro,HY
LDWP_Li_Battery,BA
LDWP_Li_Battery_New_Planned,BA
LDWP_Nuclear,ST
LDWP_Peaker1,GT
LDWP_Peaker1_New_Planned,GT
LDWP_Pumped_Hydro,PS
LDWP_ST,ST
LDWP_Solar,PVe
LDWP_Solar_New_Planned,PVe
LDWP_Wind,WT
LDWP_Wind_New_Planned,WT
Morro_Bay_Offshore_Wind,WS
NW_Biogas,IC
NW_Biomass,ST
NW_CCGT1,CC
NW_CCGT2,CC
NW_Coal,ST
NW_Geothermal,ST
NW_Hydro,HY
NW_Hydro_for_CAISO,HY
NW_Li_Battery,BA
NW_Li_Battery_New_Planned,BA
NW_Nuclear,ST
NW_Nuclear_New_Planned,ST
NW_Peaker1,GT
NW_Peaker1_New_Planned,GT
NW_Peaker2,GT
NW_Pumped_Hydro,PS
NW_Reciprocating_Engine,IC
NW_Solar,PVe
NW_Solar_New_Planned,PVe
NW_Wind,WT
NW_Wind_New_Planned,WT
New_Mexico_Wind,WT
Northern_California_Geothermal,ST
Northern_California_Solar,PVe
Northern_California_Wind,WT
Northern_Nevada_Geothermal,ST
Pacific_Northwest_Geothermal,ST
Riverside_Solar,PVe
SW_Biogas,IC
SW_Biomass,ST
SW_CCGT1,CC
SW_CCGT2,CC
SW_Coal,ST
SW_Geothermal,ST
SW_Hydro,HY
SW_Li_Battery,BA
SW_Li_Battery_New_Planned,BA
SW_Nuclear,ST
SW_Peaker1,GT
SW_Peaker1_New_Planned,GT
SW_Peaker2,GT
SW_Pumped_Hydro,PS
SW_Reciprocating_Engine,IC
SW_ST,ST
SW_Solar,PVe
SW_Solar_New_Planned,PVe
SW_Wind,WT
SW_Wind_New_Planned,WT
Solano_Wind,WT
Southern_NV_Eldorado_Solar,PVe
Southern_NV_Eldorado_Wind,WT
Southern_PGAE_Solar,PVe
Tehachapi_Solar,PVe
Tehachapi_Wind,WT
Utah_Geothermal,ST
Utah_Wind,WT
Wyoming_Wind,WT
