ELCC_Surface,Facet,Axis_0,Axis_1,Axis_2
In-State_Wind,1,0.0,0.136,0.0
In-State_Wind,2,203.9687168612,0.108,0.0
In-State_Wind,3,131.979757969,0.114,0.0
Offshore_Wind,1,0.0,0.5,0.0
Offshore_Wind,2,263.959515938,0.4266666667,0.0
Out-of-State_Wind,1,227.9650364919,0.1933333333,0.0
Out-of-State_Wind,2,0.0,0.2333333333,0.0
Out-of-State_Wind,3,59.9907990768,0.2166666667,0.0
Solar_Storage,1,23449.0571074043,0.0094897919,0.3571428571
Solar_Storage,10,0.0,0.2583225108,0.92
Solar_Storage,11,0.0,0.2706773308,0.8705807203
Solar_Storage,12,8676.7264569204,0.2478321204,0.3251756155
Solar_Storage,13,7185.7454826556,0.015,0.9482254706
Solar_Storage,14,15279.539516784,0.0419134846,0.5192613208
Solar_Storage,15,15267.4151325147,0.0421300247,0.5190808707
Solar_Storage,16,14785.4010550214,0.0593474535,0.4903851561
Solar_Storage,17,6450.9072703642,0.0324372141,0.8968044564
Solar_Storage,18,6316.3076937499,0.0436555658,0.8687585771
Solar_Storage,19,3307.4112407608,0.132847393,0.8705807203
Solar_Storage,2,15589.6089867615,0.3969751652,0.0753333333
Solar_Storage,20,5302.3279644819,0.132847393,0.7043121629
Solar_Storage,21,4033.1012175738,0.0925250998,0.9109030135
Solar_Storage,22,22584.3052448376,0.1406666667,0.1092038492
Solar_Storage,23,22416.5619217029,0.0365354799,0.3202623735
Solar_Storage,24,22416.5619217029,0.1364724404,0.1203884525
Solar_Storage,25,6280.3238494309,0.030092675,0.9167098642
Solar_Storage,26,6259.384590667,0.0306744103,0.9159826951
Solar_Storage,27,6383.2259843427,0.0306744103,0.9073812793
Solar_Storage,28,6342.4679718092,0.0290567808,0.9162782416
Solar_Storage,29,9275.3905136154,0.0421300247,0.7460863112
Solar_Storage,3,9374.5622024035,0.3969751652,0.2233333333
Solar_Storage,30,7083.7408774388,0.0436555658,0.8332238138
Solar_Storage,31,9263.6991430701,0.0419134846,0.7471690116
Solar_Storage,32,9172.101782724,0.0593474535,0.7030427393
Solar_Storage,33,6230.6097728932,0.0472268602,0.8628064198
Solar_Storage,34,5663.587773894,0.0472268602,0.9021889868
Solar_Storage,35,5116.4025832589,0.06242878,0.8958548536
Solar_Storage,36,9001.0587411536,0.1169729897,0.5733779591
Solar_Storage,37,5983.9752656364,0.1356169461,0.6618211385
Solar_Storage,38,5474.1611645035,0.1271187412,0.7043121629
Solar_Storage,39,6878.747938873,0.1169729897,0.6618211385
Solar_Storage,4,0.0,0.3122176909,0.7875
Solar_Storage,40,20729.9229889298,0.179,0.0876482936
Solar_Storage,41,21161.8567422829,0.173,0.0876482936
Solar_Storage,42,7397.8691840057,0.037788102,0.8366069679
Solar_Storage,43,7949.9152646385,0.0391413636,0.8095417351
Solar_Storage,44,7381.6325345753,0.0391413636,0.8332238138
Solar_Storage,45,6136.0233326502,0.0629936847,0.8233893585
Solar_Storage,46,6710.9262405086,0.0889984168,0.7317575708
Solar_Storage,47,20311.3654412298,0.0616011866,0.3202623735
Solar_Storage,48,19030.9357030472,0.0853164851,0.3033228746
Solar_Storage,49,14785.4010550214,0.0616011866,0.4847508234
Solar_Storage,5,3436.5975974459,0.2883487695,0.5488107864
Solar_Storage,50,14333.8656705696,0.0821286701,0.4505383508
Solar_Storage,51,14352.9896275373,0.0853164851,0.4425688133
Solar_Storage,52,18884.2957437536,0.1364724404,0.204502927
Solar_Storage,53,18668.112804684,0.1004364245,0.2817229611
Solar_Storage,54,16724.9085250647,0.1878943073,0.1677730221
Solar_Storage,55,11780.6825203757,0.2090267189,0.2734350801
Solar_Storage,56,11934.5716542707,0.1577224735,0.3696305402
Solar_Storage,57,14111.1076952952,0.1004364245,0.4173689143
Solar_Storage,58,5601.8012890643,0.1100974477,0.7362270882
Solar_Storage,59,5854.9508345784,0.0889984168,0.7713921398
Solar_Storage,6,6245.0421838964,0.3117560639,0.35375
Solar_Storage,60,5759.2082938458,0.0838589233,0.788704137
Solar_Storage,61,5761.4803851073,0.0838048176,0.788704137
Solar_Storage,62,6819.4300929982,0.086988778,0.7317575708
Solar_Storage,63,9112.7428150058,0.0602469697,0.7030427393
Solar_Storage,64,6984.2077196464,0.0602469697,0.7917453041
Solar_Storage,65,6819.4300929982,0.0629936847,0.7917453041
Solar_Storage,66,9112.7428150058,0.0821286701,0.6483384884
Solar_Storage,67,8821.1810591792,0.086988778,0.6483384884
Solar_Storage,7,6563.1424151783,0.3091048221,0.3404937909
Solar_Storage,8,19840.6286536053,0.1878943073,0.0935778318
Solar_Storage,9,3869.3805704117,0.0970735931,0.92
