Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1
5000,1,1,1,5000,12,168,744,1,796
,,,,,,,672,2,745
,,,,,,,744,3,705
,,,,,,,720,4,684
,,,,,,,744,5,686
,,,,,,,720,6,723
,,,,,,,744,7,798
,,,,,,,744,8,826
,,,,,,,720,9,835
,,,,,,,744,10,835
,,,,,,,720,11,792
,,,,,,,744,12,767
,,,,,,,,13,752
,,,,,,,,14,755
,,,,,,,,15,778
,,,,,,,,16,796
,,,,,,,,17,866
,,,,,,,,18,978
,,,,,,,,19,1027
,,,,,,,,20,1017
,,,,,,,,21,999
,,,,,,,,22,978
,,,,,,,,23,905
,,,,,,,,24,860
,,,,,,,,25,832
,,,,,,,,26,778
,,,,,,,,27,738
,,,,,,,,28,715
,,,,,,,,29,726
,,,,,,,,30,783
,,,,,,,,31,882
,,,,,,,,32,935
,,,,,,,,33,944
,,,,,,,,34,946
,,,,,,,,35,929
,,,,,,,,36,914
,,,,,,,,37,856
,,,,,,,,38,880
,,,,,,,,39,860
,,,,,,,,40,903
,,,,,,,,41,922
,,,,,,,,42,1026
,,,,,,,,43,1068
,,,,,,,,44,1052
,,,,,,,,45,1031
,,,,,,,,46,998
,,,,,,,,47,920
,,,,,,,,48,873
,,,,,,,,49,823
,,,,,,,,50,769
,,,,,,,,51,730
,,,,,,,,52,710
,,,,,,,,53,724
,,,,,,,,54,780
,,,,,,,,55,874
,,,,,,,,56,918
,,,,,,,,57,916
,,,,,,,,58,846
,,,,,,,,59,762
,,,,,,,,60,679
,,,,,,,,61,712
,,,,,,,,62,773
,,,,,,,,63,810
,,,,,,,,64,833
,,,,,,,,65,910
,,,,,,,,66,1022
,,,,,,,,67,1068
,,,,,,,,68,1056
,,,,,,,,69,1038
,,,,,,,,70,1015
,,,,,,,,71,937
,,,,,,,,72,887
,,,,,,,,73,839
,,,,,,,,74,790
,,,,,,,,75,748
,,,,,,,,76,731
,,,,,,,,77,748
,,,,,,,,78,802
,,,,,,,,79,902
,,,,,,,,80,938
,,,,,,,,81,924
,,,,,,,,82,837
,,,,,,,,83,732
,,,,,,,,84,689
,,,,,,,,85,669
,,,,,,,,86,697
,,,,,,,,87,722
,,,,,,,,88,788
,,,,,,,,89,910
,,,,,,,,90,1032
,,,,,,,,91,1083
,,,,,,,,92,1078
,,,,,,,,93,1064
,,,,,,,,94,1042
,,,,,,,,95,967
,,,,,,,,96,917
,,,,,,,,97,863
,,,,,,,,98,806
,,,,,,,,99,764
,,,,,,,,100,742
,,,,,,,,101,752
,,,,,,,,102,808
,,,,,,,,103,912
,,,,,,,,104,953
,,,,,,,,105,948
,,,,,,,,106,882
,,,,,,,,107,863
,,,,,,,,108,817
,,,,,,,,109,836
,,,,,,,,110,819
,,,,,,,,111,831
,,,,,,,,112,888
,,,,,,,,113,908
,,,,,,,,114,1010
,,,,,,,,115,1049
,,,,,,,,116,1038
,,,,,,,,117,1023
,,,,,,,,118,1006
,,,,,,,,119,946
,,,,,,,,120,893
,,,,,,,,121,834
,,,,,,,,122,788
,,,,,,,,123,744
,,,,,,,,124,711
,,,,,,,,125,700
,,,,,,,,126,712
,,,,,,,,127,768
,,,,,,,,128,808
,,,,,,,,129,785
,,,,,,,,130,734
,,,,,,,,131,676
,,,,,,,,132,620
,,,,,,,,133,583
,,,,,,,,134,618
,,,,,,,,135,642
,,,,,,,,136,708
,,,,,,,,137,799
,,,,,,,,138,919
,,,,,,,,139,959
,,,,,,,,140,952
,,,,,,,,141,940
,,,,,,,,142,929
,,,,,,,,143,872
,,,,,,,,144,814
,,,,,,,,145,798
,,,,,,,,146,754
,,,,,,,,147,712
,,,,,,,,148,682
,,,,,,,,149,664
,,,,,,,,150,668
,,,,,,,,151,710
,,,,,,,,152,736
,,,,,,,,153,712
,,,,,,,,154,681
,,,,,,,,155,650
,,,,,,,,156,613
,,,,,,,,157,594
,,,,,,,,158,577
,,,,,,,,159,616
,,,,,,,,160,686
,,,,,,,,161,782
,,,,,,,,162,910
,,,,,,,,163,952
,,,,,,,,164,946
,,,,,,,,165,930
,,,,,,,,166,908
,,,,,,,,167,840
,,,,,,,,168,784
,,,,,,,,169,805
,,,,,,,,170,756
,,,,,,,,171,722
,,,,,,,,172,711
,,,,,,,,173,734
,,,,,,,,174,799
,,,,,,,,175,893
,,,,,,,,176,915
,,,,,,,,177,837
,,,,,,,,178,741
,,,,,,,,179,643
,,,,,,,,180,594
,,,,,,,,181,571
,,,,,,,,182,572
,,,,,,,,183,622
,,,,,,,,184,704
,,,,,,,,185,808
,,,,,,,,186,943
,,,,,,,,187,999
,,,,,,,,188,987
,,,,,,,,189,959
,,,,,,,,190,927
,,,,,,,,191,870
,,,,,,,,192,844
,,,,,,,,193,808
,,,,,,,,194,761
,,,,,,,,195,726
,,,,,,,,196,715
,,,,,,,,197,732
,,,,,,,,198,796
,,,,,,,,199,885
,,,,,,,,200,906
,,,,,,,,201,826
,,,,,,,,202,735
,,,,,,,,203,647
,,,,,,,,204,591
,,,,,,,,205,590
,,,,,,,,206,607
,,,,,,,,207,659
,,,,,,,,208,730
,,,,,,,,209,793
,,,,,,,,210,895
,,,,,,,,211,975
,,,,,,,,212,957
,,,,,,,,213,930
,,,,,,,,214,905
,,,,,,,,215,856
,,,,,,,,216,829
,,,,,,,,217,788
,,,,,,,,218,751
,,,,,,,,219,714
,,,,,,,,220,692
,,,,,,,,221,691
,,,,,,,,222,710
,,,,,,,,223,757
,,,,,,,,224,757
,,,,,,,,225,685
,,,,,,,,226,597
,,,,,,,,227,516
,,,,,,,,228,470
,,,,,,,,229,473
,,,,,,,,230,508
,,,,,,,,231,571
,,,,,,,,232,650
,,,,,,,,233,719
,,,,,,,,234,830
,,,,,,,,235,904
,,,,,,,,236,895
,,,,,,,,237,876
,,,,,,,,238,849
,,,,,,,,239,803
,,,,,,,,240,761
,,,,,,,,241,766
,,,,,,,,242,728
,,,,,,,,243,693
,,,,,,,,244,669
,,,,,,,,245,660
,,,,,,,,246,671
,,,,,,,,247,707
,,,,,,,,248,711
,,,,,,,,249,642
,,,,,,,,250,562
,,,,,,,,251,505
,,,,,,,,252,513
,,,,,,,,253,499
,,,,,,,,254,503
,,,,,,,,255,548
,,,,,,,,256,646
,,,,,,,,257,752
,,,,,,,,258,852
,,,,,,,,259,905
,,,,,,,,260,900
,,,,,,,,261,877
,,,,,,,,262,839
,,,,,,,,263,784
,,,,,,,,264,743
,,,,,,,,265,754
,,,,,,,,266,711
,,,,,,,,267,684
,,,,,,,,268,679
,,,,,,,,269,706
,,,,,,,,270,772
,,,,,,,,271,866
,,,,,,,,272,909
,,,,,,,,273,924
,,,,,,,,274,867
,,,,,,,,275,851
,,,,,,,,276,818
,,,,,,,,277,763
,,,,,,,,278,777
,,,,,,,,279,631
,,,,,,,,280,876
,,,,,,,,281,891
,,,,,,,,282,958
,,,,,,,,283,1011
,,,,,,,,284,991
,,,,,,,,285,954
,,,,,,,,286,916
,,,,,,,,287,852
,,,,,,,,288,824
,,,,,,,,289,790
,,,,,,,,290,743
,,,,,,,,291,710
,,,,,,,,292,699
,,,,,,,,293,722
,,,,,,,,294,787
,,,,,,,,295,876
,,,,,,,,296,935
,,,,,,,,297,929
,,,,,,,,298,888
,,,,,,,,299,842
,,,,,,,,300,871
,,,,,,,,301,867
,,,,,,,,302,861
,,,,,,,,303,897
,,,,,,,,304,833
,,,,,,,,305,855
,,,,,,,,306,959
,,,,,,,,307,1016
,,,,,,,,308,995
,,,,,,,,309,961
,,,,,,,,310,926
,,,,,,,,311,862
,,,,,,,,312,832
,,,,,,,,313,798
,,,,,,,,314,750
,,,,,,,,315,716
,,,,,,,,316,705
,,,,,,,,317,727
,,,,,,,,318,791
,,,,,,,,319,880
,,,,,,,,320,914
,,,,,,,,321,928
,,,,,,,,322,865
,,,,,,,,323,801
,,,,,,,,324,747
,,,,,,,,325,734
,,,,,,,,326,740
,,,,,,,,327,719
,,,,,,,,328,819
,,,,,,,,329,843
,,,,,,,,330,960
,,,,,,,,331,1020
,,,,,,,,332,1005
,,,,,,,,333,975
,,,,,,,,334,947
,,,,,,,,335,882
,,,,,,,,336,850
,,,,,,,,337,773
,,,,,,,,338,731
,,,,,,,,339,702
,,,,,,,,340,700
,,,,,,,,341,726
,,,,,,,,342,799
,,,,,,,,343,874
,,,,,,,,344,895
,,,,,,,,345,876
,,,,,,,,346,834
,,,,,,,,347,770
,,,,,,,,348,790
,,,,,,,,349,771
,,,,,,,,350,754
,,,,,,,,351,763
,,,,,,,,352,813
,,,,,,,,353,830
,,,,,,,,354,910
,,,,,,,,355,965
,,,,,,,,356,967
,,,,,,,,357,889
,,,,,,,,358,844
,,,,,,,,359,800
,,,,,,,,360,815
,,,,,,,,361,773
,,,,,,,,362,732
,,,,,,,,363,705
,,,,,,,,364,701
,,,,,,,,365,734
,,,,,,,,366,805
,,,,,,,,367,878
,,,,,,,,368,911
,,,,,,,,369,781
,,,,,,,,370,867
,,,,,,,,371,882
,,,,,,,,372,809
,,,,,,,,373,787
,,,,,,,,374,750
,,,,,,,,375,759
,,,,,,,,376,755
,,,,,,,,377,810
,,,,,,,,378,888
,,,,,,,,379,945
,,,,,,,,380,946
,,,,,,,,381,911
,,,,,,,,382,880
,,,,,,,,383,827
,,,,,,,,384,805
,,,,,,,,385,759
,,,,,,,,386,727
,,,,,,,,387,697
,,,,,,,,388,684
,,,,,,,,389,691
