Time_Index,BANC_Biogas,BANC_Biomass,BANC_CCGT1,BANC_CCGT2,BANC_Hydro,BANC_Peaker1,BANC_Peaker2,BANC_Reciprocating_Engine,CAISO_Advanced_CCGT,CAISO_Advanced_CCGT_CCS_95,CAISO_Advanced_Nuclear_SMR,CAISO_Aero_CT,CAISO_Allam_Cycle_100,CAISO_Biogas,CAISO_Biomass,CAISO_CCGT1,CAISO_CCGT1_Retrofit_CCS_90,CAISO_CCGT2,CAISO_CCGT_Remote,CAISO_CHP,CAISO_Coal,CAISO_Geothermal,CAISO_Hydro,CAISO_New_Reciprocating_Engine,CAISO_Nuclear,CAISO_Peaker1,CAISO_Peaker2,CAISO_Pumped_Hydro,CAISO_Reciprocating_Engine,CAISO_ST,Customer_PV,IID_Biogas,IID_Biomass,IID_CCGT1,IID_Peaker1,IID_Peaker2,IID_ST,InState_Biomass,LDWP_Biogas,LDWP_CCGT1,LDWP_CCGT2,LDWP_CHP,LDWP_Coal,LDWP_Hydro,LDWP_Nuclear,LDWP_Peaker1,LDWP_Peaker1_New_Planned,LDWP_Pumped_Hydro,LDWP_ST,NW_Biogas,NW_Biomass,NW_CCGT1,NW_CCGT2,NW_Coal,NW_Hydro,NW_Hydro_for_CAISO,NW_Nuclear,NW_Nuclear_New_Planned,NW_Peaker1,NW_Peaker1_New_Planned,NW_Peaker2,NW_Pumped_Hydro,NW_Reciprocating_Engine,SW_Biogas,SW_Biomass,SW_CCGT1,SW_CCGT2,SW_Coal,SW_Hydro,SW_Nuclear,SW_Peaker1,SW_Peaker1_New_Planned,SW_Peaker2,SW_Pumped_Hydro,SW_Reciprocating_Engine,SW_ST
21,12.092,0.662,0.0,0.0,469.608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.812,282.648,0.0,0.0,0.0,0.0,480.232,0.0,1381.492,3064.61,0.0,635.0,0.0,0.0,1483.2,0.0,0.0,0.0,0.0,53.207,0.0,0.0,0.0,0.0,99.522,0.961,0.0,0.0,77.254,0.0,565.499,407.0,0.0,0.0,0.0,0.0,8.29,382.616,0.0,0.0,0.0,13176.65,1466.662,585.0,0.0,0.0,0.0,0.0,0.0,0.0,3.922,4.608,481.424,0.0,1308.53,1526.589,2998.0,0.0,0.0,0.0,0.0,0.0,0.0
22,12.092,0.662,0.0,0.0,1304.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.812,282.648,0.0,0.0,0.0,0.0,480.232,0.0,1381.492,3301.765,0.0,635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.207,0.0,0.0,0.0,0.0,99.522,0.961,0.0,0.0,77.254,0.0,565.499,407.0,0.0,0.0,38.126,0.0,8.29,382.616,0.0,0.0,0.0,14543.808,1466.662,585.0,0.0,0.0,0.0,0.0,0.0,0.0,3.922,4.608,481.424,0.0,1308.53,1526.589,2998.0,0.0,0.0,0.0,969.6,0.0,0.0
23,12.092,0.662,0.0,0.0,1304.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.812,282.648,0.0,0.0,0.0,0.0,480.232,0.0,1381.492,3971.296,0.0,635.0,0.0,0.0,1483.2,0.0,0.0,0.0,0.0,53.207,0.0,0.0,0.0,0.0,99.522,0.961,0.0,0.0,77.254,0.0,565.499,407.0,0.0,0.0,1460.0,0.0,8.29,382.616,0.0,0.0,0.0,14470.442,1466.662,585.0,0.0,0.0,0.0,0.0,499.98,0.0,3.922,4.608,481.424,0.0,1308.53,1526.589,2998.0,0.0,0.0,0.0,969.6,0.0,0.0
24,12.092,0.662,0.0,0.0,1304.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.812,282.648,0.0,0.0,0.0,0.0,480.232,0.0,1381.492,3971.296,0.0,635.0,0.0,0.0,1483.2,0.0,0.0,0.0,0.0,53.207,0.0,0.0,0.0,0.0,99.522,0.961,0.0,0.0,77.254,0.0,565.499,407.0,0.0,0.0,320.321,0.0,8.29,382.616,0.0,0.0,0.0,15837.599,1466.662,585.0,0.0,0.0,0.0,0.0,499.98,0.0,3.922,4.608,481.424,0.0,1308.53,1526.589,2998.0,0.0,0.0,0.0,969.6,0.0,0.0
25,11.725,0.642,0.0,0.0,313.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.439,282.648,7654.885,0.0,0.0,0.0,922.586,0.0,1384.589,2530.259,0.0,635.0,0.0,0.0,1483.2,0.0,0.0,0.0,0.0,51.59,0.0,0.0,0.0,0.0,99.522,0.929,1328.0,0.0,77.254,0.0,4.4,407.0,0.0,0.0,0.0,0.0,8.026,370.911,1965.423,116.722,0.0,9674.096,1053.422,1170.0,0.0,231.222,4792.561,0.0,0.0,221.61,3.818,4.464,3440.2,254.183,1308.53,1546.2,2998.0,0.0,0.0,0.0,0.0,0.0,0.0
26,11.725,0.642,0.0,0.0,870.783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.439,282.648,7654.885,0.0,0.0,0.0,922.586,0.0,1384.589,3231.571,0.0,635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.59,0.0,0.0,0.0,0.0,99.522,0.929,1328.0,0.0,77.254,0.0,4.4,407.0,0.0,0.0,0.0,0.0,8.026,370.911,1965.423,116.722,0.0,8353.531,1053.422,1170.0,0.0,231.222,4792.561,0.0,0.0,221.61,3.818,4.464,3440.2,254.183,1308.53,229.502,2998.0,0.0,0.0,0.0,0.0,0.0,0.0
27,11.725,0.642,0.0,0.0,313.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.439,282.648,7654.885,0.0,0.0,0.0,922.586,0.0,1384.589,3140.356,0.0,635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.59,0.0,0.0,0.0,0.0,99.522,0.929,1328.0,0.0,77.254,0.0,4.4,407.0,0.0,0.0,0.0,0.0,8.026,370.911,1965.423,116.722,0.0,8381.004,1053.422,1170.0,0.0,231.222,4792.561,0.0,0.0,221.61,3.818,4.464,3440.2,254.183,1308.53,1546.2,2998.0,0.0,0.0,0.0,969.6,0.0,0.0
28,11.725,0.642,0.0,0.0,313.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.439,282.648,7654.885,0.0,0.0,0.0,922.586,0.0,1384.589,2318.943,0.0,635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.59,0.0,0.0,0.0,0.0,99.522,0.929,1328.0,0.0,77.254,0.0,4.4,407.0,0.0,0.0,0.0,0.0,8.026,370.911,1965.423,116.722,0.0,7700.118,1053.422,1170.0,0.0,231.222,4792.561,0.0,0.0,221.61,3.818,4.464,3440.2,254.183,1308.53,229.502,2998.0,0.0,0.0,0.0,0.0,0.0,0.0
29,11.725,0.642,0.0,0.0,313.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.439,282.648,7654.885,0.0,0.0,0.0,922.586,0.0,1384.589,2196.364,0.0,635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.59,0.0,0.0,0.0,0.0,99.522,0.929,1328.0,0.0,77.254,0.0,4.4,407.0,0.0,0.0,0.0,0.0,8.026,370.911,1965.423,116.722,0.0,7682.327,980.566,1170.0,0.0,231.222,4792.561,0.0,0.0,221.61,3.818,4.464,3440.2,254.183,1308.53,229.502,2998.0,0.0,0.0,0.0,969.6,0.0,0.0
30,11.725,0.642,0.0,0.0,1061.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.439,282.648,7654.885,0.0,0.0,0.0,922.586,0.0,1384.589,2045.805,0.0,635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.59,0.0,0.0,0.0,0.0,99.522,0.929,1328.0,0.0,77.254,0.0,18.804,407.0,0.0,0.0,0.0,0.0,8.026,370.911,1965.423,116.722,0.0,8554.46,890.566,1170.0,0.0,231.222,4792.561,0.0,0.0,221.61,3.818,4.464,3440.2,254.183,1308.53,229.502,2998.0,0.0,0.0,0.0,0.0,0.0,0.0
