Resource,ELCC
BTM_Solar,0.053
CAM_CAM_RA_i,0.854
CAM_CAM_RA_ii,0.896
CAM_CAM_RA_iii,0.802
CAM_DR_RA,0.772
CAM_CPE_RA_i,0.802
CAM_CPE_RA_ii,0.844
Aramis,0.854
CALP01RA2027,0.802
CHEV01RA2024,0.802
CHEV01RA2025,0.895
DaggettSolarPower3,0.317
EBMUD01RA2024,0.508
EdwardsSolarII,0.096
FervoFECNevada1,0.86
GEN01RA2026,0.844
HDP01RA2027,0.844
HDP01RA2028,0.844
HDP01RA2030,0.844
HenriettaStorage,0.854
MRL01RA2030,0.802
NEXT01RA2026,0.802
Oberon,0.978
OhmConnect,0.772
RosamondCentral,0.096
Sanborn,0.854
Scarlet,0.362
SDGE01RA2024,0.844
SENA01RA2027,0.802
SummitWind,0.237
SUN01RA2031,0.78
Tecolote,0
TPS01RA2024,0.508
TulareSolarCenter,0.096
Tumbleweed,0.854
Generic_6hr_battery,0.874
Generic_8hr_battery,0.892
Generic_RA_Only,0.844
Arizona_Li_Battery,0.854
Arizona_Solar,0.096
CAISO_Advanced_CCGT_candidate,0.844
CAISO_Aero_CT_candidate,0.802
CAISO_New_Flow_Battery,0.854
CAISO_Reciprocating_Engine_candidate,0.929
CAISO_Shed_DR_Tranche1,0.772
Greater_Imperial_Geothermal,0.86
Humboldt_Bay_Offshore_Wind,0.549
InState_Biomass,0.776
Morro_Bay_Offshore_Wind,0.549
New_Mexico_Wind,0.384
Northern_California_Geothermal,0.86
Northern_California_Li_Battery,0.854
Northern_California_Solar,0.096
Northern_California_Wind,0.237
NW_Ext_Tx_Wind,0.261
Riverside_Li_Battery,0.854
Riverside_Palm_Springs_Wind,0.118
Riverside_Solar,0.096
Riverside_West_Pumped_Storage,0.894
Southern_Nevada_Geothermal,0.86
Tehachapi_Pumped_Storage,0.894
Wyoming_Wind,0.426
