Time_Index,BANC_Hydro,CAISO_Hydro,LDWP_Hydro,NW_Hydro,NW_Hydro_for_CAISO,SW_Hydro
119,793.193,2449.183,248.26,11495.621,1367.791,1645.892
120,793.193,3270.597,16.1,11513.708,1386.028,273.602
121,522.709,4032.186,15.9,15257.971,1566.762,339.114
122,649.529,4032.186,15.9,14286.581,1566.762,1667.294
123,1337.689,3628.141,407.502,13321.782,1566.762,1667.294
124,1332.513,3286.385,15.9,14688.94,1566.762,1667.294
125,1355.827,3163.806,15.9,14681.535,1566.762,283.408
126,1369.069,3013.247,15.9,14747.924,1561.872,1667.294
127,1207.334,2191.834,407.502,16115.082,1437.933,283.408
128,522.709,1850.078,15.9,14821.825,1320.694,283.408
129,522.709,1727.499,15.9,13454.667,1217.97,283.408
130,522.709,1727.499,407.502,14821.825,1207.675,283.408
131,522.709,1727.499,15.9,14562.836,1207.675,283.408
132,522.709,1727.499,15.9,13321.782,1207.675,283.408
133,522.709,1727.499,407.502,14688.94,1207.675,283.408
134,522.709,1727.499,15.9,15547.475,1207.675,283.408
135,522.709,1727.499,15.9,16160.934,1207.675,283.408
136,522.709,1727.499,117.178,17282.844,1222.861,283.408
137,522.709,1797.076,15.9,17282.844,1325.584,283.408
138,522.709,2138.832,15.9,17282.844,1442.824,283.408
139,522.709,2960.245,15.9,17282.844,1566.762,283.408
140,685.002,3110.804,15.9,17282.844,1566.762,1667.294
141,1386.608,3233.383,407.502,17282.844,1566.762,1667.294
142,1386.608,3575.139,15.9,17282.844,1566.762,1667.294
143,1370.594,4032.186,15.9,17282.844,1566.762,1667.294
144,1220.277,4032.186,407.502,16420.993,1566.762,1667.294
145,142.004,3126.606,3.3,13415.29,1254.217,1309.798
146,142.004,2305.193,3.3,12356.051,1309.524,1309.798
147,142.004,2374.437,3.3,10988.893,1185.586,122.909
148,177.905,2223.878,3.3,10651.719,1309.524,1309.798
149,273.995,2101.299,3.3,10651.719,1185.586,122.909
150,287.307,1759.543,3.3,10651.719,1309.524,915.512
151,381.252,938.13,3.3,11567.149,1192.285,122.909
152,724.943,787.571,3.3,12934.307,1068.347,122.909
153,729.117,664.992,3.3,12612.666,965.623,122.909
154,142.004,664.992,3.3,11245.508,965.623,122.909
155,142.004,664.992,3.3,10651.719,965.623,122.909
156,142.004,664.992,3.3,10898.572,965.623,122.909
157,142.004,664.992,3.3,10651.719,965.623,122.909
158,142.004,664.992,3.3,10850.722,965.623,122.909
159,142.004,664.992,3.3,11983.862,965.623,122.909
160,142.004,664.992,3.3,13277.119,965.623,122.909
161,142.004,1034.727,3.3,14644.277,1082.862,122.909
162,142.004,1157.306,335.903,15202.342,1206.801,1309.798
163,382.075,1978.72,335.903,15202.342,1254.217,1309.798
164,466.624,2101.299,335.903,15202.342,1378.156,1309.798
165,622.302,2471.034,335.903,15202.342,1270.713,122.909
166,795.6,2593.614,313.745,15202.342,1378.156,1309.798
167,596.436,3181.593,3.3,15202.342,1254.217,122.909
168,609.936,2360.18,3.3,14782.448,1378.156,122.909
169,200.899,3267.932,10.4,12478.44,1233.077,200.993
170,887.094,3267.932,369.797,11111.282,1233.077,224.786
171,887.094,3267.932,10.4,11982.822,1233.077,1483.812
172,200.899,2997.525,285.079,10615.664,1233.077,1483.812
173,887.094,2176.112,10.4,11982.822,1233.077,1483.812
174,200.899,2053.533,10.4,12234.83,1233.077,200.993
175,887.094,1902.974,369.797,13601.988,1233.077,200.993
176,200.899,1561.218,10.4,12325.123,1190.716,1483.812
177,200.899,739.805,10.4,13601.988,1066.777,720.953
178,200.899,739.805,10.4,12565.805,949.538,200.993
179,200.899,739.805,10.4,11198.648,846.814,200.993
180,200.899,739.805,10.4,9905.39,780.887,200.993
181,200.899,739.805,10.4,8905.206,780.887,200.993
182,200.899,739.805,10.4,10272.363,780.887,200.993
183,200.899,739.805,10.4,10315.631,807.294,200.993
184,200.899,739.805,10.4,11179.586,910.018,200.993
185,200.899,739.805,10.4,12234.83,1027.257,200.993
186,200.899,1495.194,10.4,13601.988,1151.196,200.993
187,887.094,1831.625,369.797,13601.988,1233.077,200.993
188,887.094,2053.533,10.4,13601.988,1233.077,1483.812
189,476.968,2110.088,162.553,13601.988,1233.077,1483.812
190,200.899,2931.501,10.4,13601.988,1233.077,1483.812
191,887.094,3267.932,369.797,12234.83,1233.077,1483.812
192,887.094,3267.932,369.797,13601.988,1233.077,1483.812
193,1114.207,3762.578,420.904,12622.137,1231.681,237.907
194,1114.207,3762.578,21.6,12364.127,1231.681,1567.109
195,867.585,3358.347,21.6,12504.919,1231.681,1567.109
196,737.422,2781.08,420.904,12958.641,1231.681,237.907
197,717.152,2658.501,21.6,13586.592,1206.912,1567.109
198,1114.207,2507.941,21.6,13313.366,1104.188,237.907
199,1020.108,1922.04,21.6,12410.138,986.949,1567.109
200,347.208,1344.772,21.6,11116.881,863.011,237.907
201,347.208,1344.772,21.6,9749.723,781.129,237.907
202,347.208,1344.772,21.6,8616.583,781.129,237.907
203,347.208,1344.772,21.6,8616.583,781.129,237.907
204,347.208,1344.772,21.6,8616.583,781.129,237.907
205,347.208,1344.772,21.6,8616.583,781.129,237.907
206,347.208,1344.772,21.6,8616.583,781.129,237.907
207,347.208,1344.772,21.6,8616.583,781.129,237.907
208,347.208,1344.772,21.6,8616.583,786.033,237.907
209,347.208,1344.772,21.6,9983.741,903.272,237.907
210,347.208,2166.186,21.6,10493.401,1027.211,237.907
211,347.208,2507.941,420.904,11786.658,1129.935,237.907
212,1114.207,2658.501,420.904,13153.816,1211.816,1567.109
213,882.665,2781.08,420.904,13586.592,1231.681,1567.109
214,795.805,3602.493,21.6,13586.592,1231.681,1263.27
215,490.164,3762.578,420.904,13586.592,1231.681,1567.109
216,391.179,3762.578,181.172,13586.592,1231.681,1567.109
217,1227.288,3982.621,390.298,12881.522,1204.251,310.49
218,934.317,3982.621,17.1,11995.061,1204.251,1727.789
219,576.198,3759.341,17.1,11119.722,1204.251,1727.789
220,1469.698,3079.799,17.1,10616.572,1185.364,310.49
221,576.198,2957.22,316.21,10086.623,1103.483,310.49
222,576.198,2806.661,17.1,10899.696,1000.759,1727.789
223,576.198,2323.034,17.1,9606.438,883.52,1047.143
224,576.198,1643.492,17.1,8239.281,759.581,310.49
225,576.198,1643.492,17.1,8239.281,746.925,310.49
226,576.198,1643.492,17.1,8239.281,746.925,310.49
227,576.198,1643.492,17.1,8239.281,746.925,310.49
228,576.198,1643.492,17.1,8239.281,746.925,310.49
229,576.198,1643.492,17.1,8239.281,746.925,310.49
230,576.198,1643.492,17.1,8239.281,746.925,310.49
231,576.198,1643.492,17.1,8239.281,746.925,310.49
232,576.198,1643.492,17.1,9114.452,746.925,310.49
233,576.198,1643.492,17.1,10407.709,746.925,310.49
234,576.198,1643.492,17.1,11774.867,870.864,310.49
235,1469.698,2464.905,390.298,12908.007,988.103,1727.789
236,1469.698,2806.661,390.298,13284.011,1090.827,1727.789
237,1469.698,2957.22,17.1,13284.011,1172.708,590.858
238,1469.698,3079.799,390.298,13284.011,1204.251,1727.789
239,1469.698,3901.213,390.298,13284.011,1204.251,1727.789
240,1469.698,3982.621,17.1,13284.011,1204.251,1727.789
