Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Total
AnnualSum,2.8442997557346364e6,1.8204643968005923e6,178536.20360845877,4.812653194407436e6,492690.9082957589,924468.6082069649,2.800828626336693e6,644051.5972654292,3.3165078095106687e6,1.4521847688131996e6,579782.5330778604,4.774791668959864e6,1.3468174661388006e6,666165.1753411373,260911.1013208017,2.6915153813818306e7
t1,417.68,165.04985691242072,45.10615920000001,897.8922435,87.6946374,232.32461714999997,642.8502127552581,30.016272506888654,515.546052,329.152,15.669276080545117,930.7273338,227.749851,128.0009859,68.85,4734.3094982051125
t2,417.68,256.33615771500314,45.10615920000001,897.8922435,87.6946374,232.32461714999997,624.6758564480114,48.80790581606452,515.546052,329.152,41.04682032492902,930.7273338,227.749851,128.0009859,68.85,4851.590620254008
t3,417.68,344.7896558460761,45.10615920000001,897.8922435,87.6946374,232.32461714999997,609.0712543231361,72.0449644636299,515.546052,329.152,45.623213865085866,930.7273338,227.749851,128.0009859,68.85,4952.252968447928
t4,417.68,234.17029908310963,45.10615920000001,897.8922435,87.6946374,232.32461714999997,642.8502127552581,67.45682604440563,515.546052,329.152,41.38042061752861,930.7273338,227.749851,128.0009859,68.85,4866.581638450302
t5,417.68,171.73128123322246,45.10615920000001,897.8922435,87.6946374,232.32461714999997,608.1334714699536,46.49940444391415,515.546052,329.152,45.051939771390586,930.7273338,227.749851,128.0009859,68.85,4752.139976868481
t6,417.68,364.4662225913372,45.10615920000001,897.8922435,87.6946374,232.32461714999997,642.8502127552581,55.522660944948036,515.546052,329.152,49.48832040174818,930.7273338,227.749851,128.0009859,68.85,4993.051296643292
t7,417.68,413.8824077916056,45.10615920000001,897.8922435,87.6946374,232.32461714999997,210.04324543707486,0.0,515.546052,329.152,77.6718343230209,930.7273338,227.749851,128.0009859,68.85,4582.321367501701
t8,417.68,0.0,45.10615920000001,233.16527027482968,0.0,0.0,0.0,0.0,508.9958857860344,0.0,0.0,550.0497425045668,56.425184031074494,116.1586420292322,0.0,1927.5808838257374
t9,417.68,122.79636596721843,0.0,0.0,0.0,0.0,0.0,166.49927144937308,0.0,0.0,0.0,79.54009876119501,0.0,0.0,0.0,786.5157361777866
