Key,Value
Arizona_Solar,solar
BANC_Solar,solar
BANC_Solar_New_Planned,solar
BANC_Wind,wind
BANC_Wind_New_Planned,wind
Baja_California_Wind,wind
CAISO_Solar,solar
CAISO_Wind,wind
Cape_Mendocino_Offshore_Wind,wind
Central_Valley_North_Los_Banos_Wind,wind
Del_Norte_Offshore_Wind,wind
Distributed_Solar,solar
Greater_Imperial_Solar,solar
Greater_Imperial_Wind,wind
Greater_Kramer_Solar,solar
Greater_LA_Solar,solar
Humboldt_Bay_Offshore_Wind,wind
IID_Solar,solar
IID_Solar_New_Planned,solar
Idaho_Wind,wind
LDWP_Solar,solar
LDWP_Solar_New_Planned,solar
LDWP_Wind,wind
LDWP_Wind_New_Planned,wind
Morro_Bay_Offshore_Wind,wind
NW_Solar,solar
NW_Solar_New_Planned,solar
NW_Wind,wind
NW_Wind_New_Planned,wind
New_Mexico_Wind,wind
Northern_California_Solar,solar
Northern_California_Wind,wind
Riverside_Solar,solar
SW_Solar,solar
SW_Solar_New_Planned,solar
SW_Wind,wind
SW_Wind_New_Planned,wind
Solano_Wind,wind
Southern_NV_Eldorado_Solar,solar
Southern_NV_Eldorado_Wind,wind
Southern_PGAE_Solar,solar
Tehachapi_Solar,solar
Tehachapi_Wind,wind
Utah_Wind,wind
Wyoming_Wind,wind
Customer_PV,solar
