Zone,1,2,3,4,5,6,7,Total
CO2_Price_1,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_2,49.9775758162965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualSum,5.099999999999987e6,1142.5731241023655,580.3775724660508,3.831330454030985e7,1.7245015898159577e6,1.5559223378547944e7,2.983144866357541e7,9.053020112294573e7
t1,2728.2624688843252,0.0,8.10161246188696,6936.095679839999,292.4363904,4635.781366129457,8551.213218179602,23151.89073589527
t2,2728.2624688843252,0.0,8.10161246188696,6936.095679839999,292.4363904,4635.781366129457,8551.213218179602,23151.89073589527
t3,2728.2624688843252,0.0,8.10161246188696,6881.413185854608,292.4363904,4635.781366129457,8551.2132181796,23097.208241909877
t4,2728.2624688843252,0.0,8.10161246188696,6936.095679839999,292.4363904,4635.781366129457,8551.2132181796,23151.89073589527
t5,2728.2624688843252,0.0,8.10161246188696,6936.095679839999,292.4363904,4635.781366129457,8551.2132181796,23151.89073589527
t6,2728.2624688843252,0.0,8.10161246188696,6459.502749274889,292.4363904,4635.781366129457,8551.2132181796,22675.297805330156
t7,2548.8433323396985,0.0,0.0,5298.363390508488,292.4363904,4197.155101100096,8551.2132181796,20888.011432527885
t8,128.3058712356858,0.0,0.0,3791.435044444514,292.4363904,2317.8906830647284,5963.526105569801,12493.594094714728
t9,128.3058712356858,0.0,0.0,4127.026900154763,292.4363904,2317.8906830647284,5963.526105569801,12829.185950424979
t10,128.3058712356858,0.0,0.0,5688.148102765909,292.4363904,2317.8906830647284,5963.526105569801,14390.307153036125
t11,128.3058712356858,0.0,0.0,5664.229732381146,292.4363904,2317.8906830647284,5963.526105569801,14366.388782651362
t12,128.3058712356858,0.0,0.0,6043.345341191022,292.4363904,2317.8906830647284,5963.526105569801,14745.504391461238
t13,128.3058712356858,0.0,0.0,6533.877853743074,292.4363904,2317.8906830647284,5963.526105569801,15236.03690401329
t14,128.3058712356858,0.0,0.0,6546.410535062598,292.4363904,2317.8906830647284,5963.526105569801,15248.569585332812
t15,128.3058712356858,0.0,0.0,6936.095679839999,292.4363904,3631.473097413741,7009.877045439603,17998.18808432903
t16,128.3058712356858,0.0,0.0,6936.095679839999,292.4363904,4635.781366129476,8260.605034028065,20253.224341633228
t17,2951.7976976018954,0.0,0.0,6936.095679839999,292.4363904,4635.781366129476,8551.213218179602,23367.324352150972
t18,2822.4949089631,0.0,25.25649510915919,6936.095679839999,292.4363904,4635.781366129476,8551.213218179602,23263.278058621334
t19,2728.2624688843252,0.0,8.10161246188696,6936.095679839999,292.4363904,4635.781366129476,8551.213218179602,23151.890735895293
t20,2728.2624688843252,0.0,8.10161246188696,6936.095679839999,292.4363904,4635.781366129476,8551.213218179602,23151.890735895293
t21,2728.2624688843252,0.0,8.10161246188696,6936.095679839999,292.4363904,4635.781366129476,8551.213218179602,23151.890735895293
t22,2728.2624688843252,0.0,8.10161246188696,6936.095679839999,292.4363904,4635.781366129457,8551.213218179602,23151.89073589527
t23,2728.2624688843252,0.0,8.10161246188696,6936.095679839999,292.4363904,4635.781366129457,8551.213218179602,23151.89073589527
t24,2728.2624688843252,0.0,8.10161246188696,6936.095679839999,292.4363904,4635.781366129457,8551.213218179602,23151.89073589527
t25,2871.211468346999,5.630075368875017e-13,0.0,6479.928055713884,292.4363904,6038.964882268807,6838.576650875042,22521.11744760473
t26,2871.211468346999,0.0,0.0,5556.386166306463,292.4363904,6038.964882268807,6877.0486611473625,21636.047568469632
t27,2871.211468346999,0.0,0.0,5687.913707095188,292.4363904,6038.964882268776,6685.759261134728,21576.28570924569
t28,2871.211468346999,0.0,0.0,2774.438271936,292.4363904,6038.964882268776,6741.79341418245,18718.844427134223
t29,2871.211468346999,0.0,0.0,2774.438271936,292.4363904,6038.964882268776,6954.605662528336,18931.65667548011
t30,2871.211468346999,0.0,0.0,2774.438271936,292.4363904,6038.964882268776,7064.6873090135505,19041.738321965327
t31,2871.211468346999,0.0,0.0,2774.438271936,116.97455615999999,6038.964882268774,6921.914013546382,18723.503192258155
t32,1564.3068317842622,0.0,0.0,2774.438271936,116.97455615999999,6038.964882268805,6266.614090856577,16761.298633005645
t33,1564.3068317842622,0.0,0.0,2774.438271936,292.4363904,6038.964882268805,5273.292587926866,15943.438964315934
t34,1564.3068317842622,0.0,0.0,4707.166845531025,292.4363904,5213.6535142221,5681.345495541303,17458.90907747869
t35,1564.3068317842622,0.0,0.0,6849.694199741131,292.4363904,5567.265279634568,6018.429239639986,20292.131941199947
t36,1564.3068317842622,0.0,0.0,6936.095679839999,292.4363904,6038.964882268805,6266.614090856577,21098.417875149644
t37,1564.3068317842622,0.0,0.0,6936.095679839999,292.4363904,6038.964882268805,5990.142058164538,20821.945842457604
t38,1564.3068317842622,0.0,0.0,6936.095679839999,292.4363904,6038.964882268805,6266.614090856577,21098.417875149644
t39,1564.3068317842622,0.0,0.0,6936.095679839999,292.4363904,6038.964882268805,7064.6873090135505,21896.491093306617
t40,2789.5351680523363,0.0,0.0,6936.095679839999,292.4363904,6038.964882268805,7064.6873090135505,23121.71942957469
t41,2871.211468346999,0.0,0.0,6936.095679839999,292.4363904,6038.964882268802,7064.6873090135505,23203.39572986935
t42,2871.211468346999,0.0,0.0,6936.095679839999,292.4363904,6038.964882268805,7064.6873090135505,23203.395729869357
t43,2871.211468346999,0.0,0.0,6936.095679839999,292.4363904,6038.964882268805,7064.6873090135505,23203.395729869357
t44,2871.211468346999,0.0,0.0,6936.095679839999,292.4363904,6038.964882268805,7064.6873090135505,23203.395729869357
t45,2871.211468346999,0.0,0.0,6936.095679839999,292.4363904,6038.964882268807,7064.6873090135505,23203.395729869357
t46,2871.211468346999,0.0,0.0,6936.095679839999,292.4363904,6038.964882268807,7064.6873090135505,23203.395729869357
t47,2871.211468346999,0.0,0.0,6936.095679839999,292.4363904,6038.964882268807,7064.6873090135505,23203.395729869357
t48,2871.211468346999,-9.381314157508315e-13,0.0,6936.095679839999,292.4363904,6038.964882268807,7064.6873090135505,23203.395729869357
t49,218.90980006420625,0.0,0.0,8473.07063894,782.8742587033225,8462.758947268805,8551.213218179602,26488.82686315594
t50,218.90980006420625,0.0,0.0,8473.07063894,689.9274959985853,8462.758947268805,8551.213218179602,26395.8801004512
t51,218.90980006420625,0.0,0.0,8473.07063894,689.9274959985853,8462.758947268805,8551.213218179602,26395.8801004512
t52,218.90980006420625,0.0,0.0,8473.07063894,689.9274959985853,8462.758947268805,8551.213218179602,26395.8801004512
t53,218.90980006420625,0.0,0.0,8473.07063894,689.9274959985853,8462.758947268805,8551.213218179602,26395.8801004512
t54,218.90980006420625,0.0,0.0,8473.07063894,689.9274959985853,8462.758947268805,8551.213218179602,26395.8801004512
t55,218.90980006420625,0.0,0.0,8473.07063894,689.9274959985853,8462.758947268805,8551.213218179602,26395.8801004512
t56,6.729230486805235,0.0,0.0,7704.583159389999,304.8236839762944,8462.758947268805,7905.43768758002,24384.332708701924
t57,6.729230486805235,0.0,0.0,7704.583159389999,304.8236839762944,8462.758947268805,7319.960207002688,23798.855228124594
t58,6.729230486805235,0.0,0.0,7704.583159389999,304.8236839762944,8462.758947268805,7009.877045439603,23488.77206656151
t59,6.729230486805235,0.0,0.0,7704.583159389999,304.8236839762944,7250.861914768805,7009.877045439603,22276.875034061508
t60,6.729230486805235,0.0,0.0,7704.583159389999,304.8236839762944,8462.758947268805,7009.877045439603,23488.77206656151
t61,6.729230486805235,0.0,0.0,7704.583159389999,304.8236839762944,7250.861914768805,7009.877045439603,22276.875034061508
t62,6.729230486805235,0.0,0.0,7704.583159389999,304.8236839762944,8462.758947268805,8245.511246696014,24724.406267817918
t63,6.729230486805235,0.0,0.0,7704.583159389999,165.8831445896377,7250.861914768805,8286.872882550091,23414.930331785337
t64,6.729230486805235,0.0,0.0,7704.583159389999,304.8236839762944,7250.861914768805,8551.213218179602,23818.211206801505
t65,78.77459202084881,0.0,0.0,7704.583159389999,304.8236839762944,7250.861914768805,8551.213218179602,23890.25656833555
t66,218.90980006420625,0.0,0.0,7704.583159389999,304.8236839762944,7250.861914768805,8551.213218179602,24030.391776378907
t67,218.90980006420625,0.0,0.0,7704.583159389999,304.8236839762944,7250.861914768805,8551.213218179602,24030.391776378907
t68,218.90980006420625,0.0,0.0,7704.583159389999,304.8236839762944,7250.861914768805,8551.213218179602,24030.391776378907
t69,218.90980006420625,0.0,0.0,7704.583159389999,304.8236839762944,7374.547054670371,8376.06132601457,23978.92502411544
t70,218.90980006420625,0.0,0.0,7704.583159389999,304.8236839762944,7250.861914768805,8551.213218179602,24030.391776378907
t71,218.90980006420625,0.0,0.0,7704.583159389999,304.8236839762944,7250.861914768805,7677.849091253878,23157.027649453186
t72,218.90980006420625,0.0,0.0,7704.583159389999,304.8236839762944,7250.861914768805,8551.213218179602,24030.391776378907
t73,875.8030953905444,2.815037684437509e-13,0.0,0.0,0.0,1952.5346022330273,5234.4448219894,8062.7825196129725
t74,875.8030953905444,0.0,0.0,0.0,0.0,1952.5346022330273,5079.570788591601,7907.908486215172
t75,875.8030953905444,4.690657078754157e-13,0.0,0.0,0.0,1952.5346022330273,5232.079581319274,8060.417278942847
