Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,cluster,Existing_Cap_MWh,fom_per_mwyr,fom_per_mwyr_std,num_units,region,technology,Cap_Size,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,LDS,cost_case,tech_detail,basis_year,Fixed_OM_Cost_per_MWhyr,capex_mw,capex_mwh,Var_OM_Cost_per_MWh_In,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Max_Cap_MW,Max_Cap_MWh,regional_cost_multiplier,interconnect_annuity,interconnect_capex_mw,plant_inv_cost_mwyr,Self_Disch,Eff_Up,Eff_Down,Existing_Charge_Cap_MW,Min_Cap_MWh,Max_Charge_Cap_MW,Max_Duration,Min_Duration,Model,LINK_STAGES
PNW_hydroelectric_pumped_storage_1,6,0,0,314.0,1,4867.0,9618.218,292.334,6.0,PNW,Hydroelectric Pumped Storage,52.33,9618,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.894427191,0.894427191,0.0,-1.0,-1.0,20.0,8.0,1,0
UT_NV_batteries_1,7,0,0,1630.3,1,3741.2,13281.938,2238.149,17.0,UT_NV,Batteries,95.9,13281,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,8.0,0.0,1,0
AZ_utilityscale_battery_storage_lithium_ion_conservative_0,1,1,0,0.0,0,0.0,0.0,0.0,0.0,AZ,Utility-Scale Battery Storage_Lithium Ion_Conservative,1.0,8561,0.15,0,Conservative,Lithium Ion,2038.0,8069,342454.756,322777.758,0.15,42326,31015,-1.0,-1.0,1.02,9420.528,100000.0,32906.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,4.0,4.0,1,1
CA_N_utilityscale_battery_storage_lithium_ion_conservative_0,2,1,0,0.0,0,0.0,0.0,0.0,0.0,CA_N,Utility-Scale Battery Storage_Lithium Ion_Conservative,1.0,8561,0.15,0,Conservative,Lithium Ion,2038.0,8069,342454.756,322777.758,0.15,44100,32687,-1.0,-1.0,1.075,9420.528,100000.0,34680.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,4.0,4.0,1,1
CA_S_utilityscale_battery_storage_lithium_ion_conservative_0,3,1,0,0.0,0,0.0,0.0,0.0,0.0,CA_S,Utility-Scale Battery Storage_Lithium Ion_Conservative,1.0,8561,0.15,0,Conservative,Lithium Ion,2038.0,8069,342454.756,322777.758,0.15,44261,32839,-1.0,-1.0,1.08,9420.528,100000.0,34841.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,4.0,4.0,1,1
MT_WY_CO_utilityscale_battery_storage_lithium_ion_conservative_0,4,1,0,0.0,0,0.0,0.0,0.0,0.0,MT_WY_CO,Utility-Scale Battery Storage_Lithium Ion_Conservative,1.0,8561,0.15,0,Conservative,Lithium Ion,2038.0,8069,342454.756,322777.758,0.15,41422,30164,-1.0,-1.0,0.992,9420.528,100000.0,32002.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,4.0,4.0,1,1
NM_utilityscale_battery_storage_lithium_ion_conservative_0,5,1,0,0.0,0,0.0,0.0,0.0,0.0,NM,Utility-Scale Battery Storage_Lithium Ion_Conservative,1.0,8561,0.15,0,Conservative,Lithium Ion,2038.0,8069,342454.756,322777.758,0.15,42648,31319,-1.0,-1.0,1.03,9420.528,100000.0,33228.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,4.0,4.0,1,1
PNW_utilityscale_battery_storage_lithium_ion_conservative_0,6,1,0,0.0,0,0.0,0.0,0.0,0.0,PNW,Utility-Scale Battery Storage_Lithium Ion_Conservative,1.0,8561,0.15,0,Conservative,Lithium Ion,2038.0,8069,342454.756,322777.758,0.15,43100,31745,-1.0,-1.0,1.044,9420.528,100000.0,33680.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,4.0,4.0,1,1
UT_NV_utilityscale_battery_storage_lithium_ion_conservative_0,7,1,0,0.0,0,0.0,0.0,0.0,0.0,UT_NV,Utility-Scale Battery Storage_Lithium Ion_Conservative,1.0,8561,0.15,0,Conservative,Lithium Ion,2038.0,8069,342454.756,322777.758,0.15,43374,32003,-1.0,-1.0,1.053,9420.528,100000.0,33954.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,4.0,4.0,1,1
AZ_utilityscale_battery_storage_lithium_ion_conservative_0_8,1,1,0,0.0,0,0.0,0.0,0.0,0.0,AZ,Utility-Scale Battery Storage_Lithium Ion_Conservative,1.0,8561,0.15,0,Conservative,Lithium Ion,2038.0,8069,342454.756,322777.758,0.15,42326,31015,-1.0,-1.0,1.02,9420.528,100000.0,32906.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,8.0,8.0,1,1
CA_N_utilityscale_battery_storage_lithium_ion_conservative_0_8,2,1,0,0.0,0,0.0,0.0,0.0,0.0,CA_N,Utility-Scale Battery Storage_Lithium Ion_Conservative,1.0,8561,0.15,0,Conservative,Lithium Ion,2038.0,8069,342454.756,322777.758,0.15,44100,32687,-1.0,-1.0,1.075,9420.528,100000.0,34680.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,8.0,8.0,1,1
CA_S_utilityscale_battery_storage_lithium_ion_conservative_0_8,3,1,0,0.0,0,0.0,0.0,0.0,0.0,CA_S,Utility-Scale Battery Storage_Lithium Ion_Conservative,1.0,8561,0.15,0,Conservative,Lithium Ion,2038.0,8069,342454.756,322777.758,0.15,44261,32839,-1.0,-1.0,1.08,9420.528,100000.0,34841.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,8.0,8.0,1,1
MT_WY_CO_utilityscale_battery_storage_lithium_ion_conservative_0_8,4,1,0,0.0,0,0.0,0.0,0.0,0.0,MT_WY_CO,Utility-Scale Battery Storage_Lithium Ion_Conservative,1.0,8561,0.15,0,Conservative,Lithium Ion,2038.0,8069,342454.756,322777.758,0.15,41422,30164,-1.0,-1.0,0.992,9420.528,100000.0,32002.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,8.0,8.0,1,1
NM_utilityscale_battery_storage_lithium_ion_conservative_0_8,5,1,0,0.0,0,0.0,0.0,0.0,0.0,NM,Utility-Scale Battery Storage_Lithium Ion_Conservative,1.0,8561,0.15,0,Conservative,Lithium Ion,2038.0,8069,342454.756,322777.758,0.15,42648,31319,-1.0,-1.0,1.03,9420.528,100000.0,33228.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,8.0,8.0,1,1
PNW_utilityscale_battery_storage_lithium_ion_conservative_0_8,6,1,0,0.0,0,0.0,0.0,0.0,0.0,PNW,Utility-Scale Battery Storage_Lithium Ion_Conservative,1.0,8561,0.15,0,Conservative,Lithium Ion,2038.0,8069,342454.756,322777.758,0.15,43100,31745,-1.0,-1.0,1.044,9420.528,100000.0,33680.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,8.0,8.0,1,1
UT_NV_utilityscale_battery_storage_lithium_ion_conservative_0_8,7,1,0,0.0,0,0.0,0.0,0.0,0.0,UT_NV,Utility-Scale Battery Storage_Lithium Ion_Conservative,1.0,8561,0.15,0,Conservative,Lithium Ion,2038.0,8069,342454.756,322777.758,0.15,43374,32003,-1.0,-1.0,1.053,9420.528,100000.0,33954.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,8.0,8.0,1,1
