Time_Index,BuyPrice_1,SellPrice_1
1,31.0,30.0
2,30.0,29.0
3,30.0,29.0
4,29.0,28.0
5,29.0,28.0
6,29.0,28.0
7,29.0,28.0
8,29.0,28.0
9,13.0,12.0
10,-1.0,-2.0
11,-1.0,-2.0
12,-1.0,-2.0
13,-1.0,-2.0
14,-1.0,-2.0
15,-1.0,-2.0
16,-1.0,-2.0
17,8.0,7.0
18,30.0,29.0
19,30.0,29.0
20,30.0,29.0
21,30.0,29.0
22,30.0,29.0
23,30.0,29.0
24,30.0,29.0
25,27.0,26.0
26,27.0,26.0
27,27.0,26.0
28,27.0,26.0
29,27.0,26.0
30,27.0,26.0
31,27.0,26.0
32,27.0,26.0
33,22.0,21.0
34,-6.5,-7.5
35,-6.5,-7.5
36,-6.5,-7.5
37,-6.5,-7.5
38,-6.5,-7.5
39,-6.5,-7.5
40,-6.5,-7.5
41,16.0,15.0
42,31.0,30.0
43,31.0,30.0
44,31.0,30.0
45,31.0,30.0
46,31.0,30.0
47,31.0,30.0
48,31.0,30.0
49,30.0,29.0
50,30.0,29.0
51,30.0,29.0
52,28.0,27.0
53,28.0,27.0
54,28.0,27.0
55,30.0,29.0
56,30.0,29.0
57,24.0,23.0
58,22.0,21.0
59,22.0,21.0
60,22.0,21.0
61,22.0,21.0
62,22.0,21.0
63,22.0,21.0
64,22.0,21.0
65,32.0,31.0
66,36.0,35.0
67,36.0,35.0
68,36.0,35.0
69,36.0,35.0
70,36.0,35.0
71,36.0,35.0
72,36.0,35.0
73,36.0,35.0
74,36.0,35.0
75,35.0,34.0
76,34.0,33.0
77,33.0,32.0
78,34.0,33.0
79,36.0,35.0
80,36.0,35.0
81,27.0,26.0
82,13.5,12.5
83,13.5,12.5
84,13.5,12.5
85,13.5,12.5
86,13.5,12.5
87,13.5,12.5
88,13.5,12.5
89,26.0,25.0
90,36.0,35.0
91,36.0,35.0
92,36.0,35.0
93,36.0,35.0
94,36.0,35.0
95,36.0,35.0
96,36.0,35.0
97,35.0,34.0
98,35.0,34.0
99,34.0,33.0
100,34.0,33.0
101,34.0,33.0
102,34.0,33.0
103,35.0,34.0
104,35.0,34.0
105,34.0,33.0
106,23.0,22.0
107,23.0,22.0
108,23.0,22.0
109,23.0,22.0
110,23.0,22.0
111,23.0,22.0
112,23.0,22.0
113,27.0,26.0
114,33.0,32.0
115,33.0,32.0
116,33.0,32.0
117,33.0,32.0
118,33.0,32.0
119,33.0,32.0
120,33.0,32.0
121,33.0,32.0
122,32.0,31.0
123,31.0,30.0
124,32.0,31.0
125,31.0,30.0
126,31.0,30.0
127,33.0,32.0
128,33.0,32.0
129,33.0,32.0
130,16.0,15.0
131,16.0,15.0
132,16.0,15.0
133,16.0,15.0
134,15.0,14.0
135,16.0,15.0
136,16.0,15.0
137,23.0,22.0
138,36.0,35.0
139,36.0,35.0
140,36.0,35.0
141,36.0,35.0
142,36.0,35.0
143,36.0,35.0
144,36.0,35.0
145,35.0,34.0
146,35.0,34.0
147,34.0,33.0
148,32.0,31.0
149,33.0,32.0
150,34.0,33.0
151,35.0,34.0
152,35.0,34.0
153,29.0,28.0
154,12.0,11.0
155,12.0,11.0
156,12.0,11.0
157,12.0,11.0
158,12.0,11.0
159,12.0,11.0
160,12.0,11.0
161,24.0,23.0
162,35.0,34.0
163,35.0,34.0
164,35.0,34.0
165,35.0,34.0
166,35.0,34.0
167,35.0,34.0
168,35.0,34.0
169,31.0,30.0
170,31.0,30.0
171,31.0,30.0
172,30.0,29.0
173,30.0,29.0
174,30.0,29.0
175,30.0,29.0
176,30.0,29.0
177,20.0,19.0
178,4.0,3.0
179,4.0,3.0
180,4.0,3.0
181,4.0,3.0
182,4.0,3.0
183,4.0,3.0
184,4.0,3.0
185,10.5,9.5
186,30.0,29.0
187,30.0,29.0
188,30.0,29.0
189,30.0,29.0
190,30.0,29.0
191,30.0,29.0
192,30.0,29.0
193,26.0,25.0
194,26.0,25.0
195,26.0,25.0
196,26.0,25.0
197,26.0,25.0
198,26.0,25.0
199,26.0,25.0
200,26.0,25.0
201,21.0,20.0
202,7.5,6.5
203,7.5,6.5
204,7.5,6.5
205,7.5,6.5
206,7.5,6.5
207,7.5,6.5
208,7.5,6.5
209,19.5,18.5
210,33.0,32.0
211,33.0,32.0
212,33.0,32.0
213,33.0,32.0
214,33.0,32.0
215,33.0,32.0
216,33.0,32.0
217,32.0,31.0
218,32.0,31.0
219,32.0,31.0
220,32.0,31.0
221,32.0,31.0
222,32.0,31.0
223,32.0,31.0
224,32.0,31.0
225,31.0,30.0
226,12.5,11.5
227,12.5,11.5
228,12.5,11.5
229,12.5,11.5
230,12.5,11.5
231,12.5,11.5
232,12.5,11.5
233,24.0,23.0
234,36.0,35.0
235,36.0,35.0
236,36.0,35.0
237,36.0,35.0
238,36.0,35.0
239,36.0,35.0
240,36.0,35.0
241,36.0,35.0
242,35.0,34.0
243,33.0,32.0
244,33.0,32.0
245,33.0,32.0
246,33.0,32.0
247,36.0,35.0
248,36.0,35.0
249,34.0,33.0
250,3.0,2.0
251,3.0,2.0
252,3.0,2.0
253,3.0,2.0
254,3.0,2.0
255,3.0,2.0
256,3.0,2.0
257,22.0,21.0
258,36.0,35.0
259,36.0,35.0
260,36.0,35.0
261,36.0,35.0
262,36.0,35.0
263,36.0,35.0
264,36.0,35.0
265,34.0,33.0
266,34.0,33.0
267,34.0,33.0
268,34.0,33.0
269,34.0,33.0
270,34.0,33.0
271,34.0,33.0
272,34.0,33.0
273,29.0,28.0
274,9.0,8.0
275,8.0,7.0
276,8.0,7.0
277,4.0,3.0
278,8.0,7.0
279,8.0,7.0
280,8.0,7.0
281,21.0,20.0
282,36.0,35.0
283,36.0,35.0
284,36.0,35.0
285,36.0,35.0
286,36.0,35.0
287,36.0,35.0
288,36.0,35.0
289,36.0,35.0
290,34.0,33.0
291,33.0,32.0
292,33.0,32.0
293,33.0,32.0
294,34.0,33.0
295,36.0,35.0
296,36.0,35.0
297,29.0,28.0
298,4.0,3.0
299,4.0,3.0
300,4.0,3.0
301,4.0,3.0
302,4.0,3.0
303,4.0,3.0
304,4.0,3.0
305,21.0,20.0
306,36.0,35.0
307,36.0,35.0
308,36.0,35.0
309,36.0,35.0
310,36.0,35.0
311,36.0,35.0
312,36.0,35.0
313,36.0,35.0
314,36.0,35.0
315,34.0,33.0
316,34.0,33.0
317,34.0,33.0
318,34.0,33.0
319,36.0,35.0
320,36.0,35.0
321,27.0,26.0
322,13.0,12.0
323,13.0,12.0
324,13.0,12.0
325,13.0,12.0
326,13.0,12.0
