BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7
t9,20466.882334697468,0.0,-7115.112334697465,0.0,0.0,0.0,0.0,3750.0,-170.77,-16931.0,25999.659920228332,0.0,-2822.6599202283323,0.0,0.0,0.0,0.0,0.0,-0.0,-23177.0,37958.02356592664,0.0,-6804.6213549821605,0.0,0.0,0.0,0.0,47.914316598133155,-275.3165275426095,-30926.0,19337.845862790746,0.0,-1825.8693368375516,0.0,0.0,0.0,0.0,-512.5288975405143,-24.447628412682533,-16975.0,7970.983931183886,0.0,-981.5908382338866,0.0,0.0,0.0,0.0,-1807.1785,-84.21459295,-5098.0,36894.47550606919,0.0,-552.5917456631917,0.0,0.0,0.0,0.0,-3445.2319161352557,-211.65184427074038,-32685.0,16419.82925379058,0.0,-4411.5067127774055,0.0,0.0,0.0,0.0,1967.024997077637,-111.34753809081342,-13864.0
t10,21967.720586137923,0.0,-8659.950586137926,0.0,0.0,0.0,0.0,3750.0,-170.77,-16887.0,27479.590404006405,0.0,-4241.3953414316875,0.0,0.0,0.0,0.0,-280.7478958784123,-9.447166696308573,-22948.0,39073.82117300459,0.0,-6804.6213549821605,0.0,0.0,0.0,0.0,-725.8640803168792,-222.33573770554733,-31321.0,18631.869336837546,0.0,-1599.8693368375516,0.0,0.0,0.0,0.0,0.0,-0.0,-17032.0,7882.512096501555,0.0,-848.1190035515542,0.0,0.0,0.0,0.0,-1807.1785,-84.21459295,-5143.0,36315.65014905214,0.0,-552.5917456631917,0.0,0.0,0.0,0.0,-3280.567523804709,-210.49087958423874,-32272.0,16265.109150240456,0.0,-4516.30024871546,0.0,0.0,0.0,0.0,2344.358,-148.166901525,-13945.0
t11,21202.05068986761,0.0,-7781.280689867612,0.0,0.0,0.0,0.0,3750.0,-170.77,-17000.0,28713.30372768567,0.0,-4241.3953414316875,0.0,0.0,0.0,0.0,-1468.4935773753043,-49.41480887867899,-22954.0,39151.96465294999,0.0,-6804.6213549821605,0.0,0.0,0.0,0.0,-497.8564082374263,-205.48688973040535,-31644.0,17614.366609725446,0.0,-578.5,0.0,0.0,0.0,0.0,238.6072767129191,-4.4738864383672325,-17270.0,7781.660980988039,0.0,-452.1867248867527,0.0,0.0,0.0,0.0,-2045.785776712919,-88.68847938836723,-5195.0,33325.75384090218,0.0,-552.5917456631917,0.0,0.0,0.0,0.0,-633.6500143872694,-37.512080851726346,-32102.0,16556.98786883827,0.0,-2983.1617758882708,0.0,0.0,0.0,0.0,657.1785,-32.00459295,-14199.0
t12,21428.48522730581,0.0,-7724.715227305809,0.0,0.0,0.0,0.0,3750.0,-170.77,-17283.0,28093.680549953657,0.0,-4207.574234059495,0.0,0.0,0.0,0.0,-1003.3437971210424,-33.76251877312308,-22849.0,39031.30883282945,0.0,-6529.7541111773635,0.0,0.0,0.0,0.0,1183.3437971210424,-316.8985187731231,-33368.0,18199.499999999996,0.0,-578.5,0.0,0.0,0.0,0.0,0.0,-0.0,-17621.0,7369.1334399090165,0.0,-213.7403469590153,0.0,0.0,0.0,0.0,-1807.1785,-84.21459295,-5264.0,35711.09119799324,0.0,-437.51519799324615,0.0,0.0,0.0,0.0,-2780.0,-164.576,-32329.0,16232.296791921037,0.0,-2329.470698971033,0.0,0.0,0.0,0.0,657.1785,-32.00459295,-14528.0
t13,20417.053627996538,0.0,-6084.283627996542,0.0,0.0,0.0,0.0,3750.0,-170.77,-17912.0,27964.820446527818,0.0,-3788.014022759832,0.0,0.0,0.0,0.0,-932.4301492458678,-31.376274522123452,-23213.0,37307.104886544934,0.0,-2357.0227612686776,0.0,0.0,0.0,0.0,1112.4301492458678,-314.51227452212345,-35748.0,18956.07329493262,0.0,-653.0732949326219,0.0,0.0,0.0,0.0,0.0,-0.0,-18303.0,7400.064281392135,0.0,-155.67118844213576,0.0,0.0,0.0,0.0,-1807.1785,-84.21459295,-5353.0,38692.56677519985,0.0,-509.6489666248442,0.0,0.0,0.0,0.0,-4467.1795,-280.73830857499996,-33435.0,16454.924091350076,0.0,-3732.1151898250814,0.0,0.0,0.0,0.0,2344.358,-148.166901525,-14919.0
t14,20224.195457499416,0.0,-2967.9854574994156,0.0,0.0,0.0,0.0,1150.0,-52.21,-18354.0,27198.108795195047,0.0,-2246.9,0.0,0.0,0.0,0.0,-132.4238691030905,-124.78492609195013,-24694.0,35786.6499346411,0.0,-1665.0,0.0,0.0,0.0,0.0,4455.150263307915,-221.8001979490145,-38355.0,19717.119840892658,0.0,-1377.1198408926593,0.0,0.0,0.0,0.0,0.0,-0.0,-18340.0,7366.7659866559225,0.0,-177.37289370592282,0.0,0.0,0.0,0.0,-1807.1785,-84.21459295,-5298.0,39811.79895436861,0.0,-314.0,0.0,0.0,0.0,0.0,-4235.884608549681,-235.91434581893435,-35026.0,17266.92120453423,0.0,-2372.4757082530846,0.0,0.0,0.0,0.0,570.3367143448561,-35.78221062599876,-15429.0
t15,19606.8810132574,0.0,-97.3,0.0,0.0,0.0,0.0,-1318.794006558342,-164.7870066990604,-18026.0,25659.40381653404,0.0,-2246.9,0.0,0.0,0.0,0.0,1451.9070125652645,-89.41082909929766,-24775.0,33646.690789397326,0.0,-1665.0,0.0,0.0,0.0,0.0,8186.056059787008,-402.7468491843385,-39765.0,18250.55439927158,396.4587723161341,-0.0,0.0,0.0,0.0,0.0,-538.3346106592653,-25.678560928446956,-18083.0,6677.443831139993,0.0,-0.0,0.0,0.0,0.0,0.0,-1488.7373234862143,-68.70650765377863,-5120.0,39612.47748306899,0.0,-0.0,0.0,0.0,0.0,0.0,-4452.928010551952,-246.54947251704561,-34913.0,17396.500675581752,0.0,-0.0,0.0,0.0,0.0,0.0,-1839.169121096499,-160.33155448525164,-15397.0
t16,19109.20364607229,0.0,-0.0,0.0,0.0,0.0,0.0,-1610.5026207708827,-135.7010253014048,-17363.0,23208.15143918708,0.0,-2246.9,0.0,0.0,72.039,0.0,3303.346652070739,-323.63709125781963,-24013.0,30053.936204518144,0.0,-1462.2417671823382,0.0,0.0,120.663,0.0,12062.54862688628,-553.9060642220901,-40221.0,16337.881077268226,578.5,-0.0,0.0,0.0,0.0,0.0,710.8603911779016,-46.2414684461225,-17581.0,5611.2615977726555,0.0,-0.0,0.0,0.0,0.0,0.0,-684.1989647720059,-31.06263300064907,-4896.0,45526.89169419903,0.0,-0.0,0.0,0.0,0.0,0.0,-10938.713891177902,-619.1778030211224,-33969.0,18450.755108652644,0.0,-0.0,0.0,0.0,0.0,0.0,-2843.34019341413,-369.41491523851465,-15238.0
t17,18010.95140242633,0.0,-0.0,0.0,0.0,0.0,0.0,-1323.6949467244197,-161.2564557019114,-16526.0,19577.742938911448,0.0,-0.0,0.0,0.0,68.328,0.0,3448.675825655252,-318.7467645667008,-22776.0,24060.739772144356,0.0,-0.0,0.0,0.0,122.004,0.0,17267.28925632582,-782.033028470182,-40668.0,15367.061843054624,1599.8693368375516,-0.0,0.0,0.0,0.0,0.0,282.0601265926839,-121.99130648485409,-17127.0,4772.258891764704,1090.8250971763719,-0.0,0.0,0.0,0.0,0.0,-1108.7468805634928,-50.337108377582574,-4704.0,44100.233203289354,487.99174566319164,-0.0,0.0,0.0,0.0,0.0,-11429.144626592684,-651.080322359854,-32508.0,19403.088260788492,3358.3490637588206,-0.0,0.0,0.0,0.0,0.0,-7136.438754693159,-639.9985698541524,-14985.0
t18,14945.986244849035,2251.7837551509647,-0.0,0.0,0.0,0.0,0.0,-1450.0,-170.77,-15577.0,13541.405738471463,2487.6093671285403,-0.0,0.0,0.0,64.32300000000001,0.0,5627.988,-280.3261056,-21441.0,21490.73414050774,3172.983481242256,-0.0,0.0,0.0,1099.764,0.0,15700.6005,-732.0821217499999,-40732.0,18183.503637950023,804.5,-0.0,0.0,0.0,0.0,0.0,-2236.6870703781233,-227.3165675719031,-16524.0,5345.213777075014,894.5250971763718,-0.0,0.0,0.0,0.0,0.0,-1624.4244056940836,-75.31446855730188,-4540.0,42765.243087568786,0.0,-0.0,0.0,0.0,0.0,0.0,-11297.712429621879,-642.530657946903,-30825.0,18756.697109521243,1466.9807074669707,-0.0,0.0,0.0,0.0,0.0,-4719.764594305917,-802.9132226823018,-14701.0
