Time_Index,BuyPrice_1,SellPrice_1
1,30.0,29.0
2,31.0,30.0
3,30.0,29.0
4,30.0,29.0
5,28.0,27.0
6,28.0,27.0
7,30.0,29.0
8,30.0,29.0
9,13.0,12.0
10,-13.5,-14.5
11,-13.5,-14.5
12,-13.5,-14.5
13,-13.5,-14.5
14,-13.5,-14.5
15,-13.5,-14.5
16,-13.5,-14.5
17,-7.5,-8.5
18,30.0,29.0
19,30.0,29.0
20,30.0,29.0
21,30.0,29.0
22,30.0,29.0
23,30.0,29.0
24,30.0,29.0
25,30.0,29.0
26,30.0,29.0
27,30.0,29.0
28,30.0,29.0
29,30.0,29.0
30,30.0,29.0
31,30.0,29.0
32,30.0,29.0
33,27.5,26.5
34,9.0,8.0
35,8.0,7.0
36,8.0,7.0
37,7.5,6.5
38,7.0,6.0
39,8.0,7.0
40,8.0,7.0
41,12.5,11.5
42,37.0,36.0
43,37.0,36.0
44,37.0,36.0
45,37.0,36.0
46,37.0,36.0
47,37.0,36.0
48,37.0,36.0
49,36.0,35.0
50,36.0,35.0
51,36.0,35.0
52,31.0,30.0
53,31.0,30.0
54,31.0,30.0
55,34.0,33.0
56,34.0,33.0
57,19.0,18.0
58,18.0,17.0
59,18.0,17.0
60,18.0,17.0
61,14.5,13.5
62,16.5,15.5
63,18.0,17.0
64,18.0,17.0
65,28.0,27.0
66,35.0,34.0
67,35.0,34.0
68,35.0,34.0
69,35.0,34.0
70,35.0,34.0
71,35.0,34.0
72,35.0,34.0
73,35.0,34.0
74,35.0,34.0
75,35.0,34.0
76,35.0,34.0
77,32.0,31.0
78,32.0,31.0
79,35.0,34.0
80,35.0,34.0
81,22.0,21.0
82,6.0,5.0
83,6.0,5.0
84,6.0,5.0
85,6.0,5.0
86,6.0,5.0
87,6.0,5.0
88,6.0,5.0
89,15.0,14.0
90,35.0,34.0
91,35.0,34.0
92,35.0,34.0
93,35.0,34.0
94,35.0,34.0
95,35.0,34.0
96,35.0,34.0
97,35.0,34.0
98,35.0,34.0
99,35.0,34.0
100,35.0,34.0
101,35.0,34.0
102,35.0,34.0
103,35.0,34.0
104,35.0,34.0
105,26.0,25.0
106,13.5,12.5
107,13.5,12.5
108,13.5,12.5
109,13.5,12.5
110,13.5,12.5
111,13.5,12.5
112,13.5,12.5
113,22.0,21.0
114,27.0,26.0
115,27.0,26.0
116,27.0,26.0
117,27.0,26.0
118,27.0,26.0
119,27.0,26.0
120,27.0,26.0
121,27.0,26.0
122,27.0,26.0
123,27.0,26.0
124,27.0,26.0
125,27.0,26.0
126,27.0,26.0
127,27.0,26.0
128,27.0,26.0
129,13.0,12.0
130,7.0,6.0
131,7.0,6.0
132,7.0,6.0
133,-8.5,-9.5
134,5.5,4.5
135,7.0,6.0
136,7.0,6.0
137,14.5,13.5
138,35.0,34.0
139,35.0,34.0
140,35.0,34.0
141,35.0,34.0
142,35.0,34.0
143,35.0,34.0
144,35.0,34.0
145,31.0,30.0
146,31.0,30.0
147,31.0,30.0
148,31.0,30.0
149,31.0,30.0
150,31.0,30.0
151,31.0,30.0
152,31.0,30.0
153,11.0,10.0
154,3.0,2.0
155,3.0,2.0
156,3.0,2.0
157,1.0,0.0
158,3.0,2.0
159,3.0,2.0
160,3.0,2.0
161,12.0,11.0
162,32.0,31.0
163,32.0,31.0
164,32.0,31.0
165,32.0,31.0
166,32.0,31.0
167,32.0,31.0
168,32.0,31.0
169,30.0,29.0
170,30.0,29.0
171,30.0,29.0
172,30.0,29.0
173,30.0,29.0
174,30.0,29.0
175,30.0,29.0
176,30.0,29.0
177,26.0,25.0
178,17.0,16.0
179,17.0,16.0
180,17.0,16.0
181,17.0,16.0
182,17.0,16.0
183,17.0,16.0
184,17.0,16.0
185,17.0,16.0
186,30.0,29.0
187,30.0,29.0
188,30.0,29.0
189,30.0,29.0
190,30.0,29.0
191,30.0,29.0
192,30.0,29.0
193,30.0,29.0
194,30.0,29.0
195,30.0,29.0
196,30.0,29.0
197,30.0,29.0
198,30.0,29.0
199,30.0,29.0
200,30.0,29.0
201,18.0,17.0
202,5.0,4.0
203,5.0,4.0
204,5.0,4.0
205,5.0,4.0
206,5.0,4.0
207,5.0,4.0
208,5.0,4.0
209,14.0,13.0
210,31.0,30.0
211,31.0,30.0
212,31.0,30.0
213,31.0,30.0
214,31.0,30.0
215,31.0,30.0
216,31.0,30.0
217,35.0,34.0
218,35.0,34.0
219,35.0,34.0
220,32.0,31.0
221,32.0,31.0
222,32.0,31.0
223,35.0,34.0
224,35.0,34.0
225,26.0,25.0
226,4.0,3.0
227,4.0,3.0
228,4.0,3.0
229,4.0,3.0
230,4.0,3.0
231,4.0,3.0
232,4.0,3.0
233,10.5,9.5
234,33.0,32.0
235,33.0,32.0
236,33.0,32.0
237,33.0,32.0
238,33.0,32.0
239,33.0,32.0
240,33.0,32.0
241,35.0,34.0
242,35.0,34.0
243,35.0,34.0
244,35.0,34.0
245,35.0,34.0
246,35.0,34.0
247,35.0,34.0
248,35.0,34.0
249,30.0,29.0
250,9.0,8.0
251,9.0,8.0
252,9.0,8.0
253,1.0,0.0
254,2.0,1.0
255,9.0,8.0
256,9.0,8.0
257,15.0,14.0
258,35.0,34.0
259,35.0,34.0
260,35.0,34.0
261,35.0,34.0
262,35.0,34.0
263,35.0,34.0
264,35.0,34.0
265,34.0,33.0
266,34.0,33.0
267,34.0,33.0
268,34.0,33.0
269,34.0,33.0
270,34.0,33.0
271,34.0,33.0
272,34.0,33.0
273,30.0,29.0
274,3.0,2.0
275,3.0,2.0
276,3.0,2.0
277,-12.0,-13.0
278,3.0,2.0
279,3.0,2.0
280,3.0,2.0
281,13.5,12.5
282,34.0,33.0
283,34.0,33.0
284,34.0,33.0
285,34.0,33.0
286,34.0,33.0
287,34.0,33.0
288,34.0,33.0
289,33.0,32.0
290,33.0,32.0
291,33.0,32.0
292,33.0,32.0
293,33.0,32.0
294,33.0,32.0
295,33.0,32.0
296,33.0,32.0
297,10.0,9.0
298,-11.0,-12.0
299,-11.0,-12.0
