Time_Index,BANC_Biogas,BANC_Biomass,BANC_CCGT1,BANC_CCGT2,BANC_Hydro,BANC_Peaker1,BANC_Peaker2,BANC_Reciprocating_Engine,CAISO_Advanced_CCGT,CAISO_Advanced_CCGT_CCS_95,CAISO_Advanced_Nuclear_SMR,CAISO_Aero_CT,CAISO_Allam_Cycle_100,CAISO_Biogas,CAISO_Biomass,CAISO_CCGT1,CAISO_CCGT1_Retrofit_CCS_90,CAISO_CCGT2,CAISO_CCGT_Remote,CAISO_CHP,CAISO_Coal,CAISO_Geothermal,CAISO_Hydro,CAISO_New_Reciprocating_Engine,CAISO_Nuclear,CAISO_Peaker1,CAISO_Peaker2,CAISO_Pumped_Hydro,CAISO_Reciprocating_Engine,CAISO_ST,Customer_PV,IID_Biogas,IID_Biomass,IID_CCGT1,IID_Peaker1,IID_Peaker2,IID_ST,InState_Biomass,LDWP_Biogas,LDWP_CCGT1,LDWP_CCGT2,LDWP_CHP,LDWP_Coal,LDWP_Hydro,LDWP_Nuclear,LDWP_Peaker1,LDWP_Peaker1_New_Planned,LDWP_Pumped_Hydro,LDWP_ST,NW_Biogas,NW_Biomass,NW_CCGT1,NW_CCGT2,NW_Coal,NW_Hydro,NW_Hydro_for_CAISO,NW_Nuclear,NW_Nuclear_New_Planned,NW_Peaker1,NW_Peaker1_New_Planned,NW_Peaker2,NW_Pumped_Hydro,NW_Reciprocating_Engine,SW_Biogas,SW_Biomass,SW_CCGT1,SW_CCGT2,SW_Coal,SW_Hydro,SW_Nuclear,SW_Peaker1,SW_Peaker1_New_Planned,SW_Peaker2,SW_Pumped_Hydro,SW_Reciprocating_Engine,SW_ST
1,9.069,0.49650000000000005,0.0,0.0,978.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.359,211.98600000000002,0.0,0.0,0.0,0.0,360.17400000000004,0.0,1036.119,2978.4719999999998,0.0,476.25,0.0,0.0,1112.4,0.0,0.0,0.0,0.0,39.90525,0.0,0.0,0.0,0.0,74.64150000000001,0.72075,0.0,0.0,57.9405,0.0,52.800000000000004,305.25,0.0,0.0,522.111,0.0,6.217499999999999,286.962,0.0,0.0,0.0,10852.8315,1099.9965,438.75,0.0,0.0,0.0,0.0,374.985,0.0,2.9415,3.4559999999999995,361.068,0.0,981.3975,164.85000000000002,2248.5,0.0,0.0,0.0,0.0,0.0,0.0
2,9.069,0.49650000000000005,0.0,0.0,978.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.359,211.98600000000002,0.0,0.0,0.0,0.0,360.17400000000004,0.0,1036.119,2978.4719999999998,0.0,476.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.90525,0.0,0.0,0.0,0.0,74.64150000000001,0.72075,0.0,0.0,57.9405,0.0,424.12425,305.25,0.0,0.0,0.0,0.0,6.217499999999999,286.962,0.0,0.0,0.0,11782.51275,1099.9965,438.75,0.0,0.0,0.0,0.0,0.0,0.0,2.9415,3.4559999999999995,361.068,0.0,981.3975,1144.94175,2248.5,0.0,0.0,0.0,0.0,0.0,0.0
3,9.069,0.49650000000000005,0.0,0.0,978.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.359,211.98600000000002,0.0,0.0,0.0,0.0,360.17400000000004,0.0,1036.119,2978.4719999999998,0.0,476.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.90525,0.0,0.0,0.0,0.0,74.64150000000001,0.72075,0.0,0.0,57.9405,0.0,424.12425,305.25,0.0,0.0,0.0,0.0,6.217499999999999,286.962,0.0,0.0,0.0,10757.144250000001,1099.9965,438.75,0.0,0.0,0.0,0.0,0.0,0.0,2.9415,3.4559999999999995,361.068,0.0,981.3975,643.5772499999999,2248.5,0.0,0.0,0.0,727.2,0.0,0.0
4,9.069,0.49650000000000005,0.0,0.0,699.4304999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.359,211.98600000000002,0.0,0.0,0.0,0.0,360.17400000000004,0.0,1036.119,2390.39175,0.0,476.25,0.0,0.0,1112.4,0.0,0.0,0.0,0.0,39.90525,0.0,0.0,0.0,0.0,74.64150000000001,0.72075,0.0,0.0,57.9405,0.0,52.800000000000004,305.25,0.0,0.0,0.0,0.0,6.217499999999999,286.962,0.0,0.0,0.0,11782.51275,1099.9965,438.75,0.0,0.0,0.0,0.0,374.985,0.0,2.9415,3.4559999999999995,361.068,0.0,981.3975,1144.94175,2248.5,0.0,0.0,0.0,727.2,0.0,0.0
5,9.069,0.49650000000000005,0.0,0.0,978.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.359,211.98600000000002,0.0,0.0,0.0,0.0,360.17400000000004,0.0,1036.119,2298.4575,0.0,476.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.90525,0.0,0.0,0.0,0.0,74.64150000000001,0.72075,0.0,0.0,57.9405,0.0,52.800000000000004,305.25,0.0,0.0,1095.0,0.0,6.217499999999999,286.962,0.0,0.0,0.0,12133.98675,1099.9965,438.75,0.0,0.0,0.0,0.0,0.0,0.0,2.9415,3.4559999999999995,361.068,0.0,981.3975,164.85000000000002,2248.5,0.0,0.0,0.0,727.2,0.0,0.0
6,9.069,0.49650000000000005,0.0,0.0,352.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.359,211.98600000000002,0.0,0.0,0.0,0.0,360.17400000000004,0.0,1036.119,2185.53825,0.0,476.25,0.0,0.0,1112.4,0.0,0.0,728.41875,0.0,39.90525,0.0,0.0,0.0,0.0,74.64150000000001,0.72075,0.0,0.0,57.9405,0.0,52.800000000000004,305.25,0.0,0.0,0.0,0.0,6.217499999999999,286.962,0.0,0.0,0.0,12133.98675,1099.9965,438.75,0.0,0.0,0.0,0.0,374.985,0.0,2.9415,3.4559999999999995,361.068,0.0,981.3975,1144.94175,2248.5,0.0,0.0,0.0,363.6,0.0,0.0
7,9.069,0.49650000000000005,0.0,0.0,352.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.359,211.98600000000002,0.0,0.0,0.0,0.0,360.17400000000004,0.0,1036.119,1901.2417500000001,0.0,476.25,0.0,0.0,0.0,0.0,0.0,3695.0677499999997,0.0,39.90525,0.0,0.0,0.0,0.0,74.64150000000001,0.72075,0.0,0.0,57.9405,0.0,52.800000000000004,305.25,0.0,0.0,0.0,0.0,6.217499999999999,286.962,0.0,0.0,0.0,12083.301,1012.0672500000001,438.75,0.0,0.0,0.0,0.0,374.985,0.0,2.9415,3.4559999999999995,301.00649999999996,0.0,981.3975,332.43225,2248.5,0.0,0.0,0.0,0.0,0.0,0.0
8,9.069,0.49650000000000005,0.0,0.0,352.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.359,211.98600000000002,0.0,0.0,0.0,0.0,360.17400000000004,0.0,591.79725,1313.1615000000002,0.0,476.25,0.0,0.0,0.0,0.0,0.0,7535.82,0.0,39.90525,0.0,0.0,0.0,0.0,74.64150000000001,0.72075,0.0,0.0,57.9405,0.0,52.800000000000004,305.25,0.0,0.0,0.0,0.0,6.217499999999999,286.962,0.0,0.0,0.0,12133.98675,919.1129999999999,438.75,0.0,0.0,0.0,0.0,374.985,0.0,2.9415,3.4559999999999995,95.19825,0.0,451.443,164.85000000000002,2248.5,0.0,0.0,0.0,0.0,0.0,0.0
9,9.069,0.49650000000000005,0.0,0.0,352.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.359,211.98600000000002,0.0,0.0,0.0,0.0,360.17400000000004,0.0,591.79725,1221.2272500000001,0.0,476.25,0.0,0.0,0.0,0.0,0.0,11773.89075,0.0,39.90525,0.0,0.0,0.0,0.0,74.64150000000001,0.72075,0.0,0.0,57.9405,0.0,52.800000000000004,305.25,0.0,0.0,0.0,0.0,6.217499999999999,286.962,0.0,0.0,0.0,11507.07825,842.07075,438.75,0.0,0.0,0.0,0.0,86.535,0.0,2.9415,3.4559999999999995,95.19825,0.0,224.71574999999999,164.85000000000002,2248.5,0.0,0.0,0.0,0.0,0.0,0.0
10,9.069,0.49650000000000005,0.0,0.0,352.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.359,211.98600000000002,0.0,0.0,0.0,0.0,360.17400000000004,0.0,591.79725,1221.2272500000001,0.0,476.25,0.0,0.0,0.0,0.0,0.0,15151.10325,0.0,39.90525,0.0,0.0,0.0,0.0,74.64150000000001,0.72075,0.0,0.0,57.9405,0.0,52.800000000000004,305.25,0.0,0.0,0.0,0.0,6.217499999999999,286.962,0.0,0.0,0.0,10481.70975,807.95925,438.75,0.0,0.0,0.0,0.0,0.0,0.0,2.9415,3.4559999999999995,95.19825,0.0,224.71574999999999,164.85000000000002,2248.5,0.0,0.0,0.0,0.0,0.0,0.0
