Resource,ELCC
Aquamarine_Westside,0.108
Arizona_Li_Battery,0.874
Arizona_Solar,0.108
CAISO_Advanced_CCGT_candidate,0.864
CAISO_Aero_CT_candidate,0.831
CAISO_New_Flow_Battery,0.877
CAISO_New_Flow_Battery_12,0.879
CAISO_New_Flow_Battery_8,0.879
CAISO_New_LDES_Battery_12,0.879
CAISO_Reciprocating_Engine_candidate,0.874
CAISO_Shed_DR_Tranche1,0.823
CAM_CAM_RA_i,0.874
CAM_CAM_RA_ii,0.931
CAM_CAM_RA_iii,0.831
CAM_CPE_RA_i,0.83
CAM_CPE_RA_ii,0.864
CAM_DR_RA,0.821
CC_Power_GoalLine,0.878
CC_Power_Tumbleweed,0.879
FishLake,0.9
Generic_4hr_battery_low_cost,0.874
Generic_6hr_battery,0.877
Generic_6hr_battery_low_cost,0.877
Generic_8hr_battery,0.879
Generic_8hr_battery_low_cost,0.879
Generic_RA_Only,0.864
GibsonSolar,0.65
Greater_Imperial_Geothermal,0.893
Humboldt_Bay_Offshore_Wind,0.464
InState_Biomass,0.812
IndianValley_Hydro,0.383
Leapfrog_Power,0.823
Morro_Bay_Offshore_Wind,0.464
NW_Ext_Tx_Wind,0.219
New_Mexico_Wind,0.323
Northern_California_Geothermal,0.893
Northern_California_Li_Battery,0.874
Northern_California_Solar,0.108
Northern_California_Wind,0.305
Ormat_Portfolio,0.893
PutahCreek,0.993
Resurgence_Hybrid,0.846
Riverside_Li_Battery,0.874
Riverside_Palm_Springs_Wind,0.153
Riverside_Solar,0.108
Riverside_West_Pumped_Storage,0.879
Southern_Nevada_Geothermal,0.893
Tehachapi_Pumped_Storage,0.879
Tierra_Buena,0.876
WillowSpringsSolar,0.555
Wyoming_Wind,0.358
