Fuel,AnnualSum
No_fuel,0.0
AZ_coal,3.628803720000003e8
AZ_naturalgas,3.8184491444030565e8
AZ_uranium,3.5820925699364537e8
CA_N_naturalgas,4.997152267242074e7
CA_N_uranium,7.596386524950364e-9
CA_S_naturalgas,1.1446886069489146e7
MT_WY_CO_coal,3.494283418931588e8
MT_WY_CO_naturalgas,7.859420502802166e-12
NM_coal,2.1432748250182334e7
NM_naturalgas,195434.8679968431
PNW_coal,0.0
PNW_naturalgas,4.620988226218116e8
PNW_uranium,1.0546566959999867e8
UT_NV_coal,2.9701817387997466e8
UT_NV_naturalgas,6.338639069324284e8
CA_S_uranium,7.909425209629006e-8
MT_WY_CO_uranium,1.4273628126115761e-9
NM_uranium,-1.9766289938161208e-8
UT_NV_uranium,-3.5520264585010374e-8
None,0.0
