Fuel,AnnualSum
No_fuel,0.0
AZ_coal,3.181882070238942e8
AZ_naturalgas,2.04143926522759e8
AZ_uranium,3.585697325764455e8
CA_N_naturalgas,32084.756758398777
CA_N_uranium,6.59524582417118e8
CA_S_naturalgas,17781.61891163246
MT_WY_CO_coal,4.043800012613846e8
MT_WY_CO_naturalgas,541493.5936765629
NM_coal,1.8874456024086993e7
NM_naturalgas,95542.5254646425
PNW_coal,0.0
PNW_naturalgas,2.82352253324387e8
PNW_uranium,1.0546566959999986e8
UT_NV_coal,2.622312532719574e8
UT_NV_naturalgas,1.1839452138084903e8
CA_S_uranium,1.6566624697698863e9
MT_WY_CO_uranium,8.981018374512485e-9
NM_uranium,1.6943517272622407e-9
UT_NV_uranium,-1.2556706955859574e-7
None,0.0
