Resource,AZ_batteries_1,AZ_hydroelectric_pumped_storage_1,CA_N_batteries_1,CA_N_hydroelectric_pumped_storage_1,CA_S_batteries_1,CA_S_hydroelectric_pumped_storage_1,MT_WY_CO_batteries_1,MT_WY_CO_hydroelectric_pumped_storage_1,NM_batteries_1,PNW_batteries_1,PNW_hydroelectric_pumped_storage_1,UT_NV_batteries_1,AZ_utilityscale_battery_storage_lithium_ion_conservative_0,CA_N_utilityscale_battery_storage_lithium_ion_conservative_0,CA_S_utilityscale_battery_storage_lithium_ion_conservative_0,MT_WY_CO_utilityscale_battery_storage_lithium_ion_conservative_0,NM_utilityscale_battery_storage_lithium_ion_conservative_0,PNW_utilityscale_battery_storage_lithium_ion_conservative_0,UT_NV_utilityscale_battery_storage_lithium_ion_conservative_0,AZ_utilityscale_battery_storage_lithium_ion_conservative_0_8,CA_N_utilityscale_battery_storage_lithium_ion_conservative_0_8,CA_S_utilityscale_battery_storage_lithium_ion_conservative_0_8,MT_WY_CO_utilityscale_battery_storage_lithium_ion_conservative_0_8,NM_utilityscale_battery_storage_lithium_ion_conservative_0_8,PNW_utilityscale_battery_storage_lithium_ion_conservative_0_8,UT_NV_utilityscale_battery_storage_lithium_ion_conservative_0_8,AZ_conventional_hydroelectric_1,CA_N_conventional_hydroelectric_1,CA_S_conventional_hydroelectric_1,MT_WY_CO_conventional_hydroelectric_1,PNW_conventional_hydroelectric_1,UT_NV_conventional_hydroelectric_1,Total
t156,10604.08285517554,899.0056402099001,1216.8718158894,25902.609183592038,9100.332243580639,19850.614907940006,485.476590408,6897.095480026,591.2460643155268,139.0834855768,3743.5994481039997,3741.2,0.0,10250.982566233819,2914.6986219443756,201.85463251011765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607.1013246656164,1989.853961882368,192.59175289454092,1036.9637659461914,20465.053814761035,521.3143568548049,121351.63251251073
t157,14193.79227336055,986.0334058942001,1743.4,27912.29763904994,11163.7,21339.836180955004,693.838295204,7414.521610019499,734.6474925476723,198.6417427884,4024.449586078,3741.2,0.0,11949.754111829205,3664.8162150220865,288.16859911286804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1095.9506623328082,2758.7,328.7,1915.2318829730957,23499.92349993714,521.3143568548049,140168.91755395924
t158,16991.446878707837,1073.0611715785,1743.4,29921.98609450784,11163.7,22829.057453970003,902.2,7931.947740012999,785.1,198.6417427884,4305.299724052,3741.2,0.0,11949.754111829205,3664.8162150220865,374.4825657156184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,2793.5,28110.85729821251,521.3143568548049,153673.96535325178
t159,18753.558079998995,1160.0889372628,1743.4,31931.67454996574,11163.7,24318.278726985,902.2,8449.373870006499,785.1,258.2,4586.149862026,3741.2,0.0,11949.754111829205,3664.8162150220865,374.4825657156184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,2793.5,28597.839537150037,521.3143568548049,160366.83081281677
t160,18753.558079998995,1160.0889372628,1743.4,33941.36300542364,11163.7,25807.5,902.2,8449.373870006499,746.7230229389876,258.2,4867.0,3741.2,0.0,11949.754111829205,3664.8162150220865,374.4825657156184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1095.9506623328082,2758.7,328.7,2405.37702129416,28597.839537150037,521.3143568548049,163231.24138582966
t161,19329.17884462494,1160.0889372628,1743.4,34827.0,11163.7,25807.5,902.2,8966.8,533.8057786524948,258.2,4867.0,3741.2,0.0,11949.754111829205,3664.8162150220865,374.4825657156184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,2793.5,28597.839537150037,521.3143568548049,165873.98034711197
t162,18958.01733996693,1160.0889372628,1743.4,34827.0,11163.7,25807.5,902.2,8471.41086605739,320.88853436600215,258.2,4867.0,3741.2,0.0,11949.754111829205,3664.8162150220865,374.4825657156184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134.6065262116379,2758.7,328.7,2793.5,28597.839537150037,521.3143568548049,164344.31899043653
t163,18958.01733996693,1160.0889372628,1743.4,34827.0,11163.7,23945.9734087316,902.2,7824.628203565636,107.97129007950946,258.2,4515.937327532566,3741.2,0.0,11949.754111829205,2995.9864930653694,272.93672271319247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.84933766719183,994.926980941184,192.5917528945409,1937.326981244943,25223.42450892088,485.5316519276613,153689.6450483432
t164,18958.01733996693,1160.0889372628,1743.4,32541.119488826644,11163.7,22084.4468174632,735.3942517893124,7177.8455410738825,61.181369000799975,258.2,4445.724793038603,3077.432331858594,0.0,11949.754111829205,2995.9864930653694,203.09168600485194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914.4952550507148,1989.853961882368,192.5917528945409,1629.6030689593736,23407.643671562248,449.74894700051766,147139.31981852994
t165,19402.183846455675,1247.1167029471,1743.4,32541.119488826644,11032.456530436319,20222.920226194798,490.2628345262083,6531.062878582129,242.16102675059997,258.2,4445.724793038603,3077.432331858594,0.0,11949.754111829205,2002.2236691746957,101.54584300242597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1095.9506623328082,1444.47277333912,192.5917528945409,1036.9637659461914,25066.079400992036,413.966242073374,144537.58888120105
